,2015/Q4,2016/Q4,2017/Q4
EVEBITDACurrent_sy,,-17.91,-1.70
EVEBITDACurrent_qq,,,
EVEBITDACurrent_sq,,,
ROE,,,
ROE_yy,,-42.44,22.47
ROE_sy,,-13.86,15.56
ROE_qq,,,
ROE_sq,,,
ROA,,,
ROA_yy,,-73.14,29.50
ROA_sy,,-7.71,-7.52
ROA_qq,,,
ROA_sq,,,
OPM,,,
OPM_yy,,-1310.91,-30.70
OPM_sy,,26.14,-18.09
OPM_qq,,,
OPM_sq,,,
ROS,,,
ROS_yy,,-1385.00,-48.15
ROS_sy,,13.89,-7.49
ROS_qq,,,
ROS_sq,,,
RS,,,
RS_yy,,-1301.68,-20.57
RS_sy,,-0.96,-7.26
RS_qq,,,
RS_sq,,,
GPM,,,
GPM_yy,,-1206.17,-15.45
GPM_sy,,28.84,-17.86
GPM_qq,,,
GPM_sq,,,
RBS,,,
RBS_yy,,30.58,47.71
RBS_sy,,18.13,-9.36
RBS_qq,,,
RBS_sq,,,
ROPA,,,
ROPA_yy,,-64.53,37.79
ROPA_sy,,0.64,0.32
ROPA_qq,,,
ROPA_sq,,,
ZNPO,,,
ZNPO_yy,,243.95,-15.26
ZNPO_sy,,27.80,-1.31
ZNPO_qq,,,
ZNPO_sq,,,
ZFI,,,
ZFI_yy,,-49.73,-315.30
ZFI_sy,,3.15,20.95
ZFI_qq,,,
ZFI_sq,,,
DTAR,,,
DTAR_yy,,-69.79,117.81
DTAR_sy,,1.77,-27.64
DTAR_qq,,,
DTAR_sq,,,
CG,,,
CG_yy,,-75.17,139.63
CG_sy,,1.27,-41.25
CG_qq,,,
CG_sq,,,
LDER,,,
LDER_yy,,-74.51,-4.33
LDER_sy,,44.98,-55.51
LDER_qq,,,
LDER_sq,,,
PZAT,,,
PZAT_yy,,-14.58,145.50
PZAT_sy,,-19.40,23.31
PZAT_qq,,,
PZAT_sq,,,
PELDR,,,
PELDR_yy,,79.06,-37.66
PELDR_sy,,-1.26,-3.43
PELDR_qq,,,
PELDR_sq,,,
TSF,,,
TSF_yy,,8.26,-9.21
TSF_sy,,-1.02,7.43
TSF_qq,,,
TSF_sq,,,
ZKO,,,
ZKO_yy,,-95.00,639.90
ZKO_sy,,1.76,-0.77
ZKO_qq,,,
ZKO_sq,,,
OSF,,,
OSF_yy,,-89.87,330.25
OSF_sy,,-6.47,11.20
OSF_qq,,,
OSF_sq,,,
NetDebt,978000000,-3593000000,443000000
NetDebt_yy,,,
NetDebt_sy,,,
NetDebt_qq,,,
NetDebt_sq,,,
NetDebtEBITDA,,,
NetDebtEBITDA_yy,,183.20,-124.61
NetDebtEBITDA_sy,,83.88,-7.91
NetDebtEBITDA_qq,,,
NetDebtEBITDA_sq,,,
DebtFin,-158000000,-2872000000,-1018000000
DebtFin_yy,,,
DebtFin_sy,,,
DebtFin_qq,,,
DebtFin_sq,,,
DebtFinEBITDA,,,
DebtFinEBITDA_yy,,311.74,-29.26
DebtFinEBITDA_sy,,100.18,3050.00
DebtFinEBITDA_qq,,,
DebtFinEBITDA_sq,,,
SP1,,,
SP1_yy,,102.72,-41.86
SP1_sy,,-2.12,-4.44
SP1_qq,,,
SP1_sq,,,
SP2,,,
SP2_yy,,80.54,-41.97
SP2_sy,,-2.92,-4.75
SP2_qq,,,
SP2_sq,,,
CAR,,,
CAR_yy,,2888.09,-90.38
CAR_sy,,-5.53,-12.39
CAR_qq,,,
CAR_sq,,,
QR,,,
QR_yy,,2421.46,-96.53
QR_sy,,12.11,7.32
QR_qq,,,
QR_sq,,,
CR,,,
CR_yy,,1973.25,-92.51
CR_sy,,10.68,1.21
CR_qq,,,
CR_sq,,,
PP,,,
PP_yy,,4383.19,-93.59
PP_sy,,8.56,-16.17
PP_qq,,,
PP_sq,,,
RCLR,,,
RCLR_yy,,3.25,-65.98
RCLR_sy,,5.33,13.10
RCLR_qq,,,
RCLR_sq,,,
KP,,,
KP_yy,,1435.48,-97.32
KP_sy,,9.94,-1.06
KP_qq,,,
KP_sq,,,
PKKO,,,
PKKO_yy,,-1469.30,98.80
PKKO_sy,,-5.35,-35.98
PKKO_qq,,,
PKKO_sq,,,
RN,,,
RN_yy,,-61.25,-64.41
RN_sy,,6.60,11.43
RN_qq,,,
RN_sq,,,
CRN,176000,453000,1273000
CRN_yy,,157.39,181.02
CRN_sy,,-6.10,-10.39
CRN_qq,,,
CRN_sq,,,
CPZ,538000,1346000,11118000
CPZ_yy,,150.19,726.00
CPZ_sy,,9.38,-20.00
CPZ_qq,,,
CPZ_sq,,,
RZ,,,
RZ_yy,,-87.08,-78.09
RZ_sy,,-10.79,30.75
RZ_qq,,,
RZ_sq,,,
CRZ,52000,400000,1825000
CRZ_yy,,669.23,356.25
CRZ_sy,,12.50,-22.22
CRZ_qq,,,
CRZ_sq,,,
RMO,,,
RMO_yy,,-98.07,61.83
RMO_sy,,-0.61,18.31
RMO_qq,,,
RMO_sq,,,
RMT,,,
RMT_yy,,-80.52,-69.80
RMT_sy,,-33.83,1.68
RMT_qq,,,
RMT_sq,,,
RM,,,
RM_yy,,-88.28,-53.01
RM_sy,,-18.07,16.52
RM_qq,,,
RM_sq,,,
COP,228000,853000,3098000
COP_yy,,274.12,263.19
COP_sy,,-8.94,-12.50
COP_qq,,,
COP_sq,,,
CSP,-310000,-493000,-8020000
CSP_yy,,-59.03,-1526.77
CSP_sy,,-109.52,-300.00
CSP_qq,,,
CSP_sq,,,
