,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,2000000000,2000000000,2000000000,2000000000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2215500000,2247241000,2247241000,2291551000,2291551000,2291551000,2291551000,2291551000,2291551000,2291551000,2291551000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,34.15,25.11,,,,180.58,105.82,18.64,15.56,18.29,28.53,-100.00,27.85,17.54,33.14,,276.28,281.18,219.91,57.81,22.97,28.60,23.15,173.94,14.49,12.83,18.29,13.05,13.71,11.37,21.70,21.55
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,37.44,83.05,4.41,6.81,0.82,5.51,1.71,9.33,9.55,-100.00,,0.52,24.09,-2.18,208.39,1.83,4.15,-51.74,140.29,6.49,-0.27,7.35,0.43,4.94,4.56,2.59,1.01,2.78,14.26,2.46
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
