,2015/Q4,2016/Q4,2017/Q4
KP_yy,,20.21,20.59
KP_sy,,9.94,-1.06
KP_qq,,,
KP_sq,,,
PKKO,,,
PKKO_yy,,-5.75,88.51
PKKO_sy,,-5.35,-35.98
PKKO_qq,,,
PKKO_sq,,,
RN,,,
RN_yy,,-8.29,35.01
RN_sy,,6.60,11.43
RN_qq,,,
RN_sq,,,
CRN,54000,59000,44000
CRN_yy,,9.26,-25.42
CRN_sy,,-6.10,-10.39
CRN_qq,,,
CRN_sq,,,
CPZ,46000,24000,26000
CPZ_yy,,-47.83,8.33
CPZ_sy,,9.38,-20.00
CPZ_qq,,,
CPZ_sq,,,
RZ,,,
RZ_yy,,15.10,31.84
RZ_sy,,-10.79,30.75
RZ_qq,,,
RZ_sq,,,
CRZ,0,0,0
CRZ_yy,,,
CRZ_sy,,,
CRZ_qq,,,
CRZ_sq,,,
RMO,,,
RMO_yy,,11.25,14.98
RMO_sy,,-0.61,18.31
RMO_qq,,,
RMO_sq,,,
RMT,,,
RMT_yy,,-13.90,72.61
RMT_sy,,-33.83,1.68
RMT_qq,,,
RMT_sq,,,
RM,,,
RM_yy,,4.29,26.68
RM_sy,,-18.07,16.52
RM_qq,,,
RM_sq,,,
COP,,,
COP_yy,,,
COP_sy,,,
COP_qq,,,
COP_sq,,,
CSP,,,
CSP_yy,,,
CSP_sy,,,
CSP_qq,,,
CSP_sq,,,
