,2004/Q4,2005/Q4,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
WKGrahamCurrent_qq,,,,-100.00,,6.13,8.46,-100.00,,7.35,2.28,-100.00,,6.84,0.60,-100.00,,0.58,0.36,-100.00,,-1.33,-0.50,-100.00,,1.45,-2.50,-100.00,,2.88,-9.86,0.19,3.19,1.00,-6.30,1.90,3.14,-0.66,-5.47,0.84,8.05,0.57,-7.22,2.11,10.28,-0.02,-9.25,3.21,13.74,1.58,-12.91,0.63
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,-0.54,-47.75,,,-73.12,,-63.80,,-28.08,-28.90,-24.60,,1.79,2.28,3.99,,-10.37,-4.78,-4.56,,-1.53,0.38,1.24,,-9.32,-11.80,-9.99,,-5.81,-7.12,0.46,,4.30,6.23,2.20,0.48,0.53,2.22,1.32,2.39,-2.26,-3.46,-1.64,-2.86,-4.82,-4.26,-2.12,-3.17,-6.12,-7.59,-3.71,-1.24
CWKGrahamCurrent_sy,-95.62,-95.94,,,-9.60,,-91.13,,-68.77,-57.06,-65.84,,83.94,36.94,114.52,,-37.36,83.06,-6.66,,-0.23,-8.43,16.02,,45.51,126.02,162.68,,99.35,22.18,4.08,,6.12,9.31,1.28,-32.51,1.56,-31.69,-9.44,39.20,-21.89,10.65,10.90,-8.25,-3.16,15.42,-12.72,-14.39,-11.23,-18.91,-8.26,45.04
CWKGrahamCurrent_qq,,,,,,-5.78,-7.80,,,-6.85,-2.22,,,-6.40,-0.59,,,-0.57,-0.36,,,1.36,0.50,,,-1.43,2.56,,,-2.79,10.93,-0.19,-3.09,-0.99,6.72,-1.87,-3.04,0.67,5.78,-0.83,-7.45,-0.57,7.78,-2.06,-9.32,0.02,10.19,-3.11,-12.08,-1.55,14.82,-0.62
CWKGrahamCurrent_sq,,,,,,-64.89,25.01,,,-51.73,-0.56,,,-64.07,55.77,,,5.00,-20.57,,,-3.62,0.64,,,49.71,16.97,,,-8.25,-0.36,14.82,1.09,-5.50,-7.67,-23.49,52.13,-36.44,22.40,17.61,-14.63,-9.96,22.68,-2.70,-9.89,7.31,-7.23,-4.55,-6.57,-1.97,4.95,50.90
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,20.96,44.71,,,20.58,,-2.00,6.16,17.91,24.67,24.83,10.56,0.56,-17.06,-21.60,-35.67,-20.30,-16.59,-18.48,-3.27,-27.07,-44.49,-39.61,-23.53,12.65,86.47,90.20,76.77,46.21,32.37,22.27,-15.06,-20.68,-29.67,-21.12,4.44,15.87,0.52,-6.43,-6.43,15.29,47.50,59.45,55.09,27.46,15.64,16.80,16.66,21.41,32.14,31.22,30.02
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
