,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q4
EVEBITCurrent_sq,,,,,,-29.83,25.81,-4.71,13.78,-1.41,23.65,,,,,
EVEBITDACurrent,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,191.35,-74.86,-68.01,,,1264.57,,1032.64,522.21,-61.18,185.96,-77.87,-36.64,-68.31,218.62
EVEBITDACurrent_sy,,-2.45,-15.46,-11.91,,,27.73,,23.86,44.09,21.46,-3.67,-17.59,-25.27,11.67,12.58
EVEBITDACurrent_qq,,,,,,-42.98,1338.50,-42.57,140.44,-68.68,-10.26,,,,,
EVEBITDACurrent_sq,,,,,,-15.16,41.53,-10.83,15.68,-1.31,19.31,,,,,
ROE,,,,,,,,,,,,,,,,
ROE_yy,,-424.25,107.86,42.54,,,-113.72,,-136.04,,402.26,-186.73,-3805.39,88.39,245.91,-66.03
ROE_sy,,-69.72,125.65,35.79,,,-39.77,,-36.93,,-17.89,10.66,17.85,1.80,0.12,17.28
ROE_qq,,,,,,,,184.18,-427.52,,,,,,,
ROE_sq,,,,,,,,-3.80,-10.90,,,,,,,
ROA,,,,,,,,,,,,,,,,
ROA_yy,,-239.90,118.31,170.90,,,-110.84,,-129.87,,405.93,-183.38,-2629.90,83.19,292.47,-65.88
ROA_sy,,-64.11,80.13,35.47,,,-45.53,,-55.77,,-5.47,10.03,6.34,23.40,-5.89,9.01
ROA_qq,,,,,,,,188.14,-423.08,,,,,,,
ROA_sq,,,,,,,,13.18,-16.19,,,,,,,
OPM,,,,,,,,,,,,,,,,
OPM_yy,,-81.64,328.82,39.60,,,-83.85,,-86.90,-92.00,233.47,-110.83,1265.17,70.54,-12.30,-63.70
OPM_sy,,11.76,66.48,-3.94,,,-43.07,,-49.53,-46.59,3.14,-12.68,15.54,18.71,0.99,1.63
OPM_qq,,,,,,6.80,-80.86,73.02,-62.95,-34.81,698.06,,,,,
OPM_sq,,,,,,-5.87,-51.24,51.72,-27.54,-0.37,-5.83,,,,,
ROS,,,,,,,,,,,,,,,,
ROS_yy,,-187.99,133.79,142.49,,,-110.77,,-146.51,-138.84,487.93,-188.89,-1604.17,83.87,275.50,-62.13
ROS_sy,,-60.87,206.88,24.74,,,-64.82,,-58.29,-79.84,16.81,3.83,9.65,19.04,15.73,-11.73
ROS_qq,,,,,,-0.12,-110.76,191.38,-573.58,16.60,207.48,,,,,
ROS_sq,,,,,,0.32,-62.99,49.36,-24.79,-51.52,114.45,,,,,
RS,,,,,,,,,,,,,,,,
RS_yy,,-78.43,241.94,94.04,,,-47.68,,-71.08,-67.75,-40.48,-168.59,358.04,51.76,17.33,-49.44
