,2010/Q4,2011/Q4,2012/Q4,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600,14600
ShareAmountCurrent,6364936000,6364936000,6364936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000,11346936000
WKCurrent,12720,14270,10230,10010,10170,10400,10430,10790,10850,11310,11700,12270,12620,12900,12520,12840,12900,13120,12680,13510,14360,14850,14010
CWKCurrent,1150,1020,1430,1460,1440,1400,1400,1350,1350,1290,1250,1190,1160,1130,1170,1140,1130,1110,1150,1080,1020,980,1040
WKGrahamCurrent,-10480,-10860,-14680,-6150,-8380,-8800,-11260,-11610,-13160,-13480,-13210,-13370,-13300,-13220,-13800,-13500,-14210,-15040,-16239,-16010,-17110,-17890,-19720
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,49300,59510,60760,38070,39510,40330,42500,43060,43570,44980,44520,46080,47760,49500,51680,53580,57120,59570,62400,64140,64590,65349,64360
CPCurrent,300,250,240,380,370,360,340,340,340,320,330,320,310,300,280,270,260,250,230,230,230,220,230
ZCurrent,2930,610,1700,1000,820,770,650,880,1030,1270,1540,1760,1760,1570,1480,1170,870,800,750,1280,2070,2350,1410
CZCurrent,4980,24110,8600,14560,17780,18960,22320,16620,14190,11510,9480,8290,8270,9280,9840,12480,16790,18290,19590,11420,7070,6210,10360
ZOCurrent,2990,1510,3340,730,1530,1450,1380,1700,1900,2240,2560,2860,2840,2560,2400,2020,1740,1670,1650,2310,3220,3700,2960
