,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,-89.38,,,,,,-5.66,-48.28,,-50.95,-77.45,-45.28,,-59.95,-59.16,-69.53,,-37.14,-25.93,-30.24,,,,729.63,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,-98.53,,,,,,-83.07,-68.99,,129.81,137.60,32.86,,31.24,-55.70,-7.82,,-10.98,-2.57,-54.67,,,,295.40,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,-13.23,-57.97,60.06,61.61,-52.42,,,-25.71,15.45,,,-24.26,-13.87,,,-10.75,-18.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,-12.62,-21.09,-88.53,114.03,60.10,,,121.29,-10.47,,,-25.30,86.28,,,-18.25,-13.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,20.49,-2.45,,,,0.34,7.54,9.52,8.30,12.12,2.97,4.55,13.06,12.09,10.35,-3.23,-19.69,-25.18,-20.60,-9.99,5.01,34.15,47.61,50.44,68.87,41.51,29.57,22.07,4.88,9.78,5.32,7.87,5.62,-1.94,-0.18,-1.33,3.14,9.81,17.47,33.63,48.20,48.04,40.13,25.75,11.37,8.15,5.73,0.30,-1.42
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,-0.14,0.83,0.75,-1.09,7.03,2.69,-0.37,2.40,-1.71,4.26,7.74,1.52,-3.23,-8.57,-10.59,-5.42,2.69,3.64,4.31,20.83,13.00,5.63,17.09,1.25,3.46,-0.48,0.60,5.98,-0.75,1.93,-1.49,-1.60,1.03,0.76,2.97,4.76,8.08,14.62,14.19,4.65,2.31,2.86,1.14,1.62,0.01,-2.42,-0.60
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,-17.01,2.50,,,,-0.33,-7.01,-8.69,-7.66,-10.81,-2.88,-4.35,-11.55,-10.78,-9.39,3.34,24.52,33.65,25.95,11.10,-4.76,-25.45,-32.25,-33.53,-40.79,-29.33,-22.82,-18.08,-4.65,-8.92,-5.05,-7.30,-5.33,1.98,0.18,1.35,-3.03,-8.94,-14.87,-25.17,-32.53,-32.45,-28.64,-20.48,-10.22,-7.53,-5.41,-0.30,1.44
CPCurrent_sy,-6.43,-30.78,,,,-21.12,-22.90,-0.04,-2.73,3.89,35.77,2.14,5.33,19.69,-2.53,-3.05,0.23,15.98,35.24,39.33,27.80,6.29,-16.47,-26.75,-30.47,-29.17,-33.51,-22.64,-14.55,-19.34,-1.37,-8.19,-11.01,-9.40,-17.33,-14.18,-9.67,-3.78,9.64,13.14,-1.86,-0.65,-9.84,-16.45,-6.97,-11.09,-12.63,-7.45,-6.99
CPCurrent_qq,,,0.15,-0.82,-0.74,1.10,-6.57,-2.61,0.37,-2.34,1.74,-4.09,-7.18,-1.49,3.33,9.38,11.84,5.73,-2.62,-3.51,-4.13,-17.24,-11.50,-5.33,-14.60,-1.23,-3.35,0.49,-0.60,-5.66,0.76,-1.89,1.52,1.63,-1.02,-0.75,-2.87,-4.56,-7.47,-12.76,-12.42,-4.45,-2.25,-2.79,-1.12,-1.59,,2.45,0.61
CPCurrent_sq,,,-5.17,0.95,-0.81,-16.93,-7.31,30.89,-3.48,-11.28,21.13,-1.53,-0.46,0.82,-1.36,-2.05,2.90,16.66,15.02,0.91,-5.61,-2.98,-9.61,-11.51,-10.41,-1.16,-15.14,2.95,-1.04,-6.70,3.76,-4.17,-4.08,-5.01,-5.32,-0.52,0.96,1.19,7.89,2.65,-12.42,2.43,-2.09,-4.88,-2.48,-2.11,,0.76,-2.00
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,-13.01,135.12,,,,-22.93,-29.41,-31.32,3.94,65.22,16.22,26.66,11.45,7.24,66.43,88.59,65.07,-1.59,-37.16,-59.75,-55.69,-27.94,-23.20,17.45,25.10,146.18,163.36,119.95,138.46,-61.66,-59.01,-39.26,-37.62,41.61,22.23,-26.34,-47.27,-113.32,-71.69,-157.50,-75.25,104.45,-166.11,242.16,480.33,34464.58,1753.91,479.57,268.00
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,25.48,-6.20,-23.55,-14.35,14.93,-8.73,15.69,36.15,-19.16,-0.53,1.79,31.01,25.46,12.72,-10.90,-21.90,-19.89,-27.80,-1.91,27.01,-14.62,10.42,4.48,149.93,-8.66,-7.78,13.27,-59.82,-2.34,36.66,16.32,-8.78,-15.70,-17.65,-16.73,-123.05,279.15,-267.25,135.85,-95.86,-2762.50,459.62,46.34,146.67,27.40,26.02,-7.08
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,14.95,-57.46,,,,29.74,41.66,45.60,-3.79,-39.47,-13.95,-21.05,-10.27,-6.75,-39.92,-46.97,-39.42,1.62,59.14,148.46,125.67,38.77,30.22,-14.86,-20.07,-59.38,-62.03,-54.53,-58.07,160.83,143.99,64.63,60.32,-29.37,-18.18,35.76,89.64,,253.25,,303.93,,,,-82.76,-99.71,,-82.75,-72.83
CZCurrent_sy,-12.30,-74.56,,,,39.99,-34.04,-3.16,-19.19,34.10,-53.03,-37.80,-20.12,141.87,45.23,-31.92,-38.98,-72.83,-0.66,104.45,199.68,145.03,128.84,2.09,-34.46,-50.60,-58.69,-23.61,-31.32,47.79,4.31,-8.40,0.69,-29.84,-17.92,-59.72,-50.87,,-48.70,,164.38,,,,-59.35,-17.32,,-6.07,30.29
CZCurrent_qq,,,-20.30,6.60,30.81,16.75,-12.98,9.56,-13.56,-26.56,23.71,0.52,-1.75,-23.68,-20.29,-11.28,12.24,28.02,24.83,38.51,1.95,-21.27,17.14,-9.44,-4.28,-59.99,9.48,8.45,-11.72,148.86,2.41,-26.82,-14.03,9.63,18.63,21.43,20.08,,,,,2331.82,,,-31.67,-59.46,-21.51,-20.65,7.62
CZCurrent_sq,,,347.75,-23.67,-4.82,-56.96,110.96,12.07,-20.58,-28.58,-26.10,48.39,2.00,116.25,-55.63,-30.44,-8.58,-3.72,62.25,43.15,34.01,-21.27,51.52,-36.13,-13.98,-40.66,26.73,18.09,-22.66,27.68,-10.55,3.70,-14.99,-11.03,4.64,-49.10,3.68,,,,,-45.33,,,-14.12,11.19,-1.14,-0.50,19.12
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,-27.87,193.34,,,,-30.20,-32.19,-35.16,-15.23,78.26,27.85,48.00,37.44,8.36,55.10,45.07,26.95,-22.51,-46.43,-60.35,-52.97,-5.76,8.29,66.01,117.58,44.85,59.06,22.46,-7.59,1.31,-8.83,21.15,24.74,14.66,18.90,-12.16,-27.38,-70.82,-45.36,-64.40,-3.41,198.53,56.25,322.96,88.48,122.43,175.76,106.77,88.74
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,17.54,-1.18,-16.77,-27.80,14.19,-5.51,8.81,51.83,-18.10,9.39,1.04,19.71,17.22,2.31,-11.57,-26.94,-18.96,-24.28,4.90,46.40,-6.88,16.08,37.49,-2.54,2.25,-10.62,3.75,6.85,-7.98,18.76,6.83,-1.78,-4.58,-12.26,-11.69,-60.53,78.65,-42.82,139.57,22.00,-6.50,54.77,6.76,43.97,15.92,16.05,-2.55
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,38.65,-65.91,,,,43.28,47.48,54.22,17.98,-43.90,-21.78,-32.43,-27.24,-7.72,-35.53,-31.07,-21.23,29.05,86.66,152.23,112.62,6.11,-7.65,-39.76,-54.04,-30.97,-37.12,-18.34,8.21,-1.29,9.67,-17.46,-19.83,-12.79,-15.89,13.84,37.70,242.67,83.01,180.90,3.54,-66.50,-35.99,-76.36,-46.95,-55.04,-63.74,-51.64,-47.02
CZOCurrent_sy,-30.81,-18.45,,,,167.29,-29.02,18.57,-30.14,-62.27,16.83,45.93,59.27,17.98,-35.07,-63.89,-56.45,-33.95,1.84,97.32,204.18,84.58,68.06,-3.13,-43.83,-42.69,-43.93,-24.08,-21.87,1.30,-2.25,-36.70,-38.58,-28.72,-34.71,-20.75,-12.10,-20.97,-26.62,-8.31,4.47,33.59,52.01,21.50,7.55,-14.28,-16.79,-4.81,-2.05
CZOCurrent_qq,,,-14.92,1.19,20.14,38.51,-12.43,5.82,-8.09,-34.14,22.11,-8.59,-1.03,-16.46,-14.69,-2.26,13.10,36.86,23.39,32.06,-4.66,-31.70,7.38,-13.85,-27.27,2.60,-2.20,11.88,-3.62,-6.41,8.67,-15.80,-6.38,1.81,4.80,13.96,13.24,153.37,-44.03,74.92,-58.26,-18.03,6.95,-35.39,-6.33,-30.54,-13.73,-13.83,2.62
CZOCurrent_sq,,,69.03,-32.73,26.72,85.50,-55.11,12.37,-25.34,0.19,38.98,40.36,-18.51,-25.78,-23.51,-21.96,-1.70,12.55,17.94,51.22,51.54,-31.70,7.38,-12.85,-12.13,-30.31,5.05,18.01,-9.56,-9.65,1.37,-23.58,-12.25,4.85,-7.14,-7.24,-2.67,-5.74,-13.78,15.91,10.90,20.54,-1.89,-7.35,-1.84,-3.93,-4.76,5.99,1.01
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
