,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-15.93,-58.86,-27.39,,,,-19.63,-8.84,-32.82,-24.30,-19.15,-18.01,-13.27,-9.95,-3.71,43.92,56.07,58.11,54.93,4.56,-4.00,-7.75,-6.23,-5.75,-4.59,-2.38,-6.04,-6.29,-5.57,-8.00,-7.62,-7.74,-9.22
CPCurrent_sy,,-55.58,244.11,-40.13,,,,-39.08,-48.47,152.05,-53.42,93.27,65.47,-3.47,-9.56,-42.39,-27.01,-27.97,-24.86,8.71,1.71,-1.62,7.59,-29.72,-26.15,-11.09,-14.59,-0.54,1.81,-8.60,-8.34,-6.58,3.45,6.14
CPCurrent_qq,,,,,-15.27,24.99,-14.40,-11.34,-3.89,-7.89,-3.55,-5.31,-2.53,-2.57,0.15,1.25,45.68,5.65,1.46,-0.79,-1.68,-3.00,-2.51,0.85,-1.18,-1.81,-0.24,-2.93,-1.44,-1.06,-2.81,-2.53,-1.56,-2.65
CPCurrent_sq,,,,,-1.34,-65.96,420.54,-65.16,-16.54,66.51,-3.79,44.56,-28.55,-2.86,-9.86,-7.92,-9.47,-4.14,-5.97,33.22,-15.29,-7.28,2.83,-12.98,-11.00,11.63,-1.22,1.35,-8.90,0.23,-0.95,3.30,0.88,2.84
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,78.60,59.22,71.81,,,,-41.90,-40.31,38.77,47.88,58.81,68.26,21.30,12.03,46.41,-13.99,-30.28,-30.96,-53.79,-22.65,6.04,23.35,25.51,18.69,-3.73,-22.13,-6.77,-27.83,-24.48,-15.21,3.91,37.21,271.39
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,2.54,-37.39,-0.28,-9.25,5.36,45.55,6.26,-2.54,11.62,4.92,-1.86,27.38,-34.43,-14.95,-2.81,-14.74,9.76,16.59,13.06,-13.25,3.79,-5.43,-8.55,3.86,-19.65,-1.05,2.69,27.28,6.09,167.84
