,2011/Q4,2012/Q4,2013/Q4,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,21666667000,21666667000,21666667000,21666667000,21666667000,21666667000,21666667000,23025490000,23025490000,23025490000,23030490000,23030490000,23030490000,23030490000,23030490000,23030490000,23030490000,23030490000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,43.04,141.17,-66.75,,,,6.18,1.85,-82.52,-84.01,-89.92,-90.63,-51.89,-54.64,-38.32,-39.94,-38.97
WKCurrent_sy,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,4.22,1.94,2.72,-2.70,-0.03,-82.51,-6.03,-38.65,-7.10,-10.16,-11.42,-16.56,-9.55,-8.71
WKCurrent_sq,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-30.09,-58.54,200.75,,,,-5.83,-1.82,472.09,525.58,891.92,967.87,107.86,120.44,62.20,66.51,63.75
CWKCurrent_sy,,-13.18,-14.75,44.44,,,,-5.63,9.38,12.26,-3.60,-1.29,20.55,13.89,10.69,23.32,-19.06,-4.80
CWKCurrent_qq,,,,,-4.05,-1.91,-2.64,2.76,0.04,471.58,6.47,62.94,7.70,11.26,12.91,19.89,10.56,9.42
CWKCurrent_sq,,,,,-23.04,3.49,14.38,3.59,-10.80,6.21,-1.78,6.08,8.94,0.34,-4.54,18.18,-28.50,18.01
WKGrahamCurrent,,,,,,,,,,,,,,,,,,
WKGrahamCurrent_yy,,18.31,117.71,-71.20,,,,-83.08,67.69,27.46,3.92,-48.73,-54.39,-54.81,-62.01,-47.98,-44.06,-42.42
WKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,
