,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,-37.70,-8.25,-0.36,14.82,1.09,-5.50,-7.67,-23.49,52.13,-36.44,22.40,17.61,-14.63,-9.96,22.68,-2.70,-9.89,7.31,-7.23,-4.55,-6.57,-1.97,4.95
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,,,221.45,,161.57,33.61,16.29,5.74,-11.77,1465.90,2193.16,2231.92,2490.57,-6.09,-76.23,-83.97,-82.71,-79.44,-42.46,-28.58,-54.28,389.86,659.05,818.20,1408.84,32.79,-22.05,-31.49,-50.05,-8.06,7.82,51.51,84.80,75.07,12.18,-31.77,-33.24
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,65.69,20.59,18.06,10.89,-15.37,4.96,7.34,-7.47,1402.04,53.71,9.16,2.79,-45.55,-61.09,-26.39,10.85,-35.25,8.91,-8.64,-29.03,593.73,68.75,10.52,16.62,-38.95,-0.94,-2.86,-14.98,12.38,16.16,36.51,3.70,6.47,-25.57,-16.97,1.46
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,,,-68.87,,-61.79,-25.12,-13.96,-5.45,13.34,-93.61,-95.64,-95.71,-96.14,6.48,320.63,523.80,478.44,386.43,73.80,40.02,118.72,-79.59,-86.83,-89.11,-93.37,-24.69,28.29,45.95,100.21,8.76,-7.25,-33.99,-45.89,-42.88,-10.85,46.56,49.80
CPCurrent_sy,,,,23.17,,-17.93,0.06,-17.60,-34.80,-6.30,22.05,-12.30,0.49,-8.81,-14.52,35.76,-2.25,9.22,9.08,1.39,15.18,-4.18,48.20,10.16,63.26,38.50,15.89,16.47,-18.61,-19.19,-34.63,-33.09,-18.91,0.39,-0.90,-14.61,-17.05,-1.28
CPCurrent_qq,,,-39.70,-17.04,-15.28,-9.83,18.17,-4.68,-6.90,8.08,-93.34,-34.94,-8.39,-2.72,83.66,156.99,35.86,-9.79,54.44,-8.17,9.45,40.91,-85.58,-40.74,-9.52,-14.25,63.79,0.95,2.94,17.63,-11.02,-13.91,-26.75,-3.57,-6.07,34.36,20.44,-1.44
CPCurrent_sq,,,-39.36,44.02,11.61,-15.81,-26.06,18.60,-11.69,20.99,-3.68,-14.78,1.19,9.78,-9.71,35.35,-27.14,22.66,-9.82,25.80,-17.23,2.04,39.47,-6.49,22.67,-13.43,16.70,-6.01,-14.27,-14.06,-5.59,-3.81,3.90,6.40,-6.80,-17.12,0.93,26.62
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,,,101.94,,185.68,65.55,-8485.71,-986.21,-267.40,3940.78,996.08,918.94,1166.45,-40.39,-82.22,-99.98,-101.34,-101.31,-84.60,2900.00,-270.11,15470.97,5371.53,29673.33,3144.41,3.23,-26.96,-37.07,-47.86,13.40,-18.66,34.37,50.79,42.79,45.61,-27.98,-14.60
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,29.81,102.34,1142.86,319.54,-128.22,-469.90,-31.35,20.75,747.46,32.96,20.04,3.20,-63.81,-60.35,-99.89,-8800.00,64.37,564.52,-79.17,-1173.33,1579.81,65.35,13.36,9.75,-49.82,17.00,-2.33,-9.07,9.14,-16.08,61.35,2.04,3.35,-14.43,-20.19,20.99
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,,,,,,,,,,,67.79,462.55,657646.34,,,549.03,-96.82,,,-98.17,-99.66,,-3.13,36.92,58.89,91.80,-11.82,22.93,-25.57,-33.69,-29.96,-31.32,38.85,17.09
CZCurrent_sy,,,,,,,,,,,,,,,189.97,58.30,-3.35,,,-10.09,68.11,,,2.67,-2.30,,-29.58,-21.32,-19.91,-13.73,-32.54,-14.59,-26.88,-21.44,1.29,4.67,-17.28,-28.39
