,2005/Q4,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,-92.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,8.41,23.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,-12.10,-27.22
CWKGrahamCurrent_sq,,,,1421.81,-91.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.10,73.73,-65.83
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,,,-33.65,,-36.70,-3.61,-2.08,-1.11,3.99,4.27,2.47,8.20,7.61,11.86,14.62,5.40,-0.30,-6.53,-8.38,-3.63,-0.59,2.95,-2.33,-7.55,-9.73,-9.69,-0.93,6.08,7.86,8.66,1.69,-4.13,-1.65,-0.57,5.15,13.07,9.97,12.42,10.38,6.84,9.07,7.12,5.75,3.96,3.68,2.76,3.26,2.97,1.25,-2.56
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,-35.53,0.43,-0.91,-1.35,-1.82,2.02,0.08,3.74,-1.56,0.26,5.67,3.18,2.32,2.74,-2.83,-2.40,-4.07,0.69,2.22,0.68,-0.65,-4.48,-3.24,-1.70,-0.60,4.79,3.60,-0.04,0.13,-1.93,-2.33,2.54,1.24,3.71,5.02,-0.27,3.49,1.83,1.66,1.80,1.65,0.53,-0.07,1.53,0.74,1.02,-0.35,-0.15,-3.05
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,,,50.72,,57.97,3.75,2.12,1.12,-3.84,-4.09,-2.41,-7.58,-7.07,-10.60,-12.75,-5.12,0.30,6.98,9.16,3.77,0.59,-2.86,2.39,8.17,10.78,10.73,0.93,-5.74,-7.29,-7.98,-1.67,4.31,1.68,0.58,-4.90,-11.56,-9.06,-11.05,-9.40,-6.40,-8.31,-6.65,-5.44,-3.81,-3.56,-2.69,-3.16,-2.88,-1.24,2.63
CPCurrent_sy,,,,50.72,,50.19,51.29,-13.10,45.49,29.20,-30.99,-39.98,-34.82,-27.41,-11.56,30.84,-1.41,-4.59,-8.19,-35.02,45.25,44.80,47.45,-12.31,-55.79,-53.48,-55.71,-21.12,-8.28,-10.45,-5.70,-5.17,-16.98,-20.64,-22.29,44.61,-12.94,-8.92,3.83,-2.69,32.30,28.03,15.92,-7.80,-12.49,-10.81,-9.93,-38.58,-28.06,-27.43,400.73
CPCurrent_qq,,,55.10,-0.42,0.91,1.36,1.86,-1.98,-0.08,-3.61,1.59,-0.27,-5.37,-3.08,-2.27,-2.67,2.91,2.46,4.24,-0.69,-2.17,-0.68,0.66,4.69,3.35,1.72,0.61,-4.57,-3.48,0.04,-0.13,1.97,2.39,-2.48,-1.22,-3.58,-4.78,0.27,-3.37,-1.80,-1.63,-1.77,-1.63,-0.52,0.06,-1.51,-0.74,-1.01,0.36,0.16,3.15
CPCurrent_sq,,,49.17,87.07,-46.71,1.00,50.27,7.45,-10.78,-10.31,-19.73,-6.54,-3.12,-0.11,-2.21,38.26,-27.00,-3.34,-5.90,-2.14,63.18,-3.63,-4.18,-41.80,-17.73,1.40,-8.77,3.66,-4.35,-1.00,-3.93,4.24,-16.26,-5.36,-5.94,93.99,-49.59,-0.99,7.23,81.81,-31.46,-4.18,-2.91,44.61,-34.96,-2.33,-1.95,-1.40,-23.81,-1.48,576.54
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,,,-61.98,,-76.07,-62.60,-55.90,-79.26,-101.38,-19.39,-24.60,120.43,7780.00,-10.60,104.63,285.52,54.86,143.54,88.24,12.97,48.49,-34.61,-118.74,-92.42,-125.56,6.19,720.49,680.70,298.23,-4.02,-41.11,-8.69,54.99,35.93,16.42,173.91,50.58,120.16,125.89,0.12,-5.65,-8.39,-25.10,-7.96,24.77,-18.94,94.10,74.59,38.49,87.93
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,-38.73,-39.45,-32.84,-3.97,-4.23,-28.60,-68.41,-106.38,5700.00,-33.21,-7.66,122.39,-34.81,52.86,73.95,-10.67,2.52,18.15,4.40,17.42,-54.85,-133.86,142.22,-495.91,287.59,97.87,-46.88,0.52,-9.17,21.41,-17.64,70.63,-20.34,3.98,93.79,-6.20,16.48,6.69,-14.11,-11.61,13.10,-12.78,5.56,19.82,-26.53,108.86,-5.05,-4.95,-0.29
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,163.03,,318.09,167.50,126.87,382.46,,23.94,32.56,-54.64,,11.88,-51.14,-74.07,-35.41,-58.93,-46.89,-11.50,-32.66,52.93,,1219.68,,-5.79,,-87.20,,4.17,69.76,9.52,-35.51,-26.47,-14.07,-63.48,-33.57,-54.56,-55.74,-0.12,5.97,9.14,33.54,8.66,-19.85,23.37,-48.49,-42.73,-27.79,-46.78
CZCurrent_sy,,,,163.03,,226.76,268.39,61.30,178.65,,24.47,86.44,56.17,,-24.44,-45.57,-44.25,223.12,4.59,-43.82,-35.98,-55.25,4.96,,184.47,,33.51,,-56.32,,-34.12,-34.85,-47.94,-52.55,-34.10,-40.33,-52.91,-49.83,-44.61,-32.94,-5.24,5.26,-2.03,26.71,22.88,3.67,-27.98,-38.82,-25.67,-16.07,30.90
CZCurrent_qq,,,63.20,65.16,48.91,4.17,4.42,40.07,216.67,,,49.82,8.36,-55.07,53.38,-34.57,-42.50,11.93,-2.48,-15.37,-4.20,-14.83,121.47,,,,,-49.48,88.17,-0.46,10.08,-17.67,21.40,-41.39,25.52,-3.79,-48.41,6.62,-14.15,-6.28,16.43,13.13,-11.59,14.68,-5.27,-16.55,36.09,-52.12,5.33,5.20,0.30
CZCurrent_sq,,,51.36,195.80,-25.12,-2.53,70.64,29.52,29.36,,,94.00,8.36,-76.35,51.96,39.75,10.97,37.11,-50.81,-24.94,26.46,-4.17,15.38,,,,,-12.34,-3.97,4.85,-25.36,-13.31,-23.26,-4.44,3.66,-21.51,-39.44,1.81,14.46,-4.98,-14.42,13.09,6.53,22.90,-17.01,-4.59,-25.99,4.39,0.84,7.72,15.43
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,,,-66.59,,-86.43,-74.07,-67.21,-68.31,-86.42,45.47,94.54,383.18,2217.17,18.54,41.93,8.90,-14.47,66.20,60.32,81.53,54.94,-10.46,-18.16,-49.15,-57.96,-53.16,-36.98,6.48,34.35,105.84,23.84,-49.88,-57.02,-59.97,-7.54,196.39,253.12,278.02,98.50,28.26,16.50,-3.36,-12.99,-32.15,-27.93,-38.17,107.26,171.90,178.29,196.43
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,-40.66,-43.96,-43.31,-28.04,13.44,-29.14,-45.22,-69.16,1115.15,-5.24,36.05,47.90,-37.84,13.46,4.39,16.16,20.80,9.45,18.20,-0.85,-30.20,0.05,-26.57,-18.02,-22.22,34.61,24.07,3.43,19.16,-19.01,-49.79,-11.30,10.98,87.06,60.97,5.68,18.80,-1.78,4.01,-4.02,-1.45,-11.56,-18.90,1.96,-15.45,196.43,6.40,4.35,-9.94
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,,,199.29,,637.02,285.48,204.80,215.85,637.50,-31.22,-48.55,-79.33,-95.69,-15.65,-29.57,-8.17,16.90,-39.83,-37.61,-44.91,-35.46,11.68,22.19,96.70,137.94,113.47,58.65,-6.12,-25.59,-51.41,-19.23,99.51,132.65,149.79,8.16,-66.25,-71.68,-73.54,-49.63,-22.05,-14.16,3.47,14.92,47.42,38.79,61.71,-51.75,-63.23,-64.07,-66.26
CZOCurrent_sy,,,,199.29,,172.52,229.06,-25.11,34.57,35.28,-20.07,109.38,49.36,2.40,50.63,-29.57,43.26,114.19,12.97,36.10,68.17,22.72,-25.13,-39.69,-68.25,-31.70,59.41,51.51,41.35,-25.59,-55.85,-45.98,-38.55,-40.91,-23.17,-2.27,-32.32,-18.91,-22.50,-38.52,-43.83,-33.95,-21.62,4.38,15.91,-3.11,-23.67,-37.89,-26.30,-9.38,30.01
CZOCurrent_qq,,,68.51,78.45,76.47,38.89,-11.87,41.10,82.87,224.31,-91.78,5.54,-26.52,-32.39,60.86,-11.88,-4.19,-13.93,-17.21,-8.63,-15.39,0.84,43.26,-0.03,36.21,21.98,28.52,-25.71,-19.40,-3.32,-16.07,23.50,99.09,12.74,-9.89,-46.53,-37.87,-5.40,-15.81,1.81,-3.86,4.18,1.47,13.08,23.33,-1.91,18.22,-66.26,-6.01,-4.17,11.03
CZOCurrent_sq,,,53.29,216.11,-42.67,-1.89,85.09,-28.06,3.02,-1.38,9.35,88.47,-26.52,-32.39,60.86,-11.88,49.48,1.09,-15.16,6.16,84.70,-26.23,-48.24,-14.48,-2.76,58.68,20.81,-18.72,-9.29,-16.47,-28.32,-0.55,3.18,-19.67,-6.80,26.50,-28.54,-3.75,-10.93,0.35,-34.71,13.18,5.70,33.65,-27.50,-5.39,-16.74,8.76,-13.98,16.34,19.46
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,,,-40.46,,-5.21,88.24,103.60,12.20,9.07,6.78,9.28,-0.95,-9.49,-4.56,-3.35,17.14,19.39,,-6.87,-14.63,-9.84,3.26,1.86,15.69,11.70,-3.16,20.90,15.84,-16.83,27.13,-2.62,-1.15,30.04,-1.69,-2.82,-5.58,-9.56,-9.47,-10.24,-12.04,-7.33,-10.98,-8.98,-7.58,-12.23,-8.75,-4.70,-30.51,-27.25,-31.16
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
