,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,2800000000,2800000000,3000000000,3000000000,3000000000,3000000000,3000000000,3000000000,3000000000,3000000000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000,3307282000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,32.79,30.87,,,20.92,,-40.50,-38.59,-36.25,-24.39,43.44,33.64,24.55,0.18,22.70,10.25,8.42,10.67,-3.23,5.15,9.23,6.79,1.30,0.57,8.04,4.08,-1.59,-1.67,-10.03,-7.30,-16.86,-17.38,-18.39,-16.65,-11.82,-8.51,-9.07,-6.84,-1.62
