,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800,43800
ShareAmountCurrent,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000,41972000000
WKCurrent,19930,22060,12410,11540,12070,12480,13390,10960,11870,12470,13180,12340,12700,13210,14280,13890,14480,15180,16070,16560,16079,16660,17570,15800,16510,16980,17800,16250,17210,17740,18400,17250,18370,19320,20000,19680
CWKCurrent,2200,1990,3530,3800,3630,3510,3270,4000,3690,3510,3320,3550,3450,3320,3070,3150,3020,2890,2730,2640,2720,2630,2490,2770,2650,2580,2460,2700,2550,2470,2380,2540,2380,2270,2190,2230
WKGrahamCurrent,4070,10020,3140,2910,3460,4460,3980,1600,3580,4030,1130,220,460,1050,510,360,820,1470,2029,2600,2140,3030,3970,2170,2980,3160,4059,2450,3290,3530,4180,3030,4210,5130,5890,5910
CWKGrahamCurrent,10770,4370,13950,15070,12660,9830,11010,27430,12220,10870,38710,200740,95160,41890,85090,120770,53640,29800,21610,16820,20500,14450,11020,20150,14710,13870,10780,17850,13310,12420,10470,14430,10400,8550,7440,7410
PCurrent,5450,4400,4750,5170,5170,5380,5740,6000,6390,6400,6280,6320,6210,6520,6890,6760,6840,6760,6930,7040,7250,7570,7610,7790,7810,7810,7640,7580,7460,7410,7640,7960,8140,8390,8260,8240
CPCurrent,8029,9950,9220,8470,8470,8150,7630,7310,6860,6840,6970,6930,7050,6710,6360,6480,6400,6480,6320,6220,6040,5790,5760,5620,5600,5610,5730,5780,5870,5910,5730,5500,5380,5220,5300,5320
ZCurrent,3820,2140,2400,2480,2290,2260,2540,2660,3040,3190,3060,2890,2600,2520,2730,2520,2520,2700,2600,2680,2770,2670,2690,2850,2850,2890,2590,2740,2960,3120,3180,3390,3560,3720,3740,4620
CZCurrent,11470,20490,18240,17650,19120,19410,17240,16470,14420,13750,14320,15130,16850,17380,16040,17410,17360,16219,16880,16360,15800,16400,16290,15390,15360,15130,16920,16010,14800,14020,13790,12940,12290,11780,11730,9480
ZOCurrent,3490,1690,1890,2250,2170,2190,2490,2650,2940,3180,3120,3060,2990,2980,3160,2910,2840,2830,2800,2880,3060,3220,3370,3540,3520,3650,3330,3460,3700,3760,3900,4200,4310,4380,4250,4180
CZOCurrent,12560,25850,23120,19470,20140,20040,17580,16520,14890,13750,14060,14320,14650,14680,13860,15070,15430,15500,15650,15180,14290,13580,12980,12380,12450,11990,13140,12650,11840,11640,11230,10440,10160,10000,10320,10480
EVCurrent,42790,38340,32270,42150,42420,41240,40660,39300,42000,40920,41930,42090,41470,43780,39680,38790,43600,42200,42640,37330,37320,40350,40640,38980,41540,41040,38150,37680,39580,39030,40910,38530,39420,38060,39410,37450
EVPCurrent,7850,8710,6790,8150,8200,7670,7090,6560,6580,6390,6680,6660,6680,6710,5760,5740,6380,6240,6150,5300,5140,5330,5340,5000,5320,5250,4990,4970,5310,5270,5350,4840,4840,4540,4770,4550
EVEBITCurrent,12270,22630,17030,18730,19500,18870,16320,14820,14280,12850,13460,13760,13870,14670,12550,13350,15360,14930,15240,12940,12180,12510,12050,11020,11800,11240,11440,10880,10700,10370,10490,9190,9150,8690,9280,8960
EVEBITDACurrent,12270,22630,17030,18730,19500,18870,16320,14820,14280,12850,13460,13760,12630,12960,10890,10840,12900,12270,12200,10480,9970,10320,10070,9310,9960,9560,9590,9180,9130,8920,9060,7990,7960,7530,7950,7620
DTAR,40,30,510,200,50,60,70,270,60,280,430,480,420,420,430,460,400,320,390,400,410,320,300,390,300,340,320,390,310,360,350,400,300,290,300,350
