,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
QuoteCurrent,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030,1030
ShareAmountCurrent,47433064000,47433064000,80737307000,80737307000,79151281000,79151281000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,120328705000,111333650000,111333650000,111333650000,111333650000,111333650000,111333650000,111333650000,91302638000,91302638000,61172768000,61172768000
WKCurrent,2290,5260,1590,1560,2490,2460,2730,2810,3390,3420,3560,3570,3600,3620,3560,3490,3450,3390,3250,3300,3170,3130,3120,2550,2550,2640,2640,2850,2980,3020,2990,2950,3050,2700,3170,2029,2000,1970
CWKCurrent,450,200,650,660,410,420,380,370,300,300,290,290,290,280,290,290,300,300,320,310,330,330,330,400,400,390,390,360,350,340,340,350,340,380,330,510,520,520
WKGrahamCurrent,-1360,1330,-5510,-2510,-6130,-6070,-1800,-1180,-690,800,390,230,10,-250,-420,-550,-660,-640,-1180,-990,-1110,-1040,-1150,-220,-140,-280,-360,-320,-210,-80,-160,-110,120,-50,-30,500,70,490
CWKGrahamCurrent,,770,,,,,,,,1280,2660,4450,104940,,,,,,,,,,,,,,,,,,,,8700,,,2050,15470,2090
PCurrent,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,290,770,880,860,740,250,180,170,340,760,970,1520,2060,1360
CPCurrent,,4800,,,,,,,,,,,,,,,,,,,,,,7210,3590,1340,1160,1200,1390,4120,5620,5990,3040,1350,1060,680,500,760
ZCurrent,1690,2980,-2740,-2680,-2200,-1020,310,400,440,480,420,350,170,160,20,-110,-210,-280,-490,-330,-380,-320,-100,-220,-90,0,50,180,310,210,140,90,40,70,10,-40,-670,-770
CZCurrent,610,350,,,,,3370,2540,2350,2130,2470,2930,6220,6590,44990,,,,,,,,,,,1967280,18800,5880,3360,4920,7290,10930,28240,15410,89310,,,
