,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700,22700
ShareAmountCurrent,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,268325000000,348352836000,348352836000,348352836000,348352836000,348352836000,348352836000,348352836000,348352836000,348352836000,348352836000,348352836000,348352836000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000,639546016000
WKCurrent,-350,-440,-230,220,230,470,760,930,1090,1360,0,1050,1200,1520,1200,1460,1590,1880,5370,5220,5440,6000,6290,6760,7090,7360,7600,8109,8620,8920,14220,14280,14190,14560,14940,15730,16030,16300,16680,17120,17670,18100,18240,18620,18880,20130,20170
CWKCurrent,,,,102110,99620,48670,29840,24290,20760,16640,,21680,18890,14910,18880,15580,14230,12080,4230,4350,4170,3780,3610,3360,3200,3090,2990,2800,2630,2540,1600,1590,1600,1560,1520,1440,1420,1390,1360,1330,1280,1250,1240,1220,1200,1130,1130
WKGrahamCurrent,-920,-770,-620,-210,-380,-130,150,300,340,580,0,150,-70,110,-460,-340,-440,-310,-6470,-6710,-6840,-6140,-6410,-6030,-5760,-5350,-5110,-4620,-4180,-3860,-22360,-22600,-22330,-21610,-20810,-19290,-18780,-22020,-21290,-20350,-19670,-18750,-18340,-17600,-18310,-16610,-17940
CWKGrahamCurrent,,,,,,,146780,74500,66050,38820,,156360,,203730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,660,1040,1780,2620,2930,3170,3510,3810,4090,4340,4510,4630,4720,4960,5190,5380,5520,5630,5090,5810,6790,7560,7800,7890,7980,8060,8119,8210,8360,8430,6170,8900,11590,14100,15230,15220,15360,15410,15370,15330,15210,15250,15290,15300,15370,15300,15510
CPCurrent,34280,21910,12730,8660,7740,7150,6470,5950,5540,5230,5040,4900,4810,4570,4370,4220,4110,4030,4460,3910,3340,3000,2910,2880,2850,2820,2800,2760,2720,2690,3680,2550,1960,1610,1490,1490,1480,1470,1480,1480,1490,1490,1480,1480,1480,1480,1460
ZCurrent,100,-130,210,460,420,540,670,810,1010,1040,950,860,860,910,950,980,960,930,720,350,460,830,920,1590,1720,1400,1350,1360,1510,1520,910,710,460,570,840,1550,1820,1830,1720,1370,1630,1790,1870,1820,1530,1570,1480
CZCurrent,229090,,109260,49280,53700,41900,33960,27910,22580,21880,23840,26310,26450,24980,23910,23160,23570,24490,31480,65440,49360,27370,24790,14300,13220,16190,16840,16690,15050,14960,25030,32140,49630,39760,27010,14640,12480,12430,13180,16550,13940,12680,12110,12480,14800,14490,15340
ZOCurrent,-30,-10,160,480,540,690,860,1020,1210,1220,1100,990,1030,1110,1190,1230,1210,1170,1140,1330,1610,1920,2029,2170,2270,2210,2160,2180,2270,2370,1610,1960,2260,2580,2870,3030,3110,3100,2820,2700,2610,2660,2840,2790,2870,2830,2770
CZOCurrent,,,145590,47220,41960,32960,26320,22280,18780,18680,20560,22930,22060,20470,19080,18500,18700,19350,19870,17030,14110,11850,11180,10440,10020,10260,10500,10430,10010,9590,14130,11560,10070,8790,7900,7500,7310,7330,8050,8420,8700,8520,8010,8130,7920,8010,8200
EVCurrent,23510,23380,23180,22860,22970,23100,22820,22500,22200,22450,22700,22360,22510,22500,22610,22850,22670,22740,29480,29680,29740,29080,29350,28850,28480,28360,28210,27920,27240,27140,42030,42170,41920,42020,41290,40110,39690,41970,41330,40780,40120,39490,38800,38860,39130,38750,38910
EVPCurrent,35500,22570,13000,8720,7830,7280,6510,5900,5420,5170,5040,4830,4770,4530,4350,4250,4100,4040,5800,5110,4380,3850,3760,3660,3570,3520,3470,3400,3260,3220,6810,4740,3620,2980,2710,2640,2580,2720,2690,2660,2640,2590,2540,2540,2550,2530,2510
EVEBITCurrent,-732600,-1702540,148660,47540,42460,33540,26450,22080,18370,18470,20560,22580,21880,20290,19000,18620,18670,19380,25810,22270,18490,15180,14450,13270,12570,12820,13050,12820,12010,11460,26170,21480,18590,16270,14370,13260,12780,13560,14650,15130,15370,14830,13690,13910,13650,13670,14050
EVEBITDACurrent,120070,135120,83630,42350,37140,30060,24280,20240,17130,17080,18550,19880,18990,17380,16040,15350,14950,14940,18230,14480,11450,9340,8940,8430,8090,8140,8160,7910,7490,7290,15470,11250,9050,7510,6860,6660,6510,6970,6880,6760,6630,6390,6270,6420,6510,6520,6570
DTAR,1360,1490,1170,880,900,790,680,610,610,530,,620,580,520,660,600,580,590,640,660,650,620,610,570,560,540,530,500,470,470,670,670,670,660,650,620,610,630,610,600,590,580,570,560,560,540,550
CG,-3740,-3040,-6620,7400,8740,3810,2090,1590,1580,1140,,1620,1400,1100,1930,1520,1370,1430,1810,1950,1820,1630,1550,1340,1250,1200,1110,980,890,880,2060,2009,2009,1910,1840,1600,1580,1720,1580,1500,1450,1370,1340,1250,1300,1160,1260
LDER,-2240,-20,-490,800,2210,970,390,280,200,130,,50,90,120,190,170,160,150,1300,1390,1310,1150,1080,910,820,800,730,650,570,560,1620,1560,1550,1460,1400,810,760,1320,1250,1190,1120,1000,970,920,970,940,940
