,2004/Q4,2005/Q4,2006/Q4,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,50.66,-39.43,,-61.03,,,,-8.56,-8.59,-9.08,-10.21,-7.64,-8.32,-6.74,-5.05,-7.05,-9.69,-11.09,-11.95,-15.78,-16.05,-7.01,-5.22,-6.94,-2.78,8.32,-4.96,-13.25,-13.94,-29.17,-6.70,28.41,37.10,29.24,71.36,37.75,34.00,41.68,-4.71,3.67,0.45,2.70,12.40,45.17,58.94,30.22
CWKGrahamCurrent_sy,,-12.33,68.86,,-49.49,,,,86.79,55.92,42.46,-7.74,-14.27,-20.20,-26.20,-11.33,-36.55,-30.50,-18.52,-10.26,-3.38,18.38,20.34,534.70,18.92,13.49,-1.45,16.81,-13.44,1.72,11.54,6.96,0.18,4.29,-0.18,5.67,37.83,-38.78,-8.90,22.43,5.06,53.29,-2.68,-45.63,-32.50,10.04,26.67
CWKGrahamCurrent_qq,,,,,,-2.53,-1.10,-3.08,-2.12,-2.56,-1.64,-4.28,0.68,-3.28,0.06,-2.55,-1.44,-6.03,-1.49,-3.49,-5.73,-6.33,9.11,-1.63,-7.45,-2.14,21.56,-13.69,-15.52,-2.91,0.05,13.70,16.27,3.66,-5.69,50.75,-6.53,0.84,-0.28,1.39,1.69,-2.30,1.95,10.96,31.34,6.97,-16.47
CWKGrahamCurrent_sq,,,,,,-8.12,1.71,-80.59,930.02,-23.30,-7.07,-87.43,857.08,-28.61,-14.06,-84.90,584.85,-21.79,0.76,-83.37,637.34,-4.17,2.43,-12.30,38.15,-8.54,-11.05,3.95,2.37,7.47,-2.46,-0.32,-4.12,11.87,-6.64,5.52,25.07,-50.31,38.92,41.81,7.32,-27.49,-11.81,-20.78,33.24,18.20,1.52
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,5.45,20.07,,-34.49,,,20.34,12.25,-1.85,-11.75,-17.26,-19.39,-5.51,9.92,29.96,54.47,56.89,51.28,42.78,27.91,19.33,15.73,9.73,7.26,3.04,3.42,5.84,20.95,28.78,25.09,19.49,1.64,-7.89,-9.54,-10.77,-9.66,-8.16,-9.02,-11.35,-16.50,-20.81,-29.35,-33.84,-37.82,-39.63,-34.37
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,6.26,6.04,5.06,1.65,-0.88,-7.27,-5.54,-4.69,-3.44,8.68,9.89,12.69,14.78,10.38,5.96,6.36,2.82,2.98,2.76,0.84,0.51,-1.07,3.14,3.21,14.85,5.34,0.18,-1.41,-2.31,-4.53,-1.61,-2.75,-1.10,-2.95,-2.54,-5.24,-6.84,-7.95,-13.06,-11.26,-12.45,-10.63,-5.47
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-5.06,-16.86,,53.02,,,-16.89,-10.93,1.98,13.21,20.84,24.02,5.81,-8.92,-22.93,-35.37,-36.38,-33.92,-30.03,-21.82,-16.19,-13.69,-8.91,-6.67,-3.00,-3.08,-5.33,-17.41,-22.12,-20.00,-16.43,-1.62,8.52,10.23,12.36,10.99,8.90,9.79,12.50,19.80,25.96,41.78,51.11,60.74,66.03,52.32
CPCurrent_sy,,-7.15,-6.27,,1.62,,,-19.36,-31.67,-26.33,-0.46,26.12,24.22,20.06,12.43,-7.97,-9.56,-18.89,-19.25,-19.15,-22.98,-21.94,-12.26,-5.19,18.66,36.75,10.60,2.73,0.04,-15.71,-0.96,0.58,-8.99,-0.96,15.57,7.76,-1.12,-1.42,-2.32,12.24,19.70,20.75,2.69,-13.27,-9.75,-3.31,-12.67
CPCurrent_qq,,,,,-5.70,-5.81,-4.69,-1.81,1.06,7.83,5.81,4.81,3.71,-8.00,-8.92,-11.31,-13.03,-9.45,-5.40,-6.08,-2.83,-2.92,-2.58,-0.88,-0.44,0.89,-2.65,-3.18,-13.15,-4.86,,1.14,2.25,4.95,1.57,3.09,1.00,2.97,2.40,5.63,7.56,8.26,15.27,12.58,14.41,11.83,5.75
CPCurrent_sq,,,,,23.28,-6.31,-25.88,-5.81,4.46,1.01,0.15,19.34,2.89,-2.38,-6.21,-2.32,1.12,-12.44,-6.63,-2.20,-3.67,-11.26,4.95,5.68,20.56,2.27,-15.12,-1.83,17.39,-13.83,,-0.31,6.22,-6.23,16.39,-7.04,-2.54,-6.51,15.32,6.82,3.94,-5.68,-1.93,-9.79,8.16,1.05,-11.43
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-82.26,238.70,,-24.75,,,88.88,-11.17,-19.88,-18.25,-14.46,-13.34,16.02,37.58,-4.27,135.85,137.56,86.17,146.26,36.85,21.03,28.52,37.39,46.17,2.50,10.55,8.99,-2.25,38.54,18.97,-34.17,-60.74,-67.43,-37.46,-9.57,106.41,83.98,-31.50,-45.99,-232.70,-261.70,-391.48,-513.62,13.61,-6.10,1.18
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
