,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020
ShareAmountCurrent,99472000000,99472000000,99472000000,121472000000,121472000000,121757404000,121757404000,121757404000,121757404000,121849439000,124728308000,124728308000,124728308000,125222164000,125222164000,125222164000,125222164000,125251703000,125259301000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000,125266899000
WKCurrent,1240,1330,1270,1560,0,1670,1800,1840,0,2310,2260,2090,2150,2300,2360,2220,2380,2520,2570,2300,2310,2380,2480,2220,2270,2400,2490,2090,2140,2160,2200,2210,2270,2310,2310,1980
CWKCurrent,820,770,800,660,,610,570,550,,440,450,490,480,440,430,460,430,400,400,440,440,430,410,460,450,420,410,490,480,470,460,460,450,440,440,520
WKGrahamCurrent,1110,1210,700,1110,0,1100,1230,1280,0,1670,1650,1480,1550,1720,1760,1580,1780,1930,1980,1710,1710,1770,1880,1610,1670,1820,1880,1450,1470,1340,1400,1390,1480,1540,1550,1210
CWKGrahamCurrent,920,840,1460,920,,920,830,800,,610,620,690,660,590,580,650,570,530,520,600,600,580,540,630,610,560,540,700,690,760,730,730,690,660,660,840
PCurrent,25490,26890,23860,19350,20690,22420,23890,23470,23490,24310,24090,26030,27740,29490,32119,34950,37510,38500,39140,41490,42790,44490,45910,42780,39950,38770,36290,37800,38360,39330,39000,36860,37060,37000,37410,37640
CPCurrent,40,40,40,50,50,50,40,40,40,40,40,40,40,30,30,30,30,30,30,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30
ZCurrent,210,150,260,200,260,320,390,370,340,420,350,310,310,250,280,400,470,470,440,410,320,270,310,340,360,370,330,240,220,140,90,100,140,210,210,110
CZCurrent,4820,6650,4000,5120,3850,3230,2640,2730,2980,2460,2940,3240,3330,4110,3580,2560,2170,2160,2320,2460,3220,3840,3240,3030,2830,2730,3100,4220,4540,7460,11200,10610,7080,4920,4760,9260
ZOCurrent,200,780,540,360,440,440,470,430,400,480,460,490,480,440,480,530,610,620,580,640,550,480,530,510,520,530,480,370,350,300,250,260,330,420,430,310
CZOCurrent,5160,1310,1880,2810,2310,2340,2180,2380,2560,2140,2220,2070,2120,2300,2140,1920,1660,1660,1750,1590,1850,2110,1930,1990,1970,1920,2120,2770,2890,3380,4010,3860,3110,2420,2390,3250
EVCurrent,1020,1010,2250,1550,1020,3250,2780,2510,1020,2770,2580,2160,1870,1970,2350,2230,2060,2009,2430,2620,2380,1400,1850,1460,1800,1540,1780,2170,1790,1520,1800,1780,1920,1750,1930,2090
EVPCurrent,40,40,90,80,50,150,120,110,40,110,110,80,70,70,70,60,50,50,60,60,60,30,40,30,50,40,50,60,50,40,50,50,50,50,50,60
EVEBITCurrent,5140,1300,4140,4280,2310,7470,5940,5850,2560,5810,5610,4390,3890,4430,4950,4180,3360,3270,4170,4070,4310,2890,3500,2850,3480,2900,3710,5900,5070,5050,7080,6730,5860,4150,4510,6660
EVEBITDACurrent,4470,1250,3900,3980,2170,6980,5560,5420,2340,5470,5300,4180,3730,4190,4710,4019,3250,3170,4040,3950,4170,2790,3390,2750,3350,2790,3560,5600,4810,4720,6420,6020,5260,3730,4030,5740
DTAR,820,780,780,670,,780,710,670,,710,660,630,640,680,640,640,650,660,650,700,710,690,680,700,700,720,680,750,770,780,690,700,740,760,710,730
CG,4410,3470,3630,2070,,3480,2450,2060,,2490,1920,1670,1780,2110,1790,1750,1830,1900,1840,2280,2450,2180,2080,2280,2370,2550,2140,2990,3300,3620,2220,2420,2950,3290,2440,2790
LDER,10,0,350,80,,160,130,40,,70,70,80,80,70,70,0,0,0,0,0,0,0,0,0,10,0,0,0,0,50,50,40,0,40,40,50
PZAT,5870,46750,130,330,,190,220,680,,290,270,220,210,230,240,6730,6510,5350,4630,4800,5010,4270,3530,3400,2970,3540,3370,3370,5020,740,760,790,7040,1090,1100,990
PELDR,9860,11610,3010,3770,,3440,3560,3390,,3900,3970,3720,3910,4250,4230,3450,3990,4250,4360,3900,3850,3870,4150,3670,3780,4140,4080,3310,3220,2630,2740,2700,2770,3000,3060,2620
TSF,190,220,290,350,,260,330,340,,310,370,400,390,340,380,360,350,350,350,310,290,320,330,310,300,280,320,250,230,230,320,300,250,240,300,270
ZKO,830,790,870,740,,840,780,750,,770,720,700,710,740,710,710,710,710,700,750,770,750,730,760,760,770,740,810,830,850,780,790,820,830,780,820
OSF,8130,9180,1940,2590,,2490,2460,2430,,2810,2680,2420,2580,2930,2790,2450,2820,3020,3060,2930,2950,2880,3030,2770,2870,3170,3010,2670,2650,2140,2029,2050,2260,2390,2280,2029
