,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880
ShareAmountCurrent,20744000000,20744000000,20744000000,20744000000,20744000000,20744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000,32744000000
WKCurrent,610,800,1370,1660,2480,5850,3820,4010,0,4280,4460,4440,4590,4730,4880,4830,4900,4960,5010,4910,4940,4990,5010,4980,4980,4990,5010,5060,5130,5210,5260,5250,5330,5420,5530,5540
CWKCurrent,6400,4870,2830,2340,1560,660,1020,970,,910,870,870,850,820,790,800,790,780,770,790,790,780,770,780,780,780,780,770,760,750,740,740,730,720,700,700
WKGrahamCurrent,150,360,870,-20,-2320,1050,690,630,0,250,230,120,290,530,680,630,690,720,770,340,240,260,290,280,310,170,220,300,420,310,380,350,440,910,410,370
CWKGrahamCurrent,26360,10870,4440,,,3700,5610,6160,,15730,16720,31950,13220,7350,5670,6180,5660,5380,5010,11390,16180,14700,13160,13980,12390,22320,17370,12940,9330,12670,10250,11170,8860,4260,9450,10550
PCurrent,3120,3860,4740,6070,4350,6670,5270,6260,6830,7930,10160,11350,12700,14030,13410,12900,11770,9880,7810,6540,6110,6400,6230,6510,6750,6420,7000,8660,10440,11600,15220,16580,15830,17220,18400,19340
CPCurrent,1240,1000,820,640,890,580,740,620,570,490,380,340,310,280,290,300,330,390,500,590,640,610,620,600,570,600,550,450,370,330,250,230,250,230,210,200
ZCurrent,110,190,240,290,240,360,330,470,560,580,640,600,610,620,590,570,490,400,310,200,160,150,120,140,110,80,70,80,140,220,250,260,270,280,340,380
CZCurrent,36400,20360,16430,13340,15870,10820,11840,8200,6950,6640,6070,6430,6370,6260,6560,6830,7900,9620,12680,19070,23750,25810,31570,28080,33830,51730,59670,50820,26850,17910,15500,14770,14230,13910,11390,10150
ZOCurrent,140,230,290,440,340,540,470,630,690,780,820,820,910,890,880,790,600,490,320,200,180,160,160,180,140,100,110,100,180,210,240,320,370,560,660,680
CZOCurrent,28170,16840,13340,8850,11400,7230,8180,6120,5590,4950,4710,4760,4270,4360,4400,4890,6450,7990,12020,19120,21060,24120,24020,21100,26790,37080,35160,37820,21350,18540,16260,12160,10600,6870,5840,5680
EVCurrent,4030,4170,4160,4610,6210,3780,3830,4720,3880,4110,4480,4400,5140,4260,5220,5570,4420,4630,4500,4680,4960,5070,5210,5570,5410,4980,4790,5280,5040,4320,5720,4720,5100,5110,6070,4440
EVPCurrent,1290,1080,880,760,1430,570,730,750,570,520,440,390,400,300,390,430,380,470,580,720,810,790,840,860,800,780,680,610,480,370,380,280,320,300,330,230
EVEBITCurrent,29230,18100,14310,10510,18240,7040,8090,7460,5590,5240,5450,5390,5650,4790,5920,7010,7340,9540,13930,23070,26900,31510,32270,30300,37370,47590,43370,51500,27740,20660,23960,14780,13930,9060,9130,6500
EVEBITDACurrent,15990,14360,11860,9350,13960,5280,6490,6330,4820,4610,4790,4680,4940,4130,5080,5920,5890,7330,9580,13260,14840,16290,16690,16740,18170,19030,17620,19900,14640,11700,14380,9890,9750,7080,7260,5120
DTAR,620,630,550,610,670,400,470,420,,490,520,420,490,450,480,430,360,330,340,330,350,340,350,390,390,390,420,530,410,530,510,520,580,610,610,590
CG,1620,1670,1230,1570,1990,680,880,710,,940,1070,730,970,810,920,750,550,500,510,500,530,510,540,650,650,640,730,1140,710,1140,1020,1100,1380,1570,1560,1440
LDER,60,20,10,150,830,340,310,320,,330,300,290,290,270,280,270,200,190,180,170,250,240,230,230,160,160,150,210,200,200,190,190,130,180,200,250
PZAT,10670,24460,34960,6610,2330,2430,2610,2590,,2840,3090,3290,3140,3220,3040,3160,4310,4550,4760,5060,3610,3730,3840,3890,5400,5470,5540,4000,4330,4380,4430,4520,6670,4630,4450,3570
PELDR,3120,4059,5600,2230,1300,1980,2230,1960,,1900,2040,1690,1930,1890,2050,1740,1620,1560,1600,1420,1470,1430,1410,1470,1440,1440,1630,2029,1680,2180,1870,2140,2330,2680,2380,2510
TSF,410,380,450,450,610,800,700,770,,680,630,740,650,700,670,730,770,790,780,780,810,820,800,740,700,700,670,570,710,560,590,570,470,460,470,510
ZKO,870,790,660,1010,1880,790,830,820,,940,950,960,940,880,870,850,800,770,770,880,920,910,900,920,910,950,940,950,900,950,930,940,940,900,950,960
OSF,1150,1430,1820,1000,970,960,1010,970,,1000,1010,990,1000,990,1010,980,930,900,910,940,960,960,960,980,970,980,990,1010,980,1010,1010,1010,1030,1090,1030,1020
NetDebt,19852000000,27495000000,35019000000,53873000000,99861000000,53189000000,83435000000,90087000000,,95926000000,136115000000,94021000000,145304000000,94539000000,146325000000,118532000000,67827000000,62864000000,64138000000,75378000000,83040000000,81705000000,82872000000,104892000000,103778000000,97232000000,117968000000,184591000000,110888000000,183044000000,175183000000,188093000000,238239000000,245022000000,278022000000,240322000000
NetDebtEBITDA,3800,4560,4810,5270,10830,3580,4320,3690,,3280,4440,3060,4270,2800,4340,3850,2760,3040,4180,6520,7590,8020,8100,9620,10640,11350,13270,21230,9830,15120,13460,12040,13910,10360,10170,8470
DebtFin,3024000000,6037000000,5818000000,15043000000,48301000000,-2145000000,-1508000000,27633000000,,7499000000,19796000000,16900000000,41195000000,12485000000,44000000000,55250000000,17577000000,24690000000,20195000000,26253000000,35251000000,38938000000,43674000000,55429000000,50143000000,36013000000,29636000000,45947000000,38060000000,14560000000,60101000000,27455000000,39936000000,40430000000,71594000000,18253000000
DebtFinEBITDA,580,1000,800,1470,5240,-140,-80,1130,,260,650,550,1210,370,1310,1790,720,1190,1310,2270,3220,3820,4270,5090,5140,4200,3330,5290,3370,1200,4620,1760,2330,1710,2620,640
SP1,1320,1810,2760,990,520,1220,1220,1190,,1060,1050,1030,1070,1130,1160,1150,1160,1170,1180,1070,1050,1060,1060,1060,1070,1040,1050,1060,1090,1060,1080,1070,1090,1200,1080,1070
SP2,1400,1850,2790,1140,940,1630,1600,1570,,1410,1380,1320,1380,1430,1490,1460,1390,1390,1390,1260,1310,1310,1310,1300,1240,1200,1210,1290,1310,1270,1280,1270,1230,1420,1300,1340
CAR,20,0,0,10,50,700,380,70,,420,180,180,10,290,10,10,280,150,180,90,70,30,120,10,20,100,20,20,20,70,0,0,10,110,20,100
QR,-50,-30,240,-140,-60,1170,400,690,,340,320,360,160,230,180,750,820,1090,980,610,810,650,720,580,610,150,-100,-40,80,-540,-180,-370,-130,-180,-60,-320
CR,1200,1280,1530,1100,910,2510,1870,2230,,1630,1470,1710,1510,1710,1650,1840,1950,2080,1990,1730,2020,2060,1920,1670,1460,1400,1340,1290,1570,1270,1320,1280,1170,1250,1200,1270
PP,20,0,0,10,50,700,380,70,,420,180,180,10,370,10,10,370,350,360,90,70,30,120,10,20,100,20,20,90,70,0,0,10,140,20,100
RCLR,760,710,1070,630,480,1330,930,1460,,680,960,1000,910,620,920,1240,990,1210,1150,980,1250,1040,910,950,980,540,580,690,650,290,470,520,670,440,660,490
KP,120,180,290,50,-40,310,260,280,,200,170,180,180,210,220,230,220,220,220,160,190,190,190,170,140,120,110,130,170,120,130,120,90,130,110,130
PKKO,70,120,220,50,-80,550,430,370,,250,180,140,140,150,180,170,160,190,240,200,270,250,260,240,180,170,160,170,150,120,100,90,80,120,90,100
RN,4340,4140,2640,4090,3120,3630,3200,3140,3430,3910,4160,4860,5150,5800,5790,5060,5200,4240,3730,3690,3410,3810,4000,3920,3740,3610,3810,4030,5270,5760,7230,8690,6080,5600,4840,4840
CRN,84000,88000,138000,89000,117000,101000,114000,116000,107000,93000,88000,75000,71000,63000,63000,72000,70000,86000,98000,99000,107000,96000,91000,93000,98000,101000,96000,91000,69000,63000,50000,42000,60000,65000,75000,75000
CPZ,110000,124000,129000,142000,243000,138000,127000,97000,89000,98000,91000,86000,80000,72000,73000,79000,76000,81000,85000,91000,93000,87000,88000,91000,101000,121000,128000,131000,110000,119000,99000,92000,120000,124000,131000,134000
RZ,6930,4320,5330,4730,3200,5670,5480,5410,5910,5450,7370,8510,8320,8510,6760,6190,6440,6500,7020,6480,6140,5670,4840,4600,4710,4100,3980,4180,4450,3820,4450,4510,3950,4090,4230,4200
CRZ,53000,85000,68000,77000,114000,64000,67000,68000,62000,67000,50000,43000,44000,43000,54000,59000,57000,56000,52000,56000,59000,64000,75000,79000,77000,89000,92000,87000,82000,95000,82000,81000,92000,89000,86000,87000
RMO,2770,2290,1850,2340,1650,2009,1740,1750,1910,2009,2390,2690,2920,3210,3040,2770,2730,2460,2200,2060,2000,2170,2170,2130,2100,1910,1960,2060,2410,2290,2760,2990,2440,2370,2280,2240
RMT,6800,8780,9560,3610,910,1390,1720,1970,2150,2260,2620,2700,3010,3290,3150,3050,2800,2340,1850,1520,1380,1400,1330,1380,1440,1360,1480,1820,2190,2420,3160,3420,3230,3590,3790,3930
RM,1970,1820,1550,1420,590,820,860,930,1010,1060,1250,1350,1480,1630,1550,1450,1380,1200,1010,870,820,850,820,840,850,790,840,970,1150,1180,1470,1600,1390,1430,1420,1420
COP,137000,173000,206000,166000,231000,165000,181000,184000,169000,160000,138000,118000,115000,106000,117000,131000,127000,142000,150000,155000,166000,160000,166000,172000,175000,190000,188000,178000,151000,158000,132000,123000,152000,154000,161000,162000
CSP,27000,49000,77000,24000,-12000,27000,54000,87000,80000,62000,47000,32000,35000,34000,44000,52000,51000,61000,65000,64000,73000,73000,78000,81000,74000,69000,60000,47000,41000,39000,33000,31000,32000,30000,30000,28000
