,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PCurrent_qq,,,,,5.86,8.46,10.97,23.59,-28.20,4.58,9.60,-8.56,62.42,4.87,-0.14,0.52,-3.07,-13.58,-19.67,-24.90,76.40,118.84,37.86,27.18,11.76,4.83,9.43,11.96,7.84,5.76,1.77,0.04,-0.26,4.52,7.83
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-84.60,-54.52,,6.08,,,-36.49,-6.37,-2.88,-1.68,32.89,-41.26,-41.42,-35.70,-41.52,-1.98,18.92,47.84,97.90,8.73,-57.06,-74.98,-85.23,-76.68,-51.34,-38.69,-30.36,-27.83,-28.39,-23.01,-13.91,-6.80,-5.82,-11.10
CPCurrent_sy,,-22.25,-0.42,,-16.27,,,31.75,-7.92,-3.45,-7.81,-5.62,-31.53,-16.21,-17.63,-20.36,17.35,11.40,11.18,16.66,0.27,-14.47,-21.00,-30.96,-25.31,-22.18,-9.01,-2.73,7.76,6.94,6.33,-1.41,-6.95,6.82,3.03
CPCurrent_qq,,,,,-5.54,-7.81,-9.88,-19.08,39.27,-4.37,-8.77,9.37,-38.44,-4.63,0.13,-0.53,3.19,15.70,24.49,33.15,-43.31,-54.31,-27.46,-21.37,-10.52,-4.65,-8.61,-10.68,-7.28,-5.39,-1.73,-0.13,0.38,-4.40,-7.24
CPCurrent_sq,,,,,36.10,-7.08,0.85,3.29,-4.88,-2.57,-3.70,5.75,-30.99,19.23,-5.33,2.25,1.68,13.19,-5.52,7.28,-12.61,-3.44,-12.73,-6.25,-5.45,0.61,2.04,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63,-2.15
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-183.87,760.44,,181.92,,,35.68,-39.82,-44.49,-19.64,21.77,85.53,256.62,101.94,-10.50,60.19,-71.91,-69.96,-82.46,-150.07,-620.89,-640.33,-3496.29,-42.61,62.05,107.09,178.96,485.21,456.71,1509.14,-34.65,-37.19,-4.10,46.13
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,25.38,9.82,3.82,-5.09,-44.39,1.29,50.30,43.83,-15.27,94.70,-14.89,-36.26,51.66,-65.86,-8.97,-62.79,-532.95,-255.16,5.58,-133.92,81.82,5.50,117.65,2503.83,-11.31,-12.49,-20.37,5.75,-14.75,33.61,21.33
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,,,,-64.53,,,-26.30,66.17,80.13,24.44,-17.88,-46.10,-71.96,-50.48,11.74,-37.57,256.01,232.85,469.99,,,,,,,,,,,-93.79,53.02,59.20,4.27,-31.57
CZCurrent_sy,,,,,21.48,,,-39.90,11.26,30.51,53.22,22.04,-29.58,-26.54,-19.73,-8.72,-8.94,0.29,9.50,-0.44,,,,,,,,,,,21.76,-7.01,28.44,33.44,3.56
CZCurrent_qq,,,,,-20.24,-8.94,-3.69,5.36,79.82,-1.28,-33.46,-30.47,18.02,-48.64,17.50,56.88,-34.06,192.90,9.85,168.66,,,,,,,,-96.16,12.75,14.28,25.59,-5.44,17.31,-25.15,-17.58
CZCurrent_sq,,,,,-2.39,-18.31,-33.76,13.79,80.70,-4.17,-22.24,-9.37,4.26,-0.03,-15.02,3.05,4.02,10.10,-7.22,-6.30,,,,,,,,6.56,14.35,-9.84,10.83,-18.62,57.94,-6.33,-13.99
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,-8.88,532.64,,111.65,,,23.17,27.85,19.93,89.21,52.50,7.10,1.94,-42.01,-48.22,-35.36,-50.22,-57.52,-85.53,-99.77,-139.40,-74.23,-4224.79,-144807.41,-926.94,-1565.19,194.47,253.08,240.32,288.58,-36.91,-29.96,2.45,40.06
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,11.30,11.35,-13.49,14.90,15.52,4.45,36.47,-7.39,-18.87,-0.58,-22.36,-17.32,1.28,-23.43,-33.75,-71.83,-98.41,-13407.41,143.33,-4608.93,44.35,5.56,38.17,390.72,-9.82,-13.43,-16.91,-2.74,0.12,26.62,13.59
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,9.77,-84.20,,-52.75,,,-18.81,-21.78,-16.62,-47.15,-34.43,-6.63,-1.90,72.43,93.12,54.70,100.89,135.41,590.83,43987.46,,287.97,,,,,,,,,58.51,42.77,-2.39,-28.60
CZOCurrent_sy,,-21.20,-34.82,,39.45,,,-13.93,-30.07,-22.13,-26.52,111.12,11.56,32.27,57.11,-23.18,-9.27,-13.85,-34.70,-57.16,-22.07,,-25.01,,,,,,,,,-6.50,39.02,10.97,-6.92
CZOCurrent_qq,,,,,-10.15,-10.19,15.60,-12.96,-13.44,-4.26,-26.72,7.98,23.26,0.58,28.81,20.94,-1.27,30.61,50.94,254.92,6201.01,,,,,,,,10.89,15.51,20.35,2.82,-0.12,-21.03,-11.97
CZOCurrent_sq,,,,,25.76,-21.19,-4.71,-8.86,2.18,-12.24,-10.09,161.88,-46.01,4.05,6.79,28.04,-36.23,-1.20,-19.05,-16.01,16.02,,,,,,,,3.15,26.88,1.04,-29.29,53.36,1.28,-15.25
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,4.67,-2.48,,-0.11,,,,5.16,28.06,28.28,,9.09,7.16,2.74,28.26,7.08,9.66,6.29,6.32,-5.68,35.59,41.65,31.66,43.35,4.56,-5.77,10.48,11.81,3.92,-1.01,-4.09,-9.06,-5.26,39.94
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,9.34,-16.04,5.90,2.86,14.99,2.24,6.09,-19.82,25.43,0.43,1.72,0.10,4.72,2.84,-1.40,0.12,-7.10,47.85,3.01,-6.94,1.15,7.84,-7.17,9.11,2.36,0.24,-11.57,5.72,-2.95,4.43,30.61
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-83.88,-55.65,,5.97,,,-36.49,-1.53,24.34,26.11,32.89,-35.93,-37.22,-33.94,-24.99,4.96,30.40,57.15,110.41,2.54,-41.78,-64.56,-80.55,-66.58,-49.10,-42.21,-23.06,-19.25,-25.63,-23.81,-17.37,-15.35,-10.72,24.39
EVPCurrent_sy,,-25.57,-3.36,,-11.95,,,32.35,5.28,9.66,-10.11,12.32,-2.64,-3.95,-3.12,6.47,-6.41,-6.74,-13.92,-19.48,-25.31,-33.03,-26.22,-30.59,-4.28,21.08,9.90,18.60,5.80,-3.00,1.82,-1.43,12.99,25.94,10.09
