,2010/Q4,2011/Q4,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
QuoteCurrent,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
ShareAmountCurrent,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000,2100000000
WKCurrent,1710,2470,0,4920,5030,5070,5350,6600,6140,6300,6680,8180,8610,9460,9600,10300,10970,11130,11570,12790,13740,14250,16050
CWKCurrent,16930,11760,,5890,5770,5720,5420,4400,4730,4610,4340,3540,3370,3070,3020,2820,2640,2610,2510,2270,2110,2040,1810
WKGrahamCurrent,480,1400,0,3990,4230,4290,4630,5220,5310,5250,5360,5820,6270,7180,3210,3960,4810,4850,5230,6940,7600,7940,9700
CWKGrahamCurrent,60060,20640,,7270,6860,6770,6260,5550,5460,5530,5410,4990,4630,4040,9040,7330,6030,5980,5540,4180,3820,3650,2990
PCurrent,6240,8320,8780,9300,9410,9750,10100,10160,10990,12040,14030,21220,24950,28950,31870,33530,37690,40310,43690,45810,48290,52040,58980
CPCurrent,4650,3490,3300,3120,3080,2980,2870,2850,2640,2410,2070,1370,1160,1000,910,860,770,720,660,630,600,560,490
ZCurrent,450,750,70,390,440,700,920,1070,1220,1340,1440,1490,1650,2340,2100,2110,2340,1690,1990,2480,2810,3090,4410
CZCurrent,64310,38560,390230,74300,65890,41250,31650,26980,23690,21640,20110,19410,17550,12400,13840,13750,12400,17140,14610,11680,10340,9380,6570
ZOCurrent,600,990,970,470,550,820,1060,1320,1430,1560,1640,1910,2160,2860,2660,2580,2850,2370,2770,3390,3690,4040,5710
CZOCurrent,48100,29410,30020,61230,53120,35170,27280,21930,20280,18540,17670,15210,13430,10150,10910,11220,10180,12230,10470,8560,7870,7180,5080
