,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_sq,,,,-14.46,-8.32,-1.11,-3.50,7.53,-12.04,92.25,-0.02,-7.51,-14.99,-3.08,-5.76,-15.02,7.40,26.47,10.19,-14.61,-3.73,-8.30,4.50,-6.79,22.79,34.64,-17.84,-15.37,-4.95,98.30
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,85.60,,-110.56,,,1.09,-2985.71,-1381.41,-13885.71,-377.45,125.07,138.08,89.33,105.47,-795.51,-453.64,-2923.30,-3835.35,-319.04,-232.20,-151.51,-87.86,113.62,112.91,91.41,102.56,30.37,42.70,395.25
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,-107.60,-218.37,104.49,9214.29,-331.90,-52.84,58.24,-87.46,120.95,132.19,-111.70,196.12,-2762.63,-18.06,-0.06,-18.75,-198.70,6.41,24.24,11.30,121.66,-11.30,-150.41,126.45,1002.25,-2.91,4.30
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-46.16,,,,,-1.01,,,,,,,,,,,,,,,,,,,,,-23.29,-29.94,
CZCurrent_sy,,-3.09,,,,,1.68,,,,,,,,,,,,,,,,,,,,,-8.22,-17.93,
CZCurrent_qq,,,,,,,-98.85,,,,,,-56.92,,,,,,,,,,,,12.75,,,-90.91,2.98,-4.11
CZCurrent_sq,,,,,,,126.63,,,,,,-4.02,,,,,,,,,,,,-8.60,,,15.22,-18.27,-25.63
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,88.57,,-105.92,,,-56.66,776.95,230.45,533.55,-48.96,103.71,323.46,27.74,272.28,-121.19,-132.97,-130.62,-144.29,-1830.56,-950.75,-1242.23,-660.92,145.23,143.15,134.70,156.54,0.29,15.30,88.69
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
