,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q4,2015/Q4,2016/Q4,2017/Q4
EVEBITDACurrent_qq,,,,,1.29,-202.58,17.94,-71.94,-782.01,131.84,,,,
EVEBITDACurrent_sq,,,,,36.29,-2.36,10.96,-31.98,2.14,-15.30,,,,
ROE,,,,,,,,,,,,,,
ROE_yy,,9.43,43.16,-51.74,,,,-64.40,-103.74,-133.37,-381.68,48.79,-81.95,112.98
ROE_sy,,16.23,-44.29,-17.65,,,,46.85,-15.03,-4.39,0.51,-11.63,-24.02,22.09
ROE_qq,,,,,3.70,-36.23,-5.33,-43.13,-110.89,-469.09,,,,
ROE_sq,,,,,23.69,20.12,7.97,-8.46,-28.43,35.16,,,,
ROA,,,,,,,,,,,,,,
ROA_yy,,7.99,124.08,-44.32,,,,-62.10,-103.85,-134.23,-382.54,49.04,-67.40,114.11
ROA_sy,,-1.42,-36.36,-3.60,,,,40.03,-16.09,13.10,-23.05,-20.95,-14.15,8.14
ROA_qq,,,,,5.03,-34.86,-3.02,-42.88,-110.66,-479.79,,,,
ROA_sq,,,,,4.99,-22.43,24.49,38.11,-37.09,4.56,,,,
OPM,,,,,,,,,,,,,,
OPM_yy,,-15.03,81.90,-7.67,,,,-54.09,-108.17,-129.65,-405.28,63.29,-11.13,115.82
OPM_sy,,-2.71,15.24,-18.06,,,,-18.11,17.32,42.78,21.88,12.23,-14.41,-21.15
OPM_qq,,,,,-0.56,-8.78,-14.06,-41.10,-117.70,-230.94,,,,
OPM_sq,,,,,-19.29,-13.90,1.42,16.20,15.62,4.78,,,,
ROS,,,,,,,,,,,,,,
ROS_yy,,24.56,55.88,-11.11,,,,-50.25,-105.06,-128.50,-377.21,52.52,-11.02,112.48
ROS_sy,,-5.28,23.40,-29.00,,,,-11.18,-15.32,-14.66,10.84,-18.30,13.32,-18.57
ROS_qq,,,,,-0.30,-7.75,-13.76,-37.28,-110.14,-419.72,,,,
ROS_sq,,,,,7.45,22.25,-13.71,-21.64,2.45,23.21,,,,
RS,,,,,,,,,,,,,,
RS_yy,,-8.61,70.47,-6.68,,,,-43.09,-58.10,-72.02,-96.26,-357.00,-180.16,105.69
RS_sy,,-33.04,45.78,-40.75,,,,6.17,33.16,32.32,36.19,38.55,-33.90,-14.90
RS_qq,,,,,-0.87,-6.64,-14.14,-28.37,-27.03,-37.66,,,,
RS_sq,,,,,-1.20,3.12,-0.34,4.56,23.91,2.48,,,,
GPM,,,,,,,,,,,,,,
GPM_yy,,-11.68,79.40,-8.58,,,,-54.05,-108.14,-130.52,-410.29,63.22,-11.98,114.82
GPM_sy,,-15.04,52.87,-44.76,,,,-6.80,11.91,-0.89,20.36,-17.93,17.54,-15.05
GPM_qq,,,,,-0.73,-7.59,-14.99,-41.08,-117.59,-246.33,,,,
GPM_sq,,,,,-7.22,37.40,-4.22,-23.67,11.40,21.69,,,,
RBS,,,,,,,,,,,,,,
RBS_yy,,-4.40,33.67,-3.08,,,,-31.73,-38.86,-51.40,-71.28,-92.68,-718.92,192.36
RBS_sy,,10.35,7.69,-18.58,,,,3.93,17.33,-2.59,-12.89,-5.47,11.31,-14.09
RBS_qq,,,,,-1.67,-4.50,-12.41,-17.00,-11.93,-24.10,,,,
RBS_sq,,,,,-1.93,1.78,3.79,0.32,10.71,-15.50,,,,
ROPA,,,,,,,,,,,,,,
ROPA_yy,,-26.30,161.41,-42.14,,,,-65.03,-106.25,-135.66,-411.08,60.61,-67.70,117.81
ROPA_sy,,-14.62,,-13.33,,,,1.49,-11.11,5.12,35.35,-19.06,-4.78,-17.69
ROPA_qq,,,,,4.67,-35.56,-3.40,-46.32,-118.71,-267.52,,,,
ROPA_sq,,,,,2.33,-7.47,4.53,2.54,-10.38,9.43,,,,
ZNPO,,,,,,,,,,,,,,
ZNPO_yy,,11.34,51.04,-4.53,,,,-759.90,-159.96,-30.25,176.06,-620.96,93.15,82.70
ZNPO_sy,,31.13,23.17,13.56,,,,-36.82,36.94,6.64,33.97,-27.08,7.94,4.57
ZNPO_qq,,,,,13.23,72.30,110.55,-260.64,89.71,300.41,,,,
ZNPO_sq,,,,,-38.53,30.54,12.66,-30.12,33.24,1.66,,,,
ZFI,,,,,,,,,,,,,,
ZFI_yy,,36.24,-10.50,-67.80,,,,58.20,68.73,-479.26,,,,
ZFI_sy,,-8.76,18.53,-7.22,,,,-7.56,6.58,-27.16,,,,
ZFI_qq,,,,,-3.45,-16.72,32.23,48.78,2.98,-287.20,,,,
ZFI_sq,,,,,6.09,9.66,-13.62,-8.01,22.31,-25.05,,,,
DTAR,,,,,,,,,,,,,,
DTAR_yy,,-4.77,-29.68,-38.11,,,,-29.66,-15.80,-14.83,-1.76,4.31,72.56,-29.90
DTAR_sy,,0.40,-1.60,4.06,,,,-4.96,3.60,5.51,-8.16,13.05,-5.71,5.82
DTAR_qq,,,,,-5.79,-10.32,-13.56,-3.69,12.78,-9.28,,,,
DTAR_sq,,,,,-17.85,7.72,-5.49,13.65,-10.46,9.70,,,,
CG,,,,,,,,,,,,,,
CG_yy,,-3.51,-55.08,-46.35,,,,-33.96,-18.42,-17.03,-1.95,4.77,87.57,-35.35
CG_sy,,-0.09,0.76,5.77,,,,-9.54,16.43,4.84,3.44,12.33,-15.53,12.20
CG_qq,,,,,-6.96,-12.18,-15.62,-4.21,14.93,-10.69,,,,
CG_sq,,,,,-32.95,18.68,-9.04,24.99,-13.70,6.86,,,,
LDER,,,,,,,,,,,,,,
LDER_yy,,-13.11,-62.10,-48.73,,,,-70.01,-71.13,-29.64,-52.59,-8.20,0.60,-13.02
LDER_sy,,-28.41,19.65,-2.39,,,,36.32,105.71,26.96,-12.35,40.09,-3.91,3.39
LDER_qq,,,,,-11.73,-58.71,-11.73,-6.76,-15.03,0.61,,,,
