,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4
QuoteCurrent,27100,27100,27100,27100,27100
ShareAmountCurrent,1060750000,1060750000,1060750000,1060750000,1060750000
WKCurrent,22390,21870,22810,31770,31080
CWKCurrent,1210,1240,1190,850,870
WKGrahamCurrent,16780,310,16630,9590,7750
CWKGrahamCurrent,1620,86360,1630,2830,3500
PCurrent,8150,12160,11870,13330,7110
CPCurrent,3330,2230,2280,2029,3810
ZCurrent,6890,8260,8150,17030,8610
CZCurrent,3930,3280,3320,1590,3150
ZOCurrent,8280,10140,10430,9150,-100
CZOCurrent,3270,2670,2600,2960,
EVCurrent,29220,51660,47420,54890,61660
EVPCurrent,3590,4250,4000,4120,8680
EVEBITCurrent,3530,5100,4550,6000,-596130
EVEBITDACurrent,3490,5050,4480,5870,1029660
DTAR,320,580,560,530,620
CG,490,1390,1260,1150,1650
LDER,250,1120,1060,960,1210
PZAT,190,640,40,50,60
PELDR,4580,2210,7680,2820,2960
TSF,830,890,910,920,840
ZKO,390,990,630,790,870
OSF,1450,1010,2360,1140,1160
NetDebt,6869169000,19526478000,26335060000,37613034000,50837272000
NetDebtEBITDA,770,1800,2350,3790,800350
DebtFin,2248118000,26053655000,21549973000,29476168000,36656371000
DebtFinEBITDA,250,2400,1920,2970,577090
SP1,3670,1020,3720,1440,1340
SP2,4580,2160,7660,2820,2950
CAR,680,,770,110,230
QR,3090,3480,3550,3150,1420
CR,5180,5270,9920,7870,4340
PP,830,2060,860,170,250
RCLR,2210,1570,2580,2950,1150
KP,660,480,790,590,550
PKKO,-233520,-259990,-278570,-202540,-278150
RN,8910,2590,1130,1050,530
CRN,41000,141000,322000,348000,691000
CPZ,117000,110000,160000,148000,383000
RZ,,,,,
CRZ,,,,,
RMO,1290,720,310,330,160
RMT,32650,570,860,800,390
RM,1270,440,230,230,110
COP,,,,,
CSP,,,,,
