,2013/Q4,2014/Q4,2015/Q4,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
ZNPO_qq,,,,,-4.89,31.81,11.99,354.17
ZNPO_sq,,,,,62.96,-150.70,189.77,-196.91
ZFI,,,,,,,,
ZFI_yy,,254.28,-47.47,83.25,,,,-10.10
ZFI_sy,,32.22,-29.60,34.35,,,,-4.76
ZFI_qq,,,,,-7.00,5.66,3.33,-11.47
ZFI_sq,,,,,-57.89,141.88,2.85,-9.08
DTAR,,,,,,,,
DTAR_yy,,-6.81,-7.31,6.53,,,,66.22
DTAR_sy,,3.49,8.21,-5.22,,,,17.45
DTAR_qq,,,,,-0.86,6.95,0.53,55.94
DTAR_sq,,,,,12.47,2.14,-3.91,6.41
CG,,,,,,,,
CG_yy,,-30.01,-25.81,27.60,,,,-246.19
CG_sy,,-5.09,7.72,-23.95,,,,56.56
CG_qq,,,,,-3.47,36.41,2.85,-207.96
CG_sq,,,,,-2.77,55.56,-6.52,10.74
LDER,,,,,,,,
LDER_yy,,-57.08,-55.98,79.83,,,,-169.60
LDER_sy,,-14.00,13.36,-6.02,,,,42.98
LDER_qq,,,,,21.56,34.46,-0.87,-142.95
LDER_sq,,,,,-12.93,4.73,31.30,19.42
PZAT,,,,,,,,
PZAT_yy,,24.34,150.89,-64.54,,,,42.80
PZAT_sy,,-16.83,166.36,-81.82,,,,-0.44
PZAT_qq,,,,,-30.40,-23.56,-3.01,176.74
PZAT_sq,,,,,136.07,-28.91,-1.16,-39.98
PELDR,,,,,,,,
PELDR_yy,,-92.73,27.99,27.94,,,,-97.39
PELDR_sy,,34.58,-35.86,20.45,,,,-18.30
PELDR_qq,,,,,11.10,-2.09,-31.64,-96.49
PELDR_sq,,,,,1.86,-11.97,6.77,-14.66
TSF,,,,,,,,
TSF_yy,,-28.91,-20.97,13.92,,,,-97.66
TSF_sy,,-1.90,-3.28,1.63,,,,-3.37
TSF_qq,,,,,16.04,-4.11,-2.86,-97.84
TSF_sq,,,,,-0.47,-1.86,-0.25,-0.81
ZKO,,,,,,,,
ZKO_yy,,20.80,-17.71,4.47,,,,63.58
ZKO_sy,,4.37,13.14,-3.14,,,,6.84
ZKO_qq,,,,,-0.16,6.58,7.90,42.47
ZKO_sq,,,,,6.47,2.44,-4.06,2.11
OSF,,,,,,,,
OSF_yy,,-83.55,66.51,-2.06,,,,-307.23
OSF_sy,,20.97,-21.61,22.16,,,,24.93
OSF_qq,,,,,-1.80,-14.68,-25.78,-433.26
OSF_sq,,,,,2.62,-3.27,6.18,18.54
NetDebt,-17417000000,18792000000,-3946000000,154676000000,305787000000,496359000000,671713000000,1036704000000
NetDebt_yy,,,,,,,,
NetDebt_sy,,,,,,,,
NetDebt_qq,,,,,,,,
NetDebt_sq,,,,,,,,
NetDebtEBITDA,,,,,,,,
NetDebtEBITDA_yy,,130.06,-110.98,2145.22,,,,-237.25
NetDebtEBITDA_sy,,-1.83,-18.86,-34.53,,,,8.31
NetDebtEBITDA_qq,,,,,70.94,44.05,16.30,-147.92
NetDebtEBITDA_sq,,,,,41.68,-65.08,48.89,47.01
DebtFin,86243000000,117687000000,205014000000,801739000000,942605000000,1223381000000,1733284000000,2264501000000
DebtFin_yy,,,,,,,,
DebtFin_sy,,,,,,,,
DebtFin_qq,,,,,,,,
DebtFin_sq,,,,,,,,
DebtFinEBITDA,,,,,,,,
DebtFinEBITDA_yy,,-61.98,-8.87,103.86,,,,-157.83
DebtFinEBITDA_sy,,69.71,-24.56,-89.37,,,,0.41
DebtFinEBITDA_qq,,,,,1.66,15.18,21.76,-140.57
