,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_sq,,,,,,,,-28.61,-14.06,,,-21.79,0.76,,,,2.43,-12.30,38.15,-8.54,-11.05,3.95,2.37,7.47,-2.46,-0.32,-4.12,11.87,-6.64,5.52,,,,,7.32,,,-20.78,33.24,18.20,1.52
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,27.95,20.00,32.20,,,-20.00,,-11.39,-10.06,15.61,15.25,12.52,10.68,13.52,8.20,2.69,-2.20,-6.95,-8.05,-5.17,-3.46,-1.44,-2.05,-4.69,-5.48,-6.74,-4.44,-3.55,-2.37,1.83,4.47,9.82,14.11,11.36,11.27,11.06,10.15,14.33,11.86,7.91
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,,2.74,-22.00,4.87,5.44,4.27,0.27,4.54,2.95,2.57,2.84,-0.36,-2.30,-2.31,-2.16,-1.53,0.77,-0.56,-0.11,-2.15,-1.95,-1.37,-1.44,0.27,-1.04,-0.17,2.79,2.87,4.03,3.73,0.31,2.79,3.83,2.89,4.11,0.57,0.17
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-21.84,-16.69,-24.35,,,25.03,,12.85,11.18,-13.54,-13.24,-11.11,-9.67,-11.91,-7.53,-2.69,2.33,7.52,8.69,5.52,3.52,1.42,2.10,4.93,5.81,7.30,4.70,3.64,2.46,-1.86,-4.30,-8.97,-12.37,-10.16,-10.16,-9.96,-9.27,-12.58,-10.54,-7.34
CPCurrent_sy,,-6.27,1.62,-31.67,,,24.22,,12.43,-7.97,-9.56,-18.89,-19.25,-19.15,-22.98,-21.94,-12.26,-5.19,18.66,36.75,10.60,2.73,0.04,-15.71,-0.96,0.58,-8.99,-0.96,15.57,7.76,-1.12,-1.42,-2.32,12.24,19.70,20.75,2.69,-13.27,-9.75,-3.31,-12.67
CPCurrent_qq,,,,,,-2.69,28.22,-4.65,-5.14,-4.13,-0.29,-4.32,-2.81,-2.58,-2.76,0.44,2.28,2.44,2.18,1.52,-0.70,0.50,0.10,2.20,2.05,1.34,1.51,-0.28,1.03,0.19,-2.77,-2.75,-3.91,-3.56,-0.32,-2.75,-3.70,-2.82,-3.95,-0.48,-0.24
CPCurrent_sq,,,,,,19.34,2.89,-2.38,-6.21,-2.32,1.12,-12.44,-6.63,-2.20,-3.67,-11.26,4.95,5.68,20.56,2.27,-15.12,-1.83,17.39,-13.83,-0.26,-0.31,6.22,-6.23,16.39,-7.04,-2.54,-6.51,15.32,6.82,3.94,-5.68,-1.93,-9.79,8.16,1.05,-11.43
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
