,2014/Q4,2015/Q4,2016/Q4,2017/Q4
EVPCurrent_qq,,,,
EVPCurrent_sq,,,,
EVEBITCurrent,,,,
EVEBITCurrent_yy,,7.81,-2.72,-46.01
EVEBITCurrent_sy,,25.24,-28.79,-44.49
EVEBITCurrent_qq,,,,
EVEBITCurrent_sq,,,,
EVEBITDACurrent,,,,
EVEBITDACurrent_yy,,4.37,-3.62,-44.88
EVEBITDACurrent_sy,,-46.15,-7.95,-29.94
EVEBITDACurrent_qq,,,,
EVEBITDACurrent_sq,,,,
ROE,,,,
ROE_yy,,10.62,89.25,97.20
ROE_sy,,342.86,30.35,-29.75
ROE_qq,,,,
ROE_sq,,,,
ROA,,,,
ROA_yy,,-44.70,87.71,60.32
ROA_sy,,76.69,39.67,3.71
ROA_qq,,,,
ROA_sq,,,,
OPM,,,,
OPM_yy,,-3.59,-1.68,38.26
OPM_sy,,24.18,1.46,4.96
OPM_qq,,,,
OPM_sq,,,,
ROS,,,,
ROS_yy,,-51.29,94.25,31.44
ROS_sy,,7.24,31.90,1.85
ROS_qq,,,,
ROS_sq,,,,
RS,,,,
RS_yy,,-1.99,0.92,33.82
RS_sy,,27.42,0.70,-6.23
RS_qq,,,,
RS_sq,,,,
GPM,,,,
GPM_yy,,-46.20,73.10,28.88
GPM_sy,,35.42,52.90,-16.78
GPM_qq,,,,
GPM_sq,,,,
RBS,,,,
RBS_yy,,0.52,0.86,8.51
RBS_sy,,-12.76,1.28,0.14
RBS_qq,,,,
RBS_sq,,,,
ROPA,,,,
ROPA_yy,,9.08,-5.02,68.76
ROPA_sy,,75.25,22.36,11.90
ROPA_qq,,,,
ROPA_sq,,,,
ZNPO,,,,
ZNPO_yy,,-81.45,96.90,-10.83
ZNPO_sy,,-6.22,0.23,20.56
ZNPO_qq,,,,
ZNPO_sq,,,,
ZFI,,,,
ZFI_yy,,280.28,24.50,-77.02
ZFI_sy,,20.26,-47.43,102.40
ZFI_qq,,,,
ZFI_sq,,,,
DTAR,,,,
DTAR_yy,,130.17,0.45,10.43
DTAR_sy,,3.84,-0.62,3.83
DTAR_qq,,,,
DTAR_sq,,,,
CG,,,,
CG_yy,,360.61,1.29,35.84
CG_sy,,64.78,-2.23,7.77
CG_qq,,,,
CG_sq,,,,
LDER,,,,
LDER_yy,,1222.48,17.13,-78.15
LDER_sy,,561.15,-0.14,-54.84
LDER_qq,,,,
LDER_sq,,,,
PZAT,,,,
PZAT_yy,,-70.22,-22.22,352.38
PZAT_sy,,-8.95,22.07,49.41
PZAT_qq,,,,
PZAT_sq,,,,
PELDR,,,,
PELDR_yy,,-23.19,11.03,-39.22
PELDR_sy,,-2.87,-2.70,1.65
PELDR_qq,,,,
PELDR_sq,,,,
TSF,,,,
TSF_yy,,-19.57,6.14,-47.20
TSF_sy,,-6.93,-4.36,-2.02
TSF_qq,,,,
TSF_sq,,,,
ZKO,,,,
ZKO_yy,,160.13,-10.89,-16.48
ZKO_sy,,-25.29,-15.33,-13.46
ZKO_qq,,,,
ZKO_sq,,,,
OSF,,,,
OSF_yy,,24.13,-7.55,-21.84
OSF_sy,,-8.09,-7.30,-5.88
OSF_qq,,,,
OSF_sq,,,,
NetDebt,4914000000,20813000000,21309000000,25231000000
NetDebt_yy,,,,
NetDebt_sy,,,,
NetDebt_qq,,,,
NetDebt_sq,,,,
NetDebtEBITDA,,,,
NetDebtEBITDA_yy,,290.62,0.73,-37.16
NetDebtEBITDA_sy,,-30.50,21.65,-26.94
NetDebtEBITDA_qq,,,,
NetDebtEBITDA_sq,,,,
DebtFin,-3274000000,6246000000,7354000000,6016000000
DebtFin_yy,,,,
DebtFin_sy,,,,
DebtFin_qq,,,,
DebtFin_sq,,,,
DebtFinEBITDA,,,,
DebtFinEBITDA_yy,,275.93,15.84,-56.58
DebtFinEBITDA_sy,,-61.73,11.12,-44.74
DebtFinEBITDA_qq,,,,
DebtFinEBITDA_sq,,,,
SP1,,,,
SP1_yy,,-52.29,3.75,-6.42
SP1_sy,,-16.86,1.65,25.50
SP1_qq,,,,
SP1_sq,,,,
SP2,,,,
SP2_yy,,-23.19,11.03,-39.22
SP2_sy,,-4.37,-1.44,1.92
SP2_qq,,,,
SP2_sq,,,,
CAR,,,,
CAR_yy,,-20.29,18.34,-43.68
CAR_sy,,36.93,-33.85,23.07
CAR_qq,,,,
CAR_sq,,,,
QR,,,,
QR_yy,,-45.43,24.77,-29.33
QR_sy,,-32.05,-0.04,-13.14
QR_qq,,,,
QR_sq,,,,
CR,,,,
CR_yy,,-45.44,24.77,-29.34
CR_sy,,-23.55,8.25,-0.62
CR_qq,,,,
CR_sq,,,,
PP,,,,
PP_yy,,-47.29,26.63,-30.53
PP_sy,,11.47,-33.64,21.73
PP_qq,,,,
PP_sq,,,,
RCLR,,,,
RCLR_yy,,-15.75,200.32,-55.09
RCLR_sy,,-4.48,-6.58,3.07
RCLR_qq,,,,
RCLR_sq,,,,
KP,,,,
KP_yy,,-361.58,53.22,-344.50
KP_sy,,-138.22,-122.08,70.36
KP_qq,,,,
KP_sq,,,,
PKKO,,,,
PKKO_yy,,-331.96,51.41,-270.43
PKKO_sy,,-17.48,-12.85,39.01
PKKO_qq,,,,
PKKO_sq,,,,
RN,,,,
RN_yy,,-17.05,-64.38,95.59
RN_sy,,-19.98,15.12,-14.04
RN_qq,,,,
RN_sq,,,,
CRN,3000,4000,11000,5000
CRN_yy,,33.33,175.00,-54.55
CRN_sy,,21.28,-14.04,18.37
CRN_qq,,,,
CRN_sq,,,,
CPZ,42000,60000,56000,69000
CPZ_yy,,42.86,-6.67,23.21
CPZ_sy,,-2.48,11.02,14.50
CPZ_qq,,,,
CPZ_sq,,,,
RZ,,,,
RZ_yy,,335.48,2.28,-8.99
RZ_sy,,-15.97,12.45,-8.77
RZ_qq,,,,
RZ_sq,,,,
CRZ,0,0,0,0
CRZ_yy,,,,
CRZ_sy,,,,
CRZ_qq,,,,
CRZ_sq,,,,
RMO,,,,
RMO_yy,,28.11,-14.32,-17.91
RMO_sy,,-14.14,-0.52,0.58
RMO_qq,,,,
RMO_sq,,,,
RMT,,,,
RMT_yy,,8.23,1.05,40.38
RMT_sy,,-13.77,1.60,4.08
RMT_qq,,,,
RMT_sq,,,,
RM,,,,
RM_yy,,13.34,-3.40,16.44
RM_sy,,-11.87,3.42,0.56
RM_qq,,,,
RM_sq,,,,
COP,,,,
COP_yy,,,,
COP_sy,,,,
COP_qq,,,,
COP_sq,,,,
CSP,,,,
CSP_yy,,,,
CSP_sy,,,,
CSP_qq,,,,
CSP_sq,,,,
