,2013/Q4,2014/Q4,2015/Q4,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,
ShareAmountCurrent,29440000000,29440000000,29440000000,29440000000,29440000000,29440000000,33440000000,33440000000,33440000000,33440000000,33440000000,33440000000
ShareAmountCurrent_yy,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,
WKCurrent_yy,,146.69,32.15,,,57.77,,15.79,0.22,-60.42,-69.24,-69.81
WKCurrent_sy,,,,,,,,,,,,
WKCurrent_qq,,,,,1.43,67.06,-27.93,-5.19,-12.21,-34.02,-43.99,-6.95
WKCurrent_sq,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,
CWKCurrent_yy,,-59.47,-24.32,,,-36.62,,-13.64,-0.22,152.60,225.04,231.25
CWKCurrent_sy,,4.15,-9.67,,,-4.11,,-3.73,-7.49,-3.68,-0.84,27.71
CWKCurrent_qq,,,,,-1.40,-40.14,38.74,5.46,13.92,51.53,78.53,7.48
CWKCurrent_sq,,,,,-4.41,,-9.57,11.37,-8.14,4.11,-6.90,43.44
WKGrahamCurrent,,,,,,,,,,,,
WKGrahamCurrent_yy,,273.83,15.55,,,-21.33,,-590.03,-355.73,-915.86,-277.06,-174.43
WKGrahamCurrent_sy,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,,-129.25,175.25,-392.27,-36.86,-51.41,-34.71,-35.08,0.39
WKGrahamCurrent_sq,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,-13.45,,,27.05,,,,,,
CWKGrahamCurrent_sy,,,-2.21,,,-13.04,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,
PCurrent_yy,,15.30,14.16,,,20.02,,-3.08,-4.66,-9.93,2.20,2.59
PCurrent_sy,,,,,,,,,,,,
