,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
QuoteCurrent,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000,252797634000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,1.07,,,,15.34,13.75,5.78,3.31,3.53,1.82,13.81,13.37,13.29,8.55,-1.02,-3.23,-7.84,-7.51
WKCurrent_sy,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,6.38,1.17,4.18,2.86,4.92,-5.92,1.76,3.08,3.19,5.15,1.37,3.01,-1.13,-4.12,-0.90,-1.90,-0.78
WKCurrent_sq,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-1.06,,,,-13.30,-12.09,-5.46,-3.21,-3.41,-1.78,-12.13,-11.79,-11.73,-7.88,1.03,3.34,8.50,8.12
CWKCurrent_sy,,5.20,,,,-4.37,-4.66,-1.09,1.52,0.40,3.15,-2.65,-3.19,-3.56,-4.89,-7.80,-7.53,-6.30,-2.60
CWKCurrent_qq,,,-6.00,-1.16,-4.02,-2.78,-4.69,6.30,-1.73,-2.99,-3.08,-4.90,-1.35,-2.92,1.14,4.29,0.91,1.93,0.78
CWKCurrent_sq,,,-5.71,11.12,-6.00,-2.90,-6.00,15.29,-3.52,-3.97,-3.43,8.81,-4.06,-4.33,-4.77,5.48,-3.78,-3.06,-1.01
WKGrahamCurrent,,,,,,,,,,,,,,,,,,,
