,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080,9080
ShareAmountCurrent,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000,11908840000
WKCurrent,17650,29890,32960,35490,38800,40070,40150,41070,41880,42840,38390,39150,39860,40640,35920,36710,37420,38450,36010,37620,38110,37810,37400
CWKCurrent,510,300,280,260,230,230,230,220,220,210,240,230,230,220,250,250,240,240,250,240,240,240,240
WKGrahamCurrent,-56140,-40390,-42830,-42490,-39870,-38100,-38460,-40300,-43220,-45150,-54280,-59400,-64580,-70790,-83580,-86220,-90720,-91360,-93040,-100460,-109160,-113030,-120550
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,28340,29640,44810,44920,46170,46680,45610,44740,44680,44270,44380,44120,43240,42490,43020,45170,47340,49360,50440,49600,49830,52060,56840
CPCurrent,320,310,200,200,200,190,200,200,200,210,200,210,210,210,210,200,190,180,180,180,180,170,160
ZCurrent,-3560,-360,-260,2770,3690,3710,5110,5490,5260,4960,3500,3340,3250,3060,3030,3050,3040,3290,3750,3220,3000,2520,1890
CZCurrent,,,,3270,2460,2440,1780,1650,1730,1830,2590,2710,2800,2970,3000,2970,2980,2760,2420,2820,3020,3600,4800
ZOCurrent,-2810,680,680,3730,5070,5040,6470,6710,6440,6120,4670,4500,4440,4250,4240,4200,4130,4400,3970,4390,4120,3550,2840
CZOCurrent,,13430,13270,2440,1790,1800,1400,1350,1410,1480,1940,2020,2040,2140,2140,2160,2200,2060,2290,2070,2210,2560,3200
EVCurrent,65600,52500,55850,52570,52340,51250,53490,55340,59970,61030,71060,75470,82620,88290,95410,99480,110760,111850,110130,119990,132240,135790,138240
EVPCurrent,2320,1770,1250,1170,1130,1100,1170,1240,1340,1380,1600,1710,1910,2080,2220,2200,2340,2270,2180,2420,2650,2610,2430
EVEBITCurrent,-23340,77640,81630,14110,10320,10160,8260,8250,9310,9970,15200,16780,18590,20790,22510,23710,26820,25420,27720,27320,32130,38230,48720
EVEBITDACurrent,13180,5430,5520,3950,3360,3290,3160,3310,3690,3880,4970,5310,5770,6150,6620,6900,7780,7920,8170,8650,9680,10150,10610
DTAR,780,630,640,610,570,560,550,560,570,570,640,650,670,680,730,740,740,740,750,760,770,780,790
CG,3620,1710,1750,1580,1340,1250,1240,1260,1350,1340,1750,1840,1990,2100,2750,2790,2880,2800,3030,3110,3400,3530,3700
LDER,,,,,,,,,,,,,,,,,,,,,,,
PZAT,,,,,,,,,,,,,,,,,,,,,,,
PELDR,,,,,,,,,,,,,,,,,,,,,,,
TSF,,,,,,,,,,,,,,,,,,,,,,,
ZKO,8230,4720,3860,4140,4270,4200,4410,4540,4260,4640,5260,5700,5440,5840,6530,6340,6300,6560,6830,7060,6340,6580,7780
OSF,1970,2009,1680,1890,2100,2150,2250,2290,2100,2260,2180,2260,2080,2130,1960,1890,1840,1940,1910,1920,1640,1650,1840
NetDebt,749910256000,605913863000,668373000000,650493000000,613400542000,585836738000,590410985000,610104141000,659660447000,676917813000,796211897000,855387617000,935532848000,1010771978000,1168674978000,1216575475000,1275243705000,1279388127000,1296563503000,1390350005000,1541370319000,1585574747000,1645280489000
NetDebtEBITDA,12650,5260,5550,4100,3310,3160,2930,3060,3410,3610,4670,5060,5490,5910,6810,7080,7520,7610,8080,8410,9480,9950,10600
DebtFin,673089867000,517116136000,556965000000,517926000000,515208083000,502140231000,528893990000,550948151000,606097151000,618620648000,738074330000,790664605000,875758270000,943281158000,1028096418000,1076575483000,1210918183000,1223839530000,1203339352000,1320780678000,1466705996000,1508971974000,1538142293000
DebtFinEBITDA,11350,4490,4620,3270,2780,2710,2620,2760,3130,3300,4330,4670,5140,5510,5990,6270,7140,7280,7500,7990,9020,9470,9910
SP1,240,430,430,460,490,510,510,500,490,490,410,400,380,360,300,300,290,300,280,270,260,250,240
SP2,240,430,430,460,490,510,510,500,490,490,410,400,380,360,300,300,290,300,280,270,260,250,240
CAR,10,10,30,20,10,20,0,10,20,10,0,0,10,10,10,0,10,0,0,0,0,0,0
QR,90,160,200,180,140,170,160,150,160,140,130,120,120,120,110,100,100,90,120,80,80,80,100
CR,120,210,260,240,230,240,230,220,230,220,190,180,180,170,150,160,160,150,150,140,160,150,130
PP,10,10,30,20,10,20,0,10,20,10,0,0,10,10,10,0,10,0,0,0,0,0,0
RCLR,60,80,100,100,100,90,100,90,80,70,70,70,70,70,60,60,50,40,60,50,50,40,60
