,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670
ShareAmountCurrent,4183437870000,4183437870000,4183437870000,4294547870000,4294547870000,4294547870000,4294547870000,4294547870000,4294547870000,4294547870000,4294547870000,4294547870000,4294547870000,5762085060000,5762085060000,5762085060000,5762085060000,5762085060000,6992085060000,6992085060000,6992085060000,14520316460000,40997084490000,40997084490000,44214794420000,44214794420000,44214794420000,46948127890000,46948127890000,46948127890000,46948127890000,3145076290000,3145076290000,3145076290000,3145076290000,3145076290000,3145076290000,1314507629000,1314507629000,1314507629000,1314507629000,1314507629000,1314507629000,1314507629000,1314507629000,1314507629000
WKCurrent,100,220,420,610,600,560,0,300,270,100,0,50,50,230,0,210,210,200,0,160,160,100,0,40,20,40,0,20,10,10,10,280,280,270,270,280,270,990,970,1390,1350,1560,1600,1790,1840,1920
CWKCurrent,16040,7440,4010,2730,2800,2960,,5640,6200,16440,,30860,36360,7240,,8020,8080,8420,,10190,10230,17010,,38190,67180,39520,,107470,170100,181370,127080,6000,5950,6150,6150,6030,6090,1690,1720,1200,1240,1070,1040,930,910,870
WKGrahamCurrent,-120,-230,-430,-1010,-1040,-940,0,-1250,-1450,-1410,0,-1230,-1180,-760,0,-620,-620,-630,0,-570,-520,-230,0,-60,0,-60,0,-60,0,-10,-10,-190,-190,-200,-200,-210,-210,-50,50,-440,-1730,-1700,-1880,-3970,-4230,-5450
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35410,,,,,,,
PCurrent,70,50,160,250,250,240,250,290,270,300,270,240,240,200,200,220,210,160,130,100,100,40,0,20,20,20,30,10,0,0,10,100,90,90,0,20,20,40,40,50,40,40,30,20,30,50
CPCurrent,24240,35950,10550,6690,6780,6960,6650,5730,6120,5530,6270,6940,6890,8310,8520,7720,8039,10740,13160,16770,17490,38320,373480,68440,76350,70330,61770,282690,351370,1579670,176770,16390,17850,19220,7288710,88290,96350,45140,41370,32870,38920,42920,59900,93680,54280,36560
ZCurrent,20,50,90,70,70,20,-10,-380,-410,-570,-560,-240,-220,140,140,160,180,-10,-30,-30,-30,-20,-10,0,0,0,-10,-20,-30,-30,-10,-30,30,30,-30,-30,-20,20,40,550,570,730,720,440,470,300
CZCurrent,91590,33200,18860,22880,25660,103650,,,,,,,,12310,11970,10410,9470,,,,,,,,,,,,,,,,53110,56450,,,,91120,46590,3020,2910,2300,2310,3830,3540,5610
ZOCurrent,30,70,120,150,160,90,90,-380,-390,-680,-680,-240,-260,30,30,40,40,20,20,30,30,0,0,0,0,0,-10,-20,-20,-20,-10,40,60,50,-10,-20,-20,0,10,30,40,30,20,10,0,0
CZOCurrent,55560,23540,13580,11310,10360,18680,18240,,,,,,,52960,55850,47670,46970,75180,76400,66180,64150,454000,,,,,,,,,,47470,29230,32360,,,,474440,136920,59820,42310,64120,94420,170220,,
EVCurrent,1770,1900,2170,2690,2730,2790,1670,3110,3360,3260,1670,3100,3030,2530,1670,2430,2450,2450,1670,2350,2320,1960,1670,1740,1670,1730,1670,1720,1670,1680,1680,1860,1850,1860,1870,1870,1870,1880,1700,2210,3490,3470,3710,5520,5630,7450
EVPCurrent,25670,41000,13730,10770,11090,11630,6650,10670,12290,10780,6270,12870,12490,12580,8520,11240,11790,15740,13160,23640,24280,44910,373480,71160,76350,72900,61770,291330,351370,1592570,178180,18240,19760,21450,8154230,99010,107970,50710,42100,43470,81240,89310,133200,309640,182850,163050
EVEBITCurrent,58840,26850,17690,18200,16950,31220,18240,-8280,-8500,-4800,-2460,-12740,-11700,80120,55850,69390,68940,110170,76400,93270,89050,531990,-2902040,-733840,-639800,-6454900,-146070,-100410,-86800,-82370,-296550,52810,32369,36110,-200340,-103640,-110450,532970,139360,79120,88310,133410,209960,562600,-28174160,-10979750
EVEBITDACurrent,48960,26130,17160,16610,15580,21090,15890,-16149,-15810,-7690,-3420,-19640,-18100,107480,17800,57860,57320,94400,60960,61680,59840,121980,972150,648130,776600,591760,-248010,-715710,-372430,-307700,185880,-111500,353650,-86770,-30580,-91900,-97560,132460,254670,78840,88090,132480,208840,562600,-27772040,-8982730
