,2011/Q4,2012/Q4,2013/Q4
EVEBITDACurrent,,,
EVEBITDACurrent_yy,,-11.25,-53.22
EVEBITDACurrent_sy,,-8.95,-17.05
EVEBITDACurrent_qq,,,
EVEBITDACurrent_sq,,,
ROE,,,
ROE_yy,,0.59,-33.61
ROE_sy,,21.50,-14.56
ROE_qq,,,
ROE_sq,,,
ROA,,,
ROA_yy,,34.12,2.02
ROA_sy,,-1.44,20.12
ROA_qq,,,
ROA_sq,,,
OPM,,,
OPM_yy,,-5.68,9.13
OPM_sy,,4.54,17.66
OPM_qq,,,
OPM_sq,,,
ROS,,,
ROS_yy,,-6.27,12.36
ROS_sy,,-33.45,18.81
ROS_qq,,,
ROS_sq,,,
RS,,,
RS_yy,,-5.96,7.41
RS_sy,,5.51,27.85
RS_qq,,,
RS_sq,,,
GPM,,,
GPM_yy,,-6.30,11.66
GPM_sy,,-2.03,38.16
GPM_qq,,,
GPM_sq,,,
RBS,,,
RBS_yy,,-5.37,5.94
RBS_sy,,3.65,12.12
RBS_qq,,,
RBS_sq,,,
ROPA,,,
ROPA_yy,,35.02,-0.91
ROPA_sy,,-14.42,26.49
ROPA_qq,,,
ROPA_sq,,,
ZNPO,,,
ZNPO_yy,,116.19,-27.30
ZNPO_sy,,-52.55,31.09
ZNPO_qq,,,
ZNPO_sq,,,
ZFI,,,
ZFI_yy,,-1097.36,111.26
ZFI_sy,,-7.10,-6.53
ZFI_qq,,,
ZFI_sq,,,
DTAR,,,
DTAR_yy,,-23.28,-65.14
DTAR_sy,,13.26,-7.75
DTAR_qq,,,
DTAR_sq,,,
CG,,,
CG_yy,,-42.48,-77.32
CG_sy,,28.62,-14.48
CG_qq,,,
CG_sq,,,
LDER,,,
LDER_yy,,,
LDER_sy,,,
LDER_qq,,,
LDER_sq,,,
PZAT,,,
PZAT_yy,,,
PZAT_sy,,,
PZAT_qq,,,
PZAT_sq,,,
PELDR,,,
PELDR_yy,,,
PELDR_sy,,,
PELDR_qq,,,
PELDR_sq,,,
TSF,,,
TSF_yy,,,
TSF_sy,,,
TSF_qq,,,
TSF_sq,,,
ZKO,,,
ZKO_yy,,-23.04,-66.30
ZKO_sy,,23.67,10.66
ZKO_qq,,,
ZKO_sq,,,
OSF,,,
OSF_yy,,1.09,-38.56
OSF_sy,,0.66,3.79
OSF_qq,,,
OSF_sq,,,
NetDebt,1892000000,-1065000000,-18989000000
NetDebt_yy,,,
NetDebt_sy,,,
NetDebt_qq,,,
NetDebt_sq,,,
NetDebtEBITDA,,,
NetDebtEBITDA_yy,,-142.84,-1427.94
NetDebtEBITDA_sy,,3.29,-12.72
NetDebtEBITDA_qq,,,
NetDebtEBITDA_sq,,,
DebtFin,-14930000000,-13993000000,-26493000000
DebtFin_yy,,,
DebtFin_sy,,,
DebtFin_qq,,,
DebtFin_sq,,,
DebtFinEBITDA,,,
DebtFinEBITDA_yy,,28.70,-62.30
DebtFinEBITDA_sy,,96.45,-29.33
DebtFinEBITDA_qq,,,
DebtFinEBITDA_sq,,,
SP1,,,
SP1_yy,,31.34,82.31
SP1_sy,,-11.52,-1.99
SP1_qq,,,
SP1_sq,,,
SP2,,,
SP2_yy,,31.34,82.31
SP2_sy,,-4.70,5.45
SP2_qq,,,
SP2_sq,,,
CAR,,,
CAR_yy,,14.94,233.48
CAR_sy,,-33.23,35.41
CAR_qq,,,
CAR_sq,,,
QR,,,
QR_yy,,27.96,202.85
QR_sy,,-8.89,1.69
QR_qq,,,
QR_sq,,,
CR,,,
CR_yy,,29.93,196.73
CR_sy,,-7.67,1.54
CR_qq,,,
CR_sq,,,
PP,,,
PP_yy,,14.94,233.48
PP_sy,,-7.59,34.76
PP_qq,,,
PP_sq,,,
RCLR,,,
RCLR_yy,,55.24,155.37
RCLR_sy,,18.62,-17.09
RCLR_qq,,,
RCLR_sq,,,
KP,,,
KP_yy,,57.22,87.30
KP_sy,,-27.35,19.12
KP_qq,,,
KP_sq,,,
PKKO,,,
PKKO_yy,,6.91,110.45
PKKO_sy,,-51.60,-44.20
PKKO_qq,,,
PKKO_sq,,,
RN,,,
RN_yy,,20.19,2.03
RN_sy,,-1.23,-2.06
RN_qq,,,
RN_sq,,,
CRN,65000,54000,53000
CRN_yy,,-16.92,-1.85
CRN_sy,,,2.47
CRN_qq,,,
CRN_sq,,,
CPZ,148000,79000,30000
CPZ_yy,,-46.62,-62.03
CPZ_sy,,11.54,3.45
CPZ_qq,,,
CPZ_sq,,,
RZ,,,
RZ_yy,,-5.10,63.17
RZ_sy,,1.75,5.01
RZ_qq,,,
RZ_sq,,,
CRZ,8000,8000,5000
CRZ_yy,,,-37.50
CRZ_sy,,,-4.23
CRZ_qq,,,
CRZ_sq,,,
RMO,,,
RMO_yy,,43.60,-12.20
RMO_sy,,5.52,-6.98
RMO_qq,,,
RMO_sq,,,
RMT,,,
RMT_yy,,40.97,7.73
RMT_sy,,35.55,6.93
RMT_qq,,,
RMT_sq,,,
RM,,,
RM_yy,,43.14,-9.19
RM_sy,,5.82,5.68
RM_qq,,,
RM_sq,,,
COP,73000,62000,58000
COP_yy,,-15.07,-6.45
COP_sy,,-5.84,1.72
COP_qq,,,
COP_sq,,,
CSP,-75000,-17000,28000
CSP_yy,,77.33,264.71
CSP_sy,,-16.85,-16.22
CSP_qq,,,
CSP_sq,,,
