,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
RS_sq,,,,,-119.38,41.33,-290.91,318.60,-182.45,6.13,33.33,-42.78,-28.88,-84.17,105.78,539.47,657.41,17.58,-44.85,14.29,-43.18,40.77,-22.64,231.99,-39.40,-47.53,3.37,239.09,-84.44,269.96,3.64,5.88,-48.58,-28.04,-23.49,199.46,-53.48
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,277.94,57.26,-20.71,,,,19.35,21.41,14.39,2.85,-6.89,-12.51,-9.96,-9.83,-5.49,2.17,5.88,1.21,5.15,3.49,0.25,8.04,31.56,29.60,32.06,22.98,-33.89,-43.43,-44.71,-40.06,-9.05,29.26,16.05,13.35,21.29,-13.88
GPM_sy,,191.16,-51.75,14.43,,,,121.61,23.68,67.74,38.02,-19.39,0.91,-17.54,-24.01,-15.19,-45.15,-3.88,-11.47,-3.35,14.48,-40.08,-10.24,-52.68,-38.38,-29.70,-111.38,-11.80,-130.89,-87.59,424.13,-5.67,298.22,396.00,17.34,-14.87,
GPM_qq,,,,,0.16,2.24,10.53,5.45,1.88,-3.67,-0.62,-4.54,-4.27,-0.86,-0.48,0.06,3.49,2.73,-4.87,3.96,1.86,-0.48,2.51,26.59,0.35,1.41,-4.53,-31.95,-14.13,-0.88,3.48,3.25,22.05,-11.01,1.07,10.49,-13.34
GPM_sq,,,,,61.36,-20.41,17.91,46.34,-9.94,7.95,-2.98,-14.52,12.73,-11.79,-10.60,-4.61,-27.09,54.57,-17.65,4.14,-13.63,-19.09,23.35,-45.10,12.47,-7.70,-119.96,525.62,-139.39,137.09,421.20,23.87,-17.22,-7.19,23.31,-10.14,-2.77
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,2.30,,,,,-33.25,-35.76,-37.56,,51.02,44.70,48.84,-0.79,2.34,6.21,3.46,3.18,1.67,-1.03,0.35,0.03,-0.69,-0.73,-2.29,-14.20,-24.17,-22.76,-23.52,-18.97,8.20,-3.88,-1.03,28.61,0.07
RBS_sy,,,,-8.13,,,,,21.51,-29.09,-50.05,,-48.77,-11.36,14.68,36.67,50.96,45.56,35.00,8.74,-1.90,-21.20,-5.28,48.75,35.86,22.17,27.27,-1.70,-4.10,0.10,-23.30,2.05,-0.48,-5.81,-16.91,5.87,11.27
RBS_qq,,,,,-3.78,6.69,1.77,,,2.69,-1.09,50.82,-1.41,-1.61,1.74,0.53,1.69,2.11,-0.90,0.27,0.20,-0.60,0.48,-0.04,-0.52,-0.64,-1.10,-12.23,-12.09,1.21,-2.07,-7.00,17.38,-10.09,0.83,20.85,-8.67
RBS_sq,,,,,-5.94,34.73,18.91,,,-21.38,-16.23,-19.62,-3.23,36.05,8.37,-4.21,6.88,31.19,0.51,-22.84,-3.57,5.38,20.80,21.17,-11.93,-5.24,25.85,-6.41,-14.08,-1.09,-3.57,24.52,-16.21,-6.39,-14.93,58.65,-11.93
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,100.34,25.46,,,,,,-15.24,-11.54,,,-28.65,-27.31,,-15.62,6.35,14.41,,-1.61,-10.60,-17.15,-14.23,-14.93,-9.70,9.47,46.73,88.94,86.16,63.58,19.43,-29.01,-28.21,-29.03,-32.93,-17.74,-27.14
ROPA_sy,,-56.76,33.06,,,,,,85.06,25.75,,,438.46,366.13,,735.94,937.50,88.79,,-23.96,-12.49,2.41,627.59,17.61,-23.15,-13.64,-12.80,-41.48,-49.19,-29.95,-15.04,5.63,25.00,-116.06,-33.90,-8.00,1.03
ROPA_qq,,,,,,-7.68,0.27,,,-3.65,,,-17.15,-1.84,,,4.43,5.59,-8.94,-2.00,-5.11,-2.16,-5.73,-2.80,0.72,18.62,26.36,25.16,-0.76,4.23,-7.75,-25.60,0.36,3.04,-12.82,-8.75,-11.11
ROPA_sq,,,,,,4.02,141.32,,,-376.92,,,168.75,275.00,,,12.16,-31.76,-86.04,611.49,29.08,-20.15,-0.78,15.01,-15.66,-10.26,0.18,-22.83,-26.76,23.72,21.50,-4.05,-13.33,-115.90,600.00,33.55,-4.83
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,-421.03,30.06,,,,,,-301.03,699.91,,,199.19,-70.54,-534.99,314.09,69.63,63.04,112.81,-88.27,105.82,-59.01,44.65,15.41,-73.79,17.48,-32.45,-36.76,-25.60,-40.13,-14.58,0.18,78.92,15.50,181.54,-409.55,0.48
ZNPO_sy,,-94.36,1125.31,,,,,,199.43,328.16,,,-99.46,-92.18,-71.52,-4.20,17994.74,709.59,156.61,-58.69,39.89,89.99,-29.76,48.28,-56.32,-87.11,-94.27,59.58,21.61,168.37,1855.52,-130.60,-119.69,-151.07,-62.41,19.22,-103.38
ZNPO_qq,,,,,,14.59,,,,555.98,-65.40,13.44,-44.58,35.43,-610.91,207.99,-77.30,30.17,-59.86,-1.09,298.29,-74.08,41.65,-21.08,-9.55,16.20,-18.55,-26.12,6.42,-6.50,16.20,-13.36,90.06,-39.64,183.26,-195.26,161.69
ZNPO_sq,,,,,,139.42,,,,69.76,-11.82,-9.47,-99.60,2342.11,221.34,204.49,-24.27,9.26,1.85,-50.98,156.44,48.39,-62.34,3.48,-24.45,-56.21,-83.26,2781.82,-42.43,-3.37,21.97,-145.09,62.96,-150.70,189.77,-196.91,6.75
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,,,13.61,,,112.42,-64.03,-8.72,22.81,-171.48,-142.93,-21.20,-40.77,629.20,525.81,53.40,32.22,-10.16,29.14,,,,69.39,,,,,,,
ZFI_sy,,,,,,,,,,11.59,,,1.90,4.40,1.57,13.48,11.59,-1.38,1.16,-27.15,-57.58,-94.21,-54.20,32.22,85.25,1247.31,,,,-31.73,,,,,,,
ZFI_qq,,,,,,,,,,134.10,28.59,-5.62,-69.98,-1.28,226.38,26.98,-117.47,40.70,699.05,-4.55,56.08,-52.29,115.81,-17.72,6.05,-31.42,,,,,-12.57,656.50,,,,,
ZFI_sq,,,,,,,,,,10.57,2.92,-7.75,-2.94,13.28,0.14,3.07,-4.55,0.12,2.72,-25.78,-44.42,-86.34,712.40,114.30,-22.13,-0.62,,,,,-0.28,79.53,,,,,
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-2.53,-7.34,,,,,,0.16,0.05,,,0.05,-0.13,,-1.21,-2.89,-3.30,,-1.98,-1.76,-1.20,-1.86,-2.37,-2.54,-7.49,-10.39,-10.73,-11.10,-8.18,-7.92,-6.24,-7.26,-11.62,-8.80,-13.52,-14.15
DTAR_sy,,-22.88,-9.65,,,,,,0.70,-5.85,,,32.56,9.65,,-4.20,1.29,4.34,,-13.67,-2.13,-3.79,-5.34,3.49,-14.10,1.22,-2.97,8.21,-13.26,-21.35,10.38,-5.22,49.02,45.96,7.88,17.45,5.03
DTAR_qq,,,,,,-0.29,-0.67,,,-0.41,,,0.97,-0.58,,,-0.74,-1.00,0.47,-0.71,-0.52,-0.44,-0.20,-1.23,-0.69,-5.49,-3.34,-1.60,-1.11,-2.38,-3.06,0.19,-2.18,-6.97,0.03,-5.00,-2.89
DTAR_sq,,,,,,24.64,-28.76,,,16.53,,,-10.31,-3.60,,,-5.17,-0.70,-1.79,-6.65,7.51,-2.39,-3.37,2.06,-10.76,15.01,-7.37,13.83,-28.47,4.28,30.01,-2.27,12.47,2.14,-3.91,6.41,0.57
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,-32.91,-50.82,,,,,,1.31,0.41,,,0.37,-1.03,,-8.93,-20.27,-21.88,,-12.92,-11.21,-7.51,-11.42,-13.73,-14.20,-33.45,-41.62,-40.98,-41.14,-28.47,-25.59,-20.31,-22.47,-31.38,-23.79,-33.68,-33.81
CG_sy,,-33.29,-18.05,,,,,,29.92,-36.78,,,36.13,56.87,,19.41,2.05,30.04,,-25.23,2.74,3.01,-10.85,-5.09,-19.47,-14.34,-12.80,7.72,-20.42,-21.86,13.79,-23.95,15.60,73.70,21.96,56.56,90.21
CG_qq,,,,,,-2.48,-5.29,,,-3.35,,,8.28,-4.69,,,-5.20,-6.62,3.13,-4.62,-3.33,-2.73,-1.23,-7.10,-3.86,-24.55,-13.37,-6.08,-4.13,-8.30,-9.89,0.59,-6.73,-18.83,0.08,-12.47,-6.91
CG_sq,,,,,,38.34,-26.51,,,-32.68,,,-13.09,-22.43,,,-25.73,-1.15,3.76,-1.85,2.06,-0.88,-10.20,4.49,-13.41,5.44,-8.58,29.07,-36.04,3.53,33.13,-13.74,-2.77,55.56,-6.52,10.74,18.13
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,-25.84,-61.84,,,,,,42.97,18.69,,,7.18,3.60,,2.99,-19.18,-15.95,,0.02,-3.45,-14.18,-18.67,-25.49,-15.97,-30.64,-41.73,-51.45,-54.61,-38.74,-42.83,-11.47,-3.26,-18.14,2.05,-29.65,-41.31
LDER_sy,,56.64,-39.46,,,,,,-1.03,118.97,,,182.66,16.22,,-45.45,-40.80,-16.71,,-1.94,-12.04,-42.58,26.68,-14.00,-29.31,11.12,4.68,13.36,-9.99,30.14,40.09,-6.02,14.22,-28.70,-2.50,42.98,62.87
LDER_qq,,,,,,13.88,-1.68,,,-5.46,,,26.34,-8.62,,,-0.84,-4.97,4.95,1.14,-4.28,-15.53,-0.55,-7.34,7.95,-30.28,-16.44,-22.81,0.93,-5.90,-22.03,19.54,10.29,-20.37,-2.80,-17.59,-7.99
LDER_sq,,,,,,-11.64,-38.20,,,95.51,,,12.74,-19.62,,,22.36,13.09,-57.08,65.12,9.75,-26.17,-5.32,12.09,-9.78,16.04,-10.80,21.39,-28.36,67.78,-3.98,-18.56,-12.93,4.73,31.30,19.42,-0.82
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,342.86,-12.10,,,,,,-50.85,-47.76,,,-36.52,-34.29,,-25.30,-27.40,50.72,,17.74,28.30,-20.19,-15.12,-8.22,-19.12,-16.87,58.90,105.97,121.82,75.36,18.97,-26.09,-34.43,-28.93,-46.38,-27.45,-20.00
PZAT_sy,,-26.26,-9.62,,,,,,-77.44,-87.79,,,-82.34,-45.31,,108.84,36.04,-2.16,,-18.85,303.02,206.54,53.17,-16.83,-50.53,-78.52,-58.95,166.36,53.22,276.66,16.44,-81.82,-54.87,-72.13,-43.05,-0.44,-28.84
PZAT_qq,,,,,,-14.10,-16.92,,,-8.70,,,-12.05,-5.48,,,-14.52,96.23,-17.31,-15.12,-6.85,22.06,-12.05,-8.22,-17.91,25.45,68.12,18.97,-11.59,-0.82,14.05,-26.09,-21.57,7.50,-13.95,,-13.51
PZAT_sq,,,,,,17.65,-38.45,,,-36.32,,,-14.07,97.15,,,-44.02,41.80,63.86,-37.60,177.99,7.85,-18.12,-66.12,65.35,-53.17,56.47,119.85,-4.88,15.11,-51.63,-65.66,136.07,-28.91,-1.16,,68.74
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,-1.54,10547.97,,,,,,-22.75,-47.87,,,-24.73,-15.33,,0.38,-18.65,-4.81,,21.94,27.88,301.64,150.06,109.23,128.54,-42.47,-21.63,-77.37,-78.23,-6.84,-2.25,174.19,712.97,114.72,161.47,203.26,-0.85
PELDR_sy,,-15.82,12.28,,,,,,35.46,83.11,,,-7.34,-38.22,,25.24,16.33,0.20,,-29.04,-23.35,-17.12,13.33,34.58,4.92,-1.38,-31.28,-35.86,17.17,18.58,14.72,20.45,25.58,10.55,17.46,-18.30,3.13
PELDR_qq,,,,,,12.30,-5.65,,,-24.22,,,15.54,-14.76,,,-6.37,-0.25,6.81,22.24,-1.81,213.29,-33.50,2.28,7.25,-21.14,-9.42,-70.46,3.14,237.55,-4.96,-17.14,205.82,-10.85,15.73,-3.89,-0.01
PELDR_sq,,,,,,25.21,20.46,,,69.26,,,-31.62,12.86,,,-36.49,-2.78,9.01,5.43,-31.40,5.13,49.05,25.20,-46.52,-1.19,3.86,16.86,-2.30,,0.48,22.70,1.86,-11.97,6.77,-14.66,28.58
TSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,11.42,-13.19,,,,,,32.74,14.87,,,5.75,3.97,,11.15,1.77,7.08,,12.59,7.47,-5.65,-6.36,-10.81,-1.37,4.98,2.38,-9.87,-14.80,-8.12,-13.20,9.01,17.13,14.14,21.06,6.75,-4.30
TSF_sy,,19.32,-0.32,,,,,,-3.07,5.89,,,0.86,-9.37,,-3.38,1.34,2.00,,13.95,-1.24,-0.06,7.62,-1.90,7.60,7.64,-3.27,-3.28,-0.69,-4.21,4.43,1.63,-4.20,-0.17,-3.67,-3.37,-5.10
TSF_qq,,,,,,13.55,3.45,,,-1.74,,,13.56,-3.39,,,3.97,1.65,1.37,5.09,-0.75,-10.76,0.61,0.09,9.76,-5.02,-1.88,-11.89,3.76,2.43,-7.30,10.65,11.48,-0.19,-1.68,-2.42,-0.06
TSF_sq,,,,,,-2.39,4.45,,,6.63,,,3.12,-4.18,,,8.16,-3.55,-2.01,11.47,-6.25,-2.40,5.51,1.62,2.83,-2.36,-5.18,1.60,5.59,-5.83,3.37,-1.13,-0.47,-1.86,-0.25,-0.81,-2.26
ZKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-0.55,-53.21,,,,,,1.41,6.94,,,4.04,2.84,,0.30,0.61,-1.33,,-1.99,-3.35,-13.05,-10.97,-10.50,-10.69,-4.37,-8.62,10.50,10.30,-8.08,-8.11,-21.27,-27.24,-14.75,-12.92,-19.02,-14.26
ZKO_sy,,-14.73,23.72,,,,,,2.86,-17.75,,,-3.22,8.27,,15.57,-0.01,0.15,,-2.33,15.22,9.84,11.57,4.37,-9.41,-9.09,-4.95,13.14,10.90,1.74,7.47,-3.14,4.92,14.40,5.18,6.84,-1.47
ZKO_qq,,,,,,-2.83,1.85,,,2.47,,,0.72,1.29,,,1.03,-0.65,-0.47,-1.89,-0.38,-10.62,1.91,-1.37,-0.59,-4.30,-2.62,19.27,-0.77,-20.24,-2.66,2.19,-8.30,-6.55,-0.57,-4.96,-2.91
ZKO_sq,,,,,,19.44,-34.66,,,-4.49,,,13.20,6.85,,,-2.06,7.03,-6.97,0.16,15.54,2.03,-5.51,-6.31,0.28,2.40,-1.21,11.53,-1.71,-6.05,4.35,0.52,6.47,2.44,-4.06,2.11,-1.81
OSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,41.50,10247.55,,,,,,-13.06,-51.63,,,-26.19,-15.50,,-1.74,-2.04,8.58,,10.43,17.71,260.53,142.79,137.12,136.15,-25.41,7.46,-59.20,-59.15,16.36,16.70,135.43,524.87,108.69,145.59,204.63,15.12
OSF_sy,,-10.38,3.16,,,,,,4.48,-4.33,,,16.28,1.02,,30.60,11.57,15.16,,-14.16,-8.81,-7.70,12.06,20.97,19.10,55.25,4.25,-21.61,-14.05,-33.21,3.31,22.16,31.56,22.54,10.02,24.93,14.04
OSF_qq,,,,,,46.37,-26.90,,,-18.56,,,-4.44,-6.76,,,-4.73,3.35,2.15,9.80,1.55,216.55,-31.21,7.23,1.13,-0.02,-0.89,-59.28,1.24,184.81,-0.60,-17.86,168.72,-4.88,16.98,1.88,1.55
OSF_sq,,,,,,23.36,-26.73,,,12.97,,,-2.75,-1.86,,,-16.92,1.30,-6.23,8.77,-11.74,2.53,13.85,17.41,-13.10,33.65,-23.55,-11.72,-4.72,3.85,18.26,4.38,2.62,-3.27,6.18,18.54,-6.33
NetDebt,10428000000,21762000000,52215000000,,107906000000,118360000000,131996000000,,162414000000,169441000000,,186349000000,191555000000,198993000000,,216779000000,218171000000,215460000000,232173000000,229360370000,235209000000,203106000000,216027000000,205550849000,210498000000,148995000000,136243000000,162208940000,168747000000,110484000000,104710000000,103211995000,100456000000,62576000000,77141000000,61983133000,55047000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-52.17,-29.28,,,,,,20.91,14.61,,,21.08,22.38,,17.18,3.22,-7.25,,-2.98,7.60,-1.41,-1.47,-3.41,-7.38,-22.36,-44.43,-45.85,-44.11,-49.79,-31.50,-7.69,-12.87,-9.71,16.22,-15.34,-12.71
NetDebtEBITDA_sy,,-52.36,-35.47,,,,,,-9.87,-59.55,,,188.69,160.68,,-21.70,-33.55,-43.63,,-15.83,-16.01,2.59,171.85,-1.83,3.55,-41.72,-56.59,-18.86,-18.74,154.79,99.56,-34.53,24.09,-74.64,-50.01,8.31,-3.43
NetDebtEBITDA_qq,,,,,,9.03,-0.86,,,3.34,,,8.13,4.46,,,-4.76,-6.14,9.27,-0.68,5.63,-13.99,9.20,-2.64,1.29,-27.90,-21.84,-5.13,4.54,-35.22,6.63,27.84,-1.32,-32.87,37.24,-6.87,1.74
NetDebtEBITDA_sq,,,,,,130.58,162.62,,,3.49,,,-16.43,-6.55,,,-29.07,-20.73,-51.13,206.38,-29.23,-3.18,29.49,10.64,-25.35,-45.51,-3.56,106.83,-25.24,70.86,-24.46,-32.14,41.68,-65.08,48.89,47.01,26.33
DebtFin,-31000000,-226000000,-3121000000,,-3329000000,34434000000,-3459000000,,43801000000,45493000000,,49474000000,50194000000,53300000000,,58730000000,57431000000,57970000000,56681000000,56424335000,60755000000,55061000000,63108000000,59379840000,58979000000,44931000000,46727000000,40572301000,45196000000,37763000000,40664000000,32464345000,31284000000,13803000000,27774000000,28170159000,26807000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,-67.09,-307.09,,,,,,1156.98,5.78,,,17.64,22.08,,19.58,3.69,-6.83,,-11.90,5.58,-0.66,17.90,13.42,0.47,-13.63,-34.76,-53.12,-46.58,-43.09,-22.43,16.08,1.31,-41.73,7.75,22.33,36.51
DebtFinEBITDA_sy,,-115.43,80.58,,,,,,33.13,13644.26,,,248.41,12.54,,66.11,-24.99,-49.57,,-33.95,145.63,457.86,-43.99,69.71,-87.71,-77.04,-51.67,-24.56,178.72,30.13,-3.93,-89.37,220.85,-79.37,271.50,0.41,-66.87
DebtFinEBITDA_qq,,,,,,1128.11,-108.93,,,2.89,,,6.72,6.77,,,-7.46,-4.06,-0.85,0.08,10.91,-9.73,17.67,-3.72,-1.76,-22.40,-11.11,-30.81,11.94,-17.34,21.15,3.55,-2.30,-52.45,124.01,17.56,9.02
DebtFinEBITDA_sq,,,,,,-97.58,1549.18,,,149.90,,,18.09,-19.28,,,-46.67,-45.73,292.16,-41.79,98.30,23.25,-60.63,76.36,-85.64,130.35,-17.13,175.29,-46.96,7.55,-38.82,-69.54,1501.01,-93.09,1001.89,-91.77,428.23
SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,42.36,22007.89,,,,,,-14.28,-54.78,,,-29.04,-17.82,,-2.04,-2.64,10.05,,12.66,21.79,314.57,172.69,164.94,164.43,-22.00,17.61,-63.07,-62.97,26.59,27.00,199.02,758.74,144.80,182.02,276.17,34.27
SP1_sy,,-15.18,8.17,,,,,,20.04,16.57,,,-23.21,-5.59,,28.26,49.38,-4.96,,-21.31,-24.62,-11.07,6.17,-6.66,8.16,-6.09,-15.37,-18.28,-8.04,0.47,9.15,29.87,22.69,25.70,6.79,-23.36,-10.11
SP1_qq,,,,,,50.64,-28.23,,,-20.53,,,-5.12,-7.96,,,-5.70,4.04,2.63,11.89,1.94,254.14,-32.49,8.71,1.74,4.47,1.78,-65.86,2.03,257.09,2.11,-19.62,193.01,1.79,17.64,7.21,4.58
SP1_sq,,,,,,19.65,1.38,,,16.19,,,-33.30,42.85,,,-22.32,-9.12,-9.00,22.48,-25.58,7.23,8.64,7.67,-13.77,-6.90,-2.10,3.97,-2.96,1.72,6.36,23.71,-8.33,4.22,-9.65,-11.22,7.53
SP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,9.14,10090.50,,,,,,15.10,-47.87,,,-24.73,-15.33,,0.38,-18.65,-4.81,,12.67,18.30,266.23,130.46,108.81,129.61,-41.09,-21.56,-78.00,-79.11,-9.40,-10.93,177.10,740.77,116.91,185.31,207.96,-0.93
SP2_sy,,-14.64,11.31,,,,,,28.09,83.28,,,-2.88,-36.46,,33.73,24.32,-1.73,,-29.01,-28.14,-20.91,8.17,34.58,2.86,-2.99,-32.69,-36.09,20.18,25.30,22.70,43.16,25.77,10.54,17.46,-31.01,3.13
SP2_qq,,,,,,67.31,-29.21,,,-24.22,,,15.54,-14.76,,,-6.37,-0.25,6.81,12.96,-1.69,208.79,-32.79,2.34,8.10,-20.78,-10.50,-71.29,2.64,243.57,-12.02,-10.69,211.44,-11.36,15.72,-3.60,0.19
SP2_sq,,,,,,25.08,20.50,,,78.97,,,-27.61,17.08,,,-32.71,-7.45,8.11,5.43,-31.88,1.86,47.86,31.18,-47.93,-3.94,2.60,24.54,-2.09,0.15,0.48,45.31,-13.99,-11.97,6.77,-14.66,28.58
CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,288.52,324.89,,,,,,-41.73,50.27,,,1452.97,1270.18,,-29.74,-97.56,-94.29,,627.74,0.71,322.79,-93.60,-44.83,-41.13,101.54,81.48,174.55,115.66,-24.40,-44.90,-26.82,-23.46,298.99,148.15,-92.04,-78.83
CAR_sy,,-18.46,-29.70,,,,,,137.98,65.49,,,35.85,-13.68,,-57.71,-54.43,11.57,,99.00,11.91,0.54,54.55,-7.52,-2.93,-54.33,-50.14,12.93,-67.81,38.62,66.13,-18.37,37.69,-19.55,-61.54,-26.10,-14.48
CAR_qq,,,,,,-71.18,288.52,,,-25.68,,,2846.67,-34.42,,,2.19,53.57,96.28,136.26,-85.86,544.68,-97.03,1937.04,-84.91,2107.23,-97.33,2981.63,-88.15,673.74,-98.05,3992.59,-87.60,3933.58,-98.79,31.34,-67.05
CAR_sq,,,,,,27.25,162.89,,,-11.51,,,85.77,-43.78,,,100.17,37.65,-32.69,7.30,12.57,23.66,3.46,-35.79,18.15,-41.82,12.97,45.44,-66.32,150.50,35.39,-28.54,-43.19,46.38,-35.28,37.31,-34.26
QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR_yy,,45.95,168.77,,,,,,165.01,32.29,,,20.21,11.48,,39.09,5.05,34.38,,87.97,49.67,-20.71,-26.61,-45.23,-1.17,23.16,8.54,-45.12,-64.33,-31.62,-43.02,60.08,181.94,99.71,140.70,46.26,-24.28
QR_sy,,38.87,25.11,,,,,,69.39,34.11,,,14.41,-38.09,,9.74,23.81,59.24,,-7.26,-35.94,-32.99,-27.17,0.24,60.25,9.78,24.50,-13.14,-51.75,-1.24,-2.03,27.61,26.07,-8.90,-11.45,-43.87,-19.37
QR_qq,,,,,,83.62,-21.21,,,-8.34,,,55.24,-14.99,,,17.25,8.74,9.36,34.81,-6.64,-42.39,1.22,0.60,68.48,-28.21,-10.79,-49.14,9.51,37.61,-25.66,42.89,92.87,-2.53,-10.40,-13.17,-0.14
QR_sq,,,,,,61.89,30.00,,,28.17,,,12.60,-30.64,,,27.04,-10.80,-11.27,-7.76,-12.24,-6.71,-3.56,26.95,40.30,-36.09,9.37,-11.43,-22.06,30.82,8.50,15.36,-23.00,-5.47,5.46,-26.88,10.60
CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR_yy,,13.09,65.32,,,,,,83.09,32.42,,,20.09,11.32,,38.82,5.03,34.38,,105.69,63.44,-13.75,-20.84,-46.05,-2.54,21.01,8.81,-42.77,-62.35,-30.12,-38.22,56.62,168.60,99.31,123.38,43.92,-24.49
CR_sy,,12.71,21.29,,,,,,77.52,29.09,,,10.33,-16.31,,4.02,16.96,16.54,,-0.05,-35.16,-33.00,-24.60,-1.73,64.87,38.33,43.59,28.36,-45.49,-17.36,0.33,-4.12,15.44,-3.95,-11.79,-35.92,-15.82
CR_qq,,,,,,26.77,4.64,,,-8.31,,,54.98,-15.01,,,17.25,8.74,9.36,47.52,-6.83,-42.62,0.37,0.53,68.32,-28.76,-9.74,-47.12,10.74,32.22,-20.21,34.06,89.92,-1.89,-10.57,-13.63,-0.36
CR_sq,,,,,,62.21,41.62,,,17.96,,,13.05,-10.52,,,27.11,-10.84,-8.97,-3.12,-17.53,-7.88,2.45,26.25,38.36,-22.71,6.35,12.86,-41.25,17.18,29.12,7.85,-29.25,-2.50,18.58,-21.65,-7.06
PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_yy,,288.52,324.89,,,,,,-29.45,35.69,,,1199.11,1007.23,,-18.80,-96.27,-92.17,,990.15,378.80,2222.00,923.23,244.51,992.40,68.88,61.99,-72.98,-92.08,-12.45,-22.04,458.25,2067.52,160.94,149.34,56.54,-4.19
PP_sy,,110.77,-76.72,,,,,,138.12,20.14,,,8.24,9.20,,2.83,12.63,-29.33,,-14.58,-10.63,30.89,-18.03,-18.59,-18.85,-48.62,-24.27,-5.82,-12.52,66.60,17.35,-23.80,3.55,-54.65,-45.63,-55.63,-70.38
PP_qq,,,,,,-59.84,178.82,,,-22.77,,,2228.00,-34.18,,,6.90,38.25,98.00,272.56,-53.05,570.45,-12.75,25.44,48.87,3.65,-16.30,-79.08,-56.36,1045.61,-25.47,49.82,69.44,37.91,-28.78,-5.94,3.71
PP_sq,,,,,,108.65,-34.83,,,5.28,,,9.53,6.21,,,19.97,-33.36,38.53,-22.87,25.51,-2.39,-13.25,-23.40,25.11,-38.20,27.86,-4.75,16.21,17.70,-9.94,-38.15,57.94,-48.45,7.97,-49.53,5.43
RCLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,-4.07,77.43,,,,,,106.55,42.77,,,11.54,6.32,,39.32,17.43,43.65,,110.67,70.88,-21.83,-27.90,-52.18,-13.14,47.63,29.46,-18.96,-46.49,-34.62,-42.38,25.18,114.95,78.85,117.97,38.64,-30.94
RCLR_sy,,-25.15,32.30,,,,,,39.05,9.52,,,20.70,10.51,,-37.50,-18.98,3.80,,11.71,42.93,-44.20,-13.62,101.12,-50.92,16.54,25.88,-58.44,10.31,-2.83,17.85,31.52,29.24,15.37,18.35,17.76,9.74
