,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
PCurrent_qq,,,,,6.00,-4.78,9.37,9.18,8.01,6.23,-1.23,3.85,1.51,0.33,2.72,5.40,2.10,2.37,2.22,-2.61,-1.78,2.43,-2.51,-1.15,0.64,-1.69,10.90,36.71,16.15,-0.67,-4.99,-10.33,-17.43,13.81,-5.08,-22.46,2.75
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-47.06,-55.78,-45.43,,,,-17.06,-18.61,-27.03,-19.16,-15.01,-9.58,-4.21,-8.03,-9.32,-9.89,-11.61,-11.21,-3.99,,-0.16,4.75,3.19,0.63,4.82,-7.82,-33.28,-42.21,-42.88,-33.28,1.62,43.13,24.93,24.94,44.52,16.20
CPCurrent_sy,,91.74,-63.05,-12.98,,,,-24.21,-3.42,-41.29,-53.78,28.49,-48.33,-26.26,-25.16,-5.92,-9.75,75.47,81.79,56.37,,-23.81,-28.18,-34.01,-16.64,8.78,27.19,27.81,14.56,-16.94,-21.22,-14.02,9.67,61.03,26.60,14.95,-11.02
CPCurrent_qq,,,,,-5.69,4.99,-8.51,-8.44,-7.45,-5.87,1.36,-3.75,-1.53,-0.28,-2.69,-5.09,-2.15,-2.19,-2.24,2.62,1.92,-2.35,2.57,1.10,-0.62,1.71,-9.80,-26.83,-13.92,0.54,5.36,11.45,21.23,-12.24,5.36,28.92,-2.53
CPCurrent_sq,,,,,78.92,13.99,20.78,-69.23,127.99,-30.71,-4.92,-14.46,-8.32,-1.11,-3.50,7.53,-12.04,92.25,-0.02,-7.51,-14.99,-3.08,-5.76,-15.02,7.40,26.47,10.19,-14.61,-3.73,-8.30,4.50,-6.79,22.79,34.64,-17.84,-15.37,-4.95
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,679.55,254.23,45.19,,,,42.57,54.37,55.77,28.47,9.26,0.40,-2.69,-0.50,6.84,9.90,18.25,18.45,12.13,7.23,1.60,3.81,20.02,22.23,20.41,17.53,0.23,-0.78,-1.99,-4.52,-18.26,-18.96,-16.37,-18.05,-8.77,-16.50
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
