,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RCLR,690,1050,150,,,250,750,,,440,70,1040,,3000,3100,3380,,3170,3320,2980,,2040,2020,1660,,80,110,40,40,40,200,700,320,60,170,250,60,190,430,430,830,860,190,200,550,450,450,380,340,190,160,200
KP,-100,270,500,,,170,150,,,160,180,60,,330,320,320,,310,320,320,,70,60,50,,0,10,30,30,70,60,160,150,100,150,-10,-20,0,0,0,0,0,-30,70,90,-10,70,-10,0,-10,-10,-10
PKKO,-70,-160,-310,,,1100,810,,,2900,2590,740,,5850,7360,8540,,7940,8330,9220,,1690,1530,1310,,100,340,1040,860,2630,2770,5990,5790,4690,5670,-860,-5370,6120,100,9670,300,580,241360,-758410,-1254620,199090,-1813500,259600,62860,82500,83120,150220
RN,5000,6300,8210,8300,8600,4430,4000,4270,5550,2420,2990,3650,3850,1980,1070,810,720,760,740,700,690,880,1030,1270,1270,1780,2870,7630,8029,8340,5700,3740,3110,3010,2760,3070,3300,2430,6830,10810,6330,4800,3880,2940,2160,1570,1260,1110,1130,1110,1110,1370
CRN,73000,58000,44000,44000,42000,82000,91000,85000,66000,151000,122000,100000,95000,184000,340000,453000,510000,479000,493000,520000,528000,417000,354000,288000,288000,205000,127000,48000,45000,44000,64000,97000,117000,121000,132000,119000,111000,150000,53000,34000,58000,76000,94000,124000,169000,232000,290000,330000,322000,330000,328000,266000
CPZ,106000,66000,67000,66000,63000,402000,271000,254000,195000,325000,550000,347000,329000,277000,133000,144000,162000,149000,150000,165000,167000,149000,149000,152000,152000,294000,418000,633000,671000,759000,827000,616000,522000,516000,593000,770000,940000,898000,267000,148000,111000,115000,237000,401000,541000,772000,780000,720000,792000,964000,1232000,1205000
RZ,378620,-76850,-39760,-39210,-47240,4350,2910,2890,7530,2800,3230,4030,4190,740,330,200,150,200,200,190,170,290,500,1990,1990,1770,1610,,,,,,,,,,,,,,,,,,,,,,,,,
CRZ,1000,-5000,-9000,-9000,-8000,84000,125000,126000,48000,130000,113000,91000,87000,494000,1094000,1793000,2470000,1788000,1864000,1970000,2106000,1268000,731000,183000,183000,207000,226000,,,,,,,,,,,,,,,,,,,,,,,,,
RMO,4350,4210,2380,2400,2490,390,620,660,860,440,290,440,460,360,330,250,220,240,240,220,220,310,450,870,870,790,710,510,480,380,330,350,320,310,250,220,220,230,3510,5320,4100,3610,3140,680,330,260,160,200,300,240,430,440
RMT,2600,4650,5220,5270,5470,400,260,270,350,150,120,130,140,130,120,140,120,130,130,120,120,110,100,90,90,90,100,90,90,80,70,80,80,80,80,60,40,20,20,20,20,30,30,20,20,20,10,10,10,10,10,10
RM,1630,2210,1630,1650,1710,200,180,190,250,110,90,100,110,100,90,90,80,80,80,80,80,80,80,80,80,80,90,80,70,70,60,70,70,70,60,50,40,20,20,20,20,30,30,20,20,20,10,10,10,10,10,10
COP,74000,53000,35000,35000,34000,166000,216000,211000,114000,281000,235000,191000,182000,678000,1434000,2246000,2980000,2267000,2357000,2490000,2634000,1685000,1085000,471000,471000,412000,353000,,,,,,,,,,,,,,,,,,,,,,,,,
CSP,-32000,-13000,-32000,-31000,-29000,-236000,-55000,-43000,-81000,-44000,-315000,-156000,-147000,401000,1301000,2102000,2818000,2118000,2207000,2325000,2467000,1536000,936000,319000,319000,118000,-65000,,,,,,,,,,,,,,,,,,,,,,,,,
