,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PELDR,1120,1100,1650,2360,2330,2420,2530,2740,2720,1270,1320,1650,1660,1350,1500,1270,1620,1540,1520,1530,1500,1380,1360,1260,1130,1280,1250,1250,1210,1250,1230,1280,1340,1270,1030,1090,1130,1650,1200,1340,1340,2020,2029,2230,2260,2040,1970,2200
TSF,460,480,600,570,590,610,660,620,580,340,370,430,440,380,440,420,570,630,690,680,670,690,690,730,640,750,770,800,800,780,780,770,780,790,620,650,620,630,630,690,720,660,610,620,610,680,640,580
ZKO,1420,1500,1260,910,890,850,830,830,840,1110,1140,1050,1030,1050,990,1060,1020,1130,1150,1140,1150,1280,1300,1590,1580,1630,1740,1810,1870,1710,1720,1570,1360,1510,1460,1450,1330,1290,1330,1210,1220,1010,1000,1010,1000,1070,1110,1080
OSF,560,550,740,1170,1190,1230,1230,1310,1340,760,720,910,950,920,1010,930,980,920,940,940,940,920,910,910,880,900,940,990,1030,990,1010,970,1010,1050,1020,1010,970,930,940,970,990,1000,1000,1000,1000,970,960,950
NetDebt,580495000000,610001000000,651908000000,607206000000,665230000000,813034000000,801046000000,974278000000,1127060000000,1433853000000,1380828000000,1203892000000,1143407000000,1080541000000,959187000000,976665000000,824757000000,815274000000,762884000000,771790000000,781180000000,843813000000,871170000000,976201000000,1040638000000,1021442000000,993669000000,926928000000,892598000000,842333611000,827774000000,816465166000,737548987000,779875081000,783995762000,780295125000,811250461000,845397333000,869633294000,764454825000,700085814000,721388914000,742778103000,799432220000,795358538000,782663384000,876322881000,1023230045000
NetDebtEBITDA,20670,13680,3420,4090,4210,3840,3760,4290,4870,10210,8060,7680,7280,6890,7130,7210,5220,5250,4840,5030,7140,11080,15720,14270,17670,14140,12940,15990,12960,13890,14210,14790,14440,18110,21330,21390,30240,24460,43150,13240,8220,13460,10970,46130,157920,13200,17840,30250
DebtFin,201527000000,245147000000,291449000000,60333000000,224350000000,287810000000,286149000000,281744000000,386379000000,400800000000,464555000000,442235000000,392227000000,362935000000,343756000000,195677000000,186671000000,187192000000,192637000000,198617000000,224120000000,247616000000,284244000000,350157000000,372911000000,372134000000,369919000000,363944000000,340333000000,316632493000,302701000000,290992923000,225465287000,234899618000,198474765000,148443311000,114703689000,20411823000,127548231000,108240433000,99168062000,103984514000,107722743000,16389658000,-8750064000,30665330000,2097065000,22359749000
DebtFinEBITDA,7180,5500,1530,410,1420,1360,1340,1240,1670,2850,2710,2820,2500,2320,2550,1440,1180,1210,1220,1290,2050,3250,5130,5120,6330,5150,4820,6280,4940,5220,5190,5270,4410,5450,5400,4070,4280,590,6330,1870,1160,1940,1590,950,-1740,520,40,660
SP1,400,360,590,1290,1340,1440,1490,1580,1600,680,630,870,930,870,1020,880,960,810,820,820,810,720,700,570,560,550,540,550,550,580,590,620,740,690,700,700,720,720,710,800,820,990,1000,990,1000,910,860,880
SP2,1120,1100,1650,2360,2330,2420,2530,2740,2720,1270,1320,1650,1660,1350,1500,1270,1620,1540,1520,1530,1500,1380,1360,1260,1130,1280,1250,1250,1210,1250,1230,1280,1340,1270,1030,1090,1130,1240,1200,1340,1340,1500,1460,1570,1570,1530,1410,1420
CAR,10,40,110,450,160,130,150,120,40,30,10,10,20,30,20,140,160,130,60,100,100,100,80,60,60,40,50,40,30,50,40,90,150,140,110,180,240,300,190,250,250,170,160,250,290,320,260,200
QR,950,1010,1440,1720,1750,1860,2130,1980,1810,1070,1100,1250,1260,1120,1220,1120,1460,1540,1680,1630,1580,1520,1500,1470,1130,1570,1600,1720,1580,1610,1570,1610,1810,1710,990,1100,1140,720,1230,1500,1590,930,830,860,840,980,770,620
CR,1090,1080,1600,1770,1820,1910,2190,2020,1860,1110,1140,1300,1310,1160,1260,1150,1520,1610,1760,1740,1670,1610,1580,1570,1200,1650,1680,1820,1680,1710,1680,1710,1910,1820,1050,1160,1190,1340,1280,1560,1660,1650,1490,1600,1570,1720,1520,1400
PP,10,50,130,560,380,250,180,190,100,30,20,50,70,70,70,140,190,210,150,190,180,100,80,60,60,80,50,40,40,170,160,210,270,140,120,190,240,360,250,330,350,250,270,350,370,420,290,200
RCLR,930,950,1280,1120,1330,1590,1910,1780,1680,1030,1060,1170,1170,1030,1120,950,1230,1300,1470,1380,1340,1370,1370,1360,1040,1450,1500,1620,1500,1400,1360,1360,1500,1540,840,880,870,90,950,1140,1220,90,90,90,70,80,60,50
KP,50,40,230,330,340,360,400,390,360,70,90,170,170,100,150,90,220,220,240,240,220,190,180,150,70,160,160,160,140,150,150,170,200,170,20,50,70,120,100,170,180,220,190,230,220,230,190,170
PKKO,110,100,420,1180,1140,1040,1090,1100,1030,230,240,520,530,290,510,310,660,710,710,770,960,990,1220,1020,510,970,800,800,650,880,900,1190,1690,1500,170,480,660,1400,1060,1150,860,980,860,1460,1830,1370,1190,1170
RN,1180,1120,1640,1040,970,1010,980,950,860,660,720,640,660,670,590,660,780,780,880,920,740,640,500,540,520,620,710,710,810,710,710,610,510,470,410,480,480,530,530,770,1100,1160,1740,2230,5670,8410,8500,8660
CRN,310000,325000,223000,352000,376000,361000,371000,386000,424000,556000,504000,574000,555000,542000,619000,555000,469000,467000,415000,395000,492000,572000,726000,676000,708000,592000,513000,511000,448000,511000,514000,595000,716000,770000,888000,763000,762000,684000,690000,475000,332000,314000,210000,163000,64000,43000,43000,42000
CPZ,333000,341000,174000,298000,304000,267000,252000,233000,245000,374000,386000,480000,505000,491000,553000,522000,439000,416000,352000,297000,360000,412000,532000,497000,560000,462000,394000,380000,297000,340000,351000,425000,510000,536000,720000,693000,787000,1040000,1001000,641000,416000,376000,364000,534000,785000,554000,593000,666000
RZ,6590,11950,9080,9430,9760,16750,17760,19600,21380,16340,16360,12540,11740,11760,10220,11850,13360,12660,13090,11540,8580,6980,5530,6060,6130,7620,9070,9530,10520,8560,7740,6400,5460,5290,4960,5840,5970,5290,5650,8320,11260,11820,12080,8950,7180,9940,9380,9420
CRZ,55000,31000,40000,39000,37000,22000,21000,19000,17000,22000,22000,29000,31000,31000,36000,31000,27000,29000,28000,32000,43000,52000,66000,60000,60000,48000,40000,38000,35000,43000,47000,57000,67000,69000,74000,62000,61000,69000,65000,44000,32000,31000,30000,41000,51000,37000,39000,39000
RMO,1000,990,1310,720,690,740,760,790,750,590,660,580,600,610,530,570,670,650,720,750,600,520,420,460,440,540,620,630,720,620,600,510,410,380,330,380,380,300,290,430,610,640,630,430,300,410,390,360
RMT,1450,1260,2210,1730,1780,2250,2250,2410,2440,1870,2040,1720,1650,1630,1390,1400,1460,1230,1150,1060,770,610,460,440,380,420,440,420,430,360,340,300,260,240,220,250,260,230,240,390,560,620,690,530,430,600,530,490
RM,590,550,800,500,490,560,570,590,580,450,500,430,440,440,380,410,460,430,440,440,340,280,220,220,200,240,260,250,270,230,220,190,160,150,130,150,150,130,130,200,290,320,330,240,180,240,220,210
COP,365000,356000,263000,391000,413000,383000,392000,405000,441000,578000,526000,603000,586000,573000,655000,586000,496000,496000,443000,427000,535000,624000,792000,736000,768000,640000,553000,549000,483000,554000,561000,652000,783000,839000,962000,825000,823000,753000,755000,519000,364000,345000,240000,204000,115000,80000,82000,81000
CSP,32000,15000,89000,93000,109000,116000,140000,172000,196000,204000,140000,123000,81000,82000,102000,64000,57000,80000,91000,130000,175000,212000,260000,239000,208000,178000,159000,169000,186000,214000,210000,227000,273000,303000,242000,132000,36000,-287000,-246000,-122000,-52000,-31000,-124000,-330000,-670000,-474000,-511000,-585000
