,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400,30400
ShareAmountCurrent,20000000000,20000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000,25000000000
WKCurrent,3710,0,9470,9910,10310,0,14050,13520,15130,0,9450,11330,0,0,19460,22960,30700,0,33100,34350,39200,0,54140,51010,63190,63520,56220,60680,69050,69400,61450,41990,46280,41110,37540,23550,34960,35160,40990,39620,54050,50750,62500,63860,69330,67850,58030,60710,72900
CWKCurrent,8189,,3210,3070,2950,,2160,2250,2009,,3220,2680,,,1560,1320,990,,920,890,780,,560,600,480,480,540,500,440,440,490,720,660,740,810,1290,870,860,740,770,560,600,490,480,440,450,520,500,420
WKGrahamCurrent,1210,0,3890,3720,3860,0,1940,2080,2140,0,-4350,-4360,0,0,-880,1390,4480,0,7350,5310,8380,0,9750,9680,17810,19840,12350,14760,22120,20080,720,-4140,5930,-30,-8070,-8840,360,50,-1890,2380,12020,11330,12950,14240,21770,17680,13550,-620,5840
CWKGrahamCurrent,25180,,7810,8170,7880,,15660,14610,14180,,,,,,,21900,6790,,4140,5730,3630,,3120,3140,1710,1530,2460,2060,1370,1510,42120,,5130,,,,84670,601690,,12790,2530,2680,2350,2130,1400,1720,2240,,5210
PCurrent,6720,9990,10630,11390,11910,13240,13110,14150,14880,14990,20590,19720,30570,22630,21070,25470,20600,32950,34770,36260,37670,43180,55540,56140,59040,60540,64390,69230,79650,81950,62100,65440,63500,56440,68010,62700,57450,60560,61640,62000,65370,63840,73280,85410,88380,92880,84080,74890,73920
CPCurrent,4530,3040,2860,2670,2550,2300,2320,2150,2040,2029,1480,1540,990,1340,1440,1190,1480,920,870,840,810,700,550,540,510,500,470,440,380,370,490,460,480,540,450,480,530,500,490,490,470,480,410,360,340,330,360,410,410
ZCurrent,840,1570,980,1280,1740,2700,3090,3420,4380,3160,-1280,-2410,3110,-640,4840,8250,4590,14020,12680,12960,15310,15710,15470,12710,14430,13100,7490,8330,7860,7780,3700,-4970,-2970,-12900,-11600,-9140,-9550,-3980,2720,10710,12030,11890,14630,16480,13560,13240,10320,5910,4690
CZCurrent,36350,19330,31000,23790,17430,11270,9830,8880,6940,9630,,,9790,,6280,3690,6630,2170,2400,2350,1990,1940,1970,2390,2110,2320,4059,3650,3870,3910,8210,,,,,,,,11190,2840,2530,2560,2080,1850,2240,2300,2950,5140,6480
ZOCurrent,1070,1580,9610,11840,11830,13370,3690,2710,820,-1180,3600,2260,8230,4600,6780,9950,6560,15540,13900,14520,16540,16710,16810,14370,16440,15890,10070,11250,11330,8440,5650,8480,11950,6210,15600,15930,11270,16020,18410,18280,21830,21650,22020,21480,18240,17140,13660,8660,7810
CZOCurrent,28470,19200,3160,2570,2570,2270,8230,11210,37050,,8450,13420,3690,6620,4480,3050,4630,1960,2190,2090,1840,1820,1810,2110,1850,1910,3020,2700,2680,3600,5380,3580,2540,4890,1950,1910,2700,1900,1650,1660,1390,1400,1380,1420,1670,1770,2230,3510,3890
EVCurrent,33150,30400,35430,35890,35920,30400,37590,36910,38840,30400,45850,47580,30400,30400,44050,42770,44990,30400,49060,51870,52750,30400,68270,65750,64980,65930,70010,72150,69910,70850,74500,69350,62810,66120,67310,64860,64959,64849,59840,53450,55850,57250,56210,42690,47170,49410,52140,64319,69830
EVPCurrent,4940,3040,3330,3150,3020,2300,2870,2610,2610,2029,2230,2410,990,1340,2090,1680,2180,920,1410,1430,1400,700,1230,1170,1100,1090,1090,1040,880,860,1200,1060,990,1170,990,1030,1130,1070,970,860,850,900,770,500,530,530,620,860,940
EVEBITCurrent,31050,19200,3690,3030,3040,2270,10180,13610,47340,-25770,12750,21010,3690,6620,6500,4300,6860,1960,3530,3570,3190,1820,4059,4570,3950,4150,6950,6410,6170,8390,13190,8170,5260,10650,4320,4070,5760,4050,3250,2920,2560,2640,2550,1990,2590,2880,3820,7430,8940
EVEBITDACurrent,21750,13850,3470,2890,2870,2150,8510,10480,22630,-174400,8860,12550,2890,4840,5420,3700,5720,1700,3070,3110,2840,1610,3430,3710,3210,3300,4930,4650,4450,5530,7340,5240,3800,6220,3380,3270,4280,3260,2700,2400,2140,2180,2070,1590,1970,2130,2640,4320,4910
DTAR,490,,480,480,470,,430,430,480,,670,640,,,490,440,420,,410,440,430,,460,460,420,420,470,460,430,420,470,520,460,520,570,660,540,540,510,480,400,440,390,340,320,330,350,410,410
CG,1300,,930,910,900,,750,750,920,,2050,1840,,,950,780,710,,690,800,740,,860,860,720,730,890,850,740,720,870,1100,870,1100,1300,1970,1170,1180,1040,930,670,800,630,510,470,490,530,710,690
LDER,300,,180,190,240,,160,190,190,,330,810,,,540,400,370,,330,370,330,,420,440,370,360,500,470,400,350,360,480,420,500,560,840,510,430,140,340,260,240,210,180,150,170,170,350,360
PZAT,3010,,,,,,4900,4230,4330,,3890,1500,,,1640,1980,2009,,2060,1740,1840,,1570,1480,1600,1560,1300,1390,1510,1810,2250,1850,1780,1690,1790,1360,1620,1950,6690,2420,2650,2790,3420,3740,3990,3620,3710,2430,2220
PELDR,1290,,2009,1910,1980,,1330,1380,1370,,900,1290,,,1480,1490,1600,,1700,1610,1690,,1730,1770,1900,1970,1920,1940,2060,1890,1380,1350,1630,1500,1290,1340,1530,1440,1090,1420,1620,1600,1530,1510,1680,1580,1530,1340,1470
