,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050,10050
ShareAmountCurrent,618450000,618450000,618450000,618450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000,793450000
WKCurrent,27350,31910,40160,44990,0,104260,107270,109180,0,110840,104460,108560,0,97050,98180,97840,0,105640,93640,78740,0,36800,14040,-81070,-92120,-196940,-205190,-207080,-198510,-194310,-195460,-202440,-209080,-215800,-215880,-215650,-210720,-210380,-211640,-210290,-214690,-208420,-208810,-209510,-206640,-202690,-196910,-194640
CWKCurrent,370,310,250,220,,100,90,90,,90,100,90,,100,100,100,,100,110,130,,270,720,,,,,,,,,,,,,,,,,,,,,,,,,
WKGrahamCurrent,-16660,-10450,-1910,-7630,0,26900,36370,34530,0,22000,15370,17130,0,-7840,-8610,-11180,0,-55810,-70810,-88020,0,-116390,-145900,-204800,-214840,-294620,-299630,-299720,-288800,-272510,-271880,-276120,-283760,-287330,-282670,-281380,-271570,-270280,-270580,-268350,-278700,-269960,-268970,-268260,-264610,-260170,-244340,-241920
CWKGrahamCurrent,,,,,,370,280,290,,460,650,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,183600,218740,317350,372770,288850,295100,315270,369050,464630,530990,522390,506930,480090,475350,469620,480760,486700,591910,641710,674540,727040,649830,612530,529570,395820,243600,189880,151350,133650,133670,126210,119810,112830,112680,113660,112840,99440,94940,82550,70650,68810,64959,65750,74310,75620,73160,74700,69970
CPCurrent,50,50,30,30,30,30,30,30,20,20,20,20,20,20,20,20,20,20,20,10,10,20,20,20,30,40,50,70,80,80,80,80,90,90,90,90,100,110,120,140,150,150,150,140,130,140,130,140
ZCurrent,1090,2940,8370,10450,8330,10450,11450,12650,17220,15070,10370,9610,8810,12180,11250,11270,5820,7890,-2800,-15340,-25460,-59760,-79150,-158040,-158690,-231690,-207370,-121960,-102870,390,6940,10850,-4330,-6710,-1760,-4640,10190,5990,-1080,3930,-5030,-1300,1090,750,4370,350,7740,9100
CZCurrent,9240,3420,1200,960,1210,960,880,790,580,670,970,1050,1140,830,890,890,1730,1270,,,,,,,,,,,,25890,1450,930,,,,,990,1680,,2560,,,9220,13470,2300,28580,1300,1100
ZOCurrent,2600,6810,14870,15590,11690,10040,6910,7770,15490,24300,21720,21780,19460,16780,19430,18070,12210,17770,6830,-5390,-11720,-45600,-63710,-108770,-116000,-180530,-157720,-110090,-90390,-2220,3330,9770,-6080,830,1820,2370,12350,-1190,-4090,-2250,-1100,5870,6790,6510,-2370,-4450,-860,150
CZOCurrent,3860,1480,680,640,860,1000,1450,1290,650,410,460,460,520,600,520,560,820,570,1470,,,,,,,,,,,,3020,1030,,12050,5520,4250,810,,,,,1710,1480,1540,,,,68160
EVCurrent,12060,12690,17460,42720,10050,17580,24090,46940,10050,99960,123530,135670,10050,71590,94210,105090,10050,97650,146180,157780,10050,149070,155920,160460,142420,160110,162090,159430,156470,149050,142250,145900,156820,154850,158300,156720,146920,142340,138240,146010,152020,144860,153750,161590,156460,152290,139390,144600
EVPCurrent,70,60,60,110,30,60,80,130,20,190,240,270,20,150,200,220,20,170,230,230,10,230,250,300,360,660,850,1050,1170,1120,1130,1220,1390,1370,1390,1390,1480,1500,1670,2070,2210,2230,2340,2170,2070,2080,1870,2070
EVEBITCurrent,4640,1870,1170,2740,860,1750,3480,6040,650,4110,5690,6230,520,4270,4850,5820,820,5500,21400,-29260,-860,-3270,-2450,-1480,-1230,-890,-1030,-1450,-1730,-67270,42750,14940,-25810,185600,86980,66210,11900,-119260,-33800,-64940,-138800,24660,22630,24840,-65960,-34260,-162170,980590
EVEBITDACurrent,2020,1140,900,2050,620,1140,1830,3130,420,2990,3910,4210,340,2590,3150,3690,450,3300,7030,15370,2250,-4990,-3190,-1690,-1380,-950,-1110,-1590,-1930,26260,13860,9030,-499730,24340,22230,21430,8620,44550,777890,70210,47810,14160,13690,14600,74120,-1088620,43560,34440
DTAR,620,640,670,670,,480,480,540,,660,670,680,,670,670,690,,750,770,780,,860,960,1260,1300,1780,1890,2020,1970,2080,2060,2130,2130,2300,2350,2350,2430,2470,2530,2540,2620,2670,2700,2740,2760,2740,3030,3050
CG,2510,2550,2730,2510,,990,1000,1280,,2160,2200,2310,,2230,2160,2360,,3310,3620,4430,,9900,24640,-4740,-4310,-2280,-2120,-1970,-2020,-1930,-1940,-1880,-1890,-1770,-1740,-1740,-1700,-1680,-1650,-1650,-1620,-1600,-1590,-1570,-1570,-1580,-1500,-1500
LDER,810,470,370,400,,130,120,170,,660,610,690,,500,720,680,,920,980,1120,,1560,4059,-500,-420,-170,-160,-140,-150,-130,-130,-140,-140,-160,-160,-190,-200,-190,-190,-150,-150,-140,-120,-120,-120,-90,-80,-70
PZAT,2090,2670,3020,2960,,4370,4600,3460,,1030,1200,1000,,1660,1220,1330,,1320,1400,1420,,1990,1950,2600,2700,2510,2460,2670,2640,2500,2460,2190,2170,1730,1640,1260,1190,1210,1230,1470,1710,1740,1940,1940,1910,2610,2330,2820
PELDR,930,920,1090,1040,,1430,1590,1590,,1910,1740,1880,,1350,1530,1460,,1220,1110,990,,620,470,-290,-400,-1630,-1790,-1890,-1850,-2120,-2210,-2340,-2400,-2510,-2690,-2650,-2730,-2790,-2890,-3020,-2830,-2870,-3020,-3110,-3100,-3190,-3850,-3910
TSF,450,370,340,370,,540,540,490,,510,490,500,,450,530,490,,440,420,370,,220,200,-130,-180,-650,-750,-880,-830,-940,-920,-970,-970,-1090,-1140,-1090,-1150,-1190,-1240,-1300,-1390,-1440,-1490,-1530,-1540,-1580,-1860,-1910
ZKO,1320,1150,1020,1070,,790,750,800,,920,940,940,,1040,1040,1050,,1190,1260,1340,,1470,1730,2140,2180,2910,3210,3750,3560,3680,3530,3620,3550,4030,4059,4000,4160,4260,4400,4430,5100,5290,5270,5370,5450,5390,5820,5930
OSF,670,660,720,760,,970,1000,1040,,1010,980,1010,,900,900,890,,740,690,620,,340,150,-1400,-1630,-5850,-6960,-8360,-7800,-9120,-9090,-9950,-9980,-12190,-13050,-13330,-14340,-14910,-15790,-15970,-17050,-17880,-18310,-19140,-19400,-19050,-24560,-24970
NetDebt,35325000000,45258000000,60946000000,67792000000,,66924000000,74572000000,103683000000,,135134000000,114965000000,145423000000,,162720000000,159716000000,175837000000,,246136000000,251246000000,270824000000,,273473000000,262220000000,297631000000,304539000000,337095000000,329731000000,313160000000,305897000000,280996000000,279994000000,281935000000,301484000000,285389000000,282656000000,280520000000,269947000000,263226000000,257739000000,260952000000,265830000000,250237000000,256527000000,253587000000,252528000000,247210000000,226964000000,228090000000
NetDebtEBITDA,9570,6580,5080,5270,,5460,7140,8730,,5090,4580,5690,,7430,6730,7770,,10500,15220,33250,,-11540,-6750,-3960,-3730,-2530,-2830,-3930,-4760,62400,34380,21990,-1210780,56550,50040,48340,19970,103840,1827940,158150,105360,30840,28790,28870,150760,-2227120,89390,68470
DebtFin,1244000000,1635000000,4583000000,20205000000,,5976000000,11137000000,29268000000,,71339000000,90044000000,99676000000,,48831000000,66780000000,75410000000,,69503000000,108016000000,117214000000,,110305000000,115738000000,119343000000,105028000000,119063000000,120634000000,118526000000,116173000000,110288000000,104895000000,107787000000,116458000000,114893000000,117625000000,116373000000,108596000000,104967000000,101709000000,107874000000,112644000000,106968000000,114017000000,120240000000,116171000000,112863000000,102628000000,106755000000
DebtFinEBITDA,340,240,380,1570,,490,1070,2460,,2690,3590,3900,,2230,2810,3330,,2960,6540,14390,,-4650,-2980,-1590,-1290,-890,-1040,-1490,-1810,24490,12880,8410,-467700,22760,20820,20050,8029,41410,721340,65379,44650,13180,12800,13690,69360,-1016780,40420,32049
SP1,500,570,710,710,,1220,1340,1300,,1100,1040,1080,,870,870,840,,620,550,460,,230,90,-650,-750,-2009,-2170,-2230,-2190,-2480,-2570,-2750,-2810,-3030,-3220,-3330,-3450,-3500,-3590,-3610,-3340,-3380,-3470,-3560,-3560,-3530,-4220,-4210
