,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PP,0,700,110,600,,10,10,90,,50,160,2220,,510,530,810,,1030,830,330,,20,60,20,,20,10,30,,10,10,10,10,20,10,20,10,10,20,30,20,20,50,30,30,30,30,20,20,60,20,30
RCLR,470,580,570,510,,450,590,330,,860,870,610,,1100,1070,970,,840,1100,1170,,400,930,630,,560,550,670,,560,530,640,590,660,640,690,660,660,650,720,750,740,750,760,740,750,730,690,680,600,610,620
KP,-120,170,-20,130,,-200,-50,-140,,60,120,430,,210,220,200,,220,240,120,,-60,40,-70,,-80,-80,-50,,-100,-90,-60,-60,-60,-70,-60,-60,-70,-70,-40,-30,-40,-20,-20,-20,-30,-30,-30,-40,-60,-60,-50
PKKO,-200,440,-50,360,,-300,-60,-180,,90,190,1010,,450,410,340,,440,500,280,,-240,290,-410,,-260,-250,-100,,-250,-230,-330,-150,-140,-170,-130,-120,-160,-140,-100,-70,-70,-40,-50,-50,-60,-60,-80,-100,-170,-140,-120
RN,3880,2390,2240,2310,2640,3230,4150,5200,5960,4840,3930,3520,3420,3010,2700,2540,2630,2720,2950,2750,2240,2140,2250,2140,3180,3010,3050,4920,3160,3290,3530,1820,3860,3890,3740,3720,3620,3570,3600,3650,3580,3600,3580,3500,3440,3410,3280,3270,3310,3160,3330,3470
CRN,94000,153000,163000,158000,138000,113000,88000,70000,61000,75000,93000,104000,107000,121000,135000,144000,139000,134000,124000,133000,163000,170000,162000,171000,115000,121000,120000,74000,116000,111000,103000,200000,95000,94000,98000,98000,101000,102000,101000,100000,102000,101000,102000,104000,106000,107000,111000,112000,110000,116000,110000,105000
CPZ,198000,292000,296000,285000,249000,221000,173000,157000,137000,119000,128000,131000,134000,136000,140000,136000,131000,137000,127000,129000,159000,191000,187000,245000,165000,182000,207000,126000,196000,188000,176000,349000,164000,155000,154000,152000,153000,154000,153000,148000,146000,142000,138000,139000,142000,143000,149000,154000,155000,174000,172000,169000
RZ,6460,5720,6130,6600,7310,9240,11030,11590,12530,11300,9600,9590,9600,11750,12240,12100,12770,10630,12170,11520,9370,7990,7580,8890,12950,14120,14830,24700,16090,17270,20520,9840,16910,16870,16990,17470,20280,20430,20380,21010,20790,19780,18900,17770,16320,16510,15780,14330,14000,12000,11060,11310
CRZ,57000,64000,60000,55000,50000,40000,33000,31000,29000,32000,38000,38000,38000,31000,30000,30000,29000,34000,30000,32000,39000,46000,48000,41000,28000,26000,25000,15000,23000,21000,18000,37000,22000,22000,21000,21000,18000,18000,18000,17000,18000,18000,19000,21000,22000,22000,23000,25000,26000,30000,33000,32000
RMO,2530,1300,1190,1010,1150,1700,2210,3280,3750,3290,2650,1600,1560,1370,1230,1450,1500,1350,1380,1400,1140,1240,1610,1690,2510,2430,2500,4059,2610,2760,3000,1550,3200,3210,3120,3120,3110,3090,3090,3130,3070,3060,3000,2910,2830,2800,2700,2660,2680,2480,2560,2640
RMT,1240,910,850,840,960,1240,1560,1800,2060,2400,2410,2130,2070,1690,1410,1210,1260,1020,1010,860,690,460,450,450,670,660,630,980,630,670,700,350,760,790,820,870,860,870,870,890,920,940,970,980,950,930,870,820,810,770,800,850
RM,780,470,440,430,490,650,860,1040,1190,1300,1220,910,880,750,650,660,680,580,580,530,430,340,340,340,510,490,470,750,480,510,540,280,590,610,630,650,650,660,660,680,710,720,740,730,710,700,660,630,620,590,610,640
COP,151000,217000,223000,213000,188000,153000,121000,101000,90000,107000,131000,142000,145000,152000,165000,174000,168000,168000,154000,165000,202000,216000,210000,212000,143000,147000,145000,89000,139000,132000,121000,237000,117000,116000,119000,119000,119000,120000,119000,117000,120000,119000,121000,125000,128000,129000,134000,137000,136000,146000,143000,137000
CSP,-47000,-75000,-73000,-72000,-61000,-68000,-52000,-56000,-47000,-12000,3000,11000,11000,16000,25000,38000,37000,31000,27000,36000,43000,25000,23000,-33000,-22000,-35000,-62000,-37000,-57000,-56000,-55000,-112000,-47000,-39000,-35000,-33000,-34000,-34000,-34000,-31000,-26000,-23000,-17000,-14000,-14000,-14000,-15000,-17000,-19000,-28000,-29000,-32000
