,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600,9600
ShareAmountCurrent,3203797000,3203797000,3203797000,3203797000,3203797000,3203797000,3203797000,3203797000,3203797000,3203797000,3203797000,5831797000,5831797000,5831797000,5831797000,5831797000,5831797000,5831797000,5831797000,5831797000,8031797000,8031797000,8031797000,8197818000,8197818000,8197818000
WKCurrent,3860,4120,4430,4410,4460,4530,4440,4530,4580,5110,5430,7110,7470,7540,8310,9030,10380,10130,11870,14680,23460,22590,23910,23470,23260,20080
CWKCurrent,2490,2330,2170,2180,2150,2120,2160,2120,2100,1880,1770,1350,1290,1270,1160,1060,930,950,810,650,410,430,400,410,410,480
WKGrahamCurrent,710,660,1560,750,500,390,170,-240,-90,-2750,-3620,-1210,-210,-210,-1420,-1380,-800,-560,400,2410,14070,12280,15190,14750,14130,10850
CWKGrahamCurrent,13550,14550,6150,12870,19180,24570,55240,,,,,,,,,,,,24060,3990,680,780,630,650,680,880
PCurrent,21100,48370,58310,68050,73980,88410,90070,94320,100790,127620,166030,114240,148400,175700,195590,234620,251170,275000,337830,434100,350470,385760,399010,366560,368780,379220
CPCurrent,450,200,160,140,130,110,110,100,100,80,60,80,60,50,50,40,40,30,30,20,30,20,20,30,30,30
ZCurrent,-100,160,420,480,310,580,270,350,360,680,1090,710,1050,1020,1610,2170,3150,3350,4320,5210,3830,4010,4070,2880,1670,-350
CZCurrent,,59720,22600,19960,30690,16580,35570,27100,26450,14110,8770,13440,9180,9430,5960,4430,3040,2870,2220,1840,2510,2400,2360,3330,5740,
ZOCurrent,-70,360,670,830,710,980,720,710,630,1580,1790,1170,1770,1560,2170,2930,4059,4400,5880,7020,5190,5350,5550,4090,2060,150
CZOCurrent,,26530,14380,11550,13460,9770,13340,13590,15140,6090,5370,8180,5430,6140,4430,3280,2360,2180,1630,1370,1850,1790,1730,2350,4650,62160
EVCurrent,10470,9220,9600,12620,10050,9770,11250,12350,13120,17990,12360,13940,17150,15580,20740,16940,34130,35720,32520,44450,28010,25220,29470,24220,25780,39050
EVPCurrent,500,190,160,190,140,110,120,130,130,140,70,120,120,90,110,70,140,130,100,100,80,70,70,70,70,100
EVEBITCurrent,-147330,25470,14380,15190,14090,9950,15630,17490,20700,11400,6910,11890,9700,9970,9570,5790,8400,8119,5530,6330,5390,4710,5310,5920,12490,252840
EVEBITDACurrent,-886880,21890,13200,12680,10730,7660,10310,12320,13500,9210,6580,9690,8270,8170,7600,5090,7620,7320,5060,5800,4900,4270,4800,5170,9580,48370
DTAR,470,520,570,600,590,660,550,600,630,830,870,600,760,710,720,710,800,810,800,830,640,640,610,670,680,750
CG,870,1080,1470,1500,1440,1930,1240,1510,1730,5830,7910,1760,3930,2990,3150,2900,4800,5110,4720,5660,1890,1890,1620,2170,2210,3140
LDER,90,160,60,160,860,1440,230,320,310,430,510,370,600,570,460,470,480,540,380,440,130,120,60,120,160,170
PZAT,6450,4050,10100,3910,810,500,3280,2620,2550,3560,3230,2520,1510,1590,1810,1710,1500,1460,1820,1400,2120,2360,4090,2170,1670,1800
PELDR,1340,1380,1370,1400,2090,2670,1280,1250,1290,830,830,1040,1260,1240,1050,1090,1180,1250,1240,1500,2490,2190,2560,2680,2930,2520
TSF,580,560,410,460,760,830,550,520,480,200,170,470,310,370,330,360,250,250,240,210,380,380,400,350,360,280
ZKO,830,870,810,900,930,960,970,1040,1010,1100,1090,1110,1010,1010,1060,1060,1020,1010,990,970,760,780,720,780,780,850
OSF,1010,1040,1040,1080,1050,1050,1010,980,990,630,590,840,790,800,760,780,810,820,890,1020,1680,1520,1730,1850,1790,1670
NetDebt,9858370000,13027000000,20172000000,20577820000,20027976000,26358928000,13561172000,19425917000,24557527000,80456932000,132399160000,64872000000,157108000000,103779000000,134811000000,146332000000,260159000000,267109000000,305765000000,431407000000,316085000000,293663000000,287855000000,365505000000,379467000000,474374000000
NetDebtEBITDA,-260600,9660,8660,6450,6680,6450,3880,6050,7890,12860,22010,7730,12990,9320,8470,7540,9960,9390,8160,9660,6890,6200,5840,9520,17210,71690
DebtFin,2794160000,-1226000000,,9676680000,1439058000,551185000,5293836000,8815352000,11274786000,26869499000,8826473000,25332000000,44023000000,34891000000,64980000000,42828000000,143075000000,152353000000,133651000000,203260000000,147856000000,125418000000,159600000000,119814000000,132624000000,241391000000
DebtFinEBITDA,-73860,-910,,3030,480,130,1510,2740,3620,4300,1470,3020,3640,3140,4080,2210,5480,5350,3570,4550,3220,2650,3240,3120,6020,36480
SP1,1220,1190,1290,1200,1130,1090,1040,950,980,570,540,760,780,790,720,740,800,810,900,1050,2210,1960,2410,2390,2280,1960
SP2,1340,1380,1370,1400,2090,2670,1280,1250,1290,810,810,1040,1260,1240,1050,1090,1180,1250,1240,1500,2490,2190,2560,2680,2650,2300
CAR,90,100,,30,60,210,280,140,30,170,,130,90,230,110,50,60,120,70,110,110,110,80,90,60,90
QR,1160,970,690,1150,2420,3760,1150,1070,1130,740,420,920,850,960,730,780,690,630,720,590,730,840,650,770,750,620
CR,1350,1340,1290,1250,2660,4110,1270,1220,1210,980,980,1140,1170,1220,1110,1130,1090,1110,1100,1110,1410,1370,1450,1370,1370,1240
PP,90,100,30,40,60,220,290,140,40,170,40,140,100,260,140,50,120,130,70,120,120,150,80,130,110,90
RCLR,1070,860,650,1110,2220,3460,830,910,1030,510,380,780,740,690,580,720,570,500,650,470,610,680,560,630,690,550
KP,150,150,160,130,400,520,120,100,110,-20,-20,70,110,130,70,80,70,80,70,90,250,230,260,230,240,170
PKKO,-17900,50,40,-8850,-19340,-250,-30,-4030,-3980,1510,9670,10,30,20,10,10,20,20,20,20,50,40,40,50,50,40
RN,6590,14540,16300,15750,15040,14700,15200,17110,17550,17300,16120,16560,14020,14930,15160,15690,15010,14230,13850,14730,15220,15040,16090,14420,13400,13040
CRN,55000,25000,22000,23000,24000,25000,24000,21000,21000,21000,23000,22000,26000,24000,24000,23000,24000,26000,26000,25000,24000,24000,23000,25000,27000,28000
CPZ,52000,27000,28000,26000,23000,18000,15000,14000,17000,31000,44000,40000,44000,39000,35000,34000,39000,45000,44000,46000,44000,41000,40000,41000,42000,46000
RZ,,26310,23780,,,-18730,-72370,,,,,24320,24060,31020,44450,30930,24780,18580,19050,16530,15220,16010,14200,13160,13340,12100
CRZ,,14000,15000,,,-19000,-5000,,,,,15000,15000,12000,8000,12000,15000,20000,19000,22000,24000,23000,26000,28000,27000,30000
RMO,5190,9830,9760,10760,10770,11230,12380,13330,13800,10830,8220,8780,7720,8330,8940,9280,8310,7350,7450,7170,7060,7130,6960,6390,6200,5880
RMT,6690,14680,17460,19890,20400,23290,22490,22040,22610,22540,23300,20370,20200,20650,19550,21900,21680,22310,26490,32870,35450,36770,37760,35550,35960,37920
RM,2920,5890,6260,6980,7050,7580,7990,8300,8570,7320,6080,6140,5590,5930,6130,6520,6010,5530,5810,5890,5880,5970,5880,5420,5290,5090
COP,,39000,37000,,,6000,19000,,,,,37000,41000,36000,32000,35000,39000,46000,45000,47000,48000,47000,49000,53000,54000,58000
