,2007/Q4,2008/Q4,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300,9300
ShareAmountCurrent,26750000000,26750000000,26750000000,26750000000,26750000000,26750000000,26750000000,26750000000,26750000000,27124933000,27124933000,27641405000,27641405000,27641405000,27641405000,27641405000,27641405000,27802905000,27802905000,27802905000,27802905000,27882905000,27882905000,27882905000,28141905000,28141905000,28141905000,28141905000,28141905000,28141905000,28141905000,28141905000,28141905000,28141905000,28141905000,28141905000,28141905000
WKCurrent,40,80,110,120,130,110,120,150,180,180,230,270,220,260,320,380,240,270,340,410,300,360,320,420,370,500,530,690,450,620,660,920,650,850,830,980,640
CWKCurrent,222520,111710,83130,79660,69770,87010,77980,62870,51020,51850,40840,34750,42540,35990,29230,24650,38670,35070,27330,22590,31030,25610,28790,22010,25480,18790,17670,13500,20540,14980,14120,10150,14270,10990,11150,9510,14520
WKGrahamCurrent,40,70,100,100,120,90,100,120,160,160,200,250,200,230,280,340,200,230,300,370,260,320,270,370,320,450,460,620,380,530,560,810,540,720,680,810,450
CWKGrahamCurrent,232500,126670,96540,92340,78650,100940,89220,74830,58630,59350,45770,37960,46900,39660,33610,27590,47200,40910,30760,25120,36070,28880,35000,24860,29120,20770,20260,15100,24680,17570,16620,11480,17320,12980,13590,11550,20510
PCurrent,190,250,300,290,280,300,330,400,470,540,640,710,790,840,850,870,880,910,970,1050,1170,1270,1370,1490,1630,1830,2029,2240,2360,2490,2710,2930,3130,3410,3520,3620,3890
CPCurrent,49940,37640,30620,32320,33230,31280,28220,23540,19890,17370,14450,13050,11720,11060,10880,10660,10570,10260,9590,8860,7950,7320,6800,6250,5710,5080,4580,4150,3940,3740,3430,3170,2970,2730,2640,2570,2390
ZCurrent,70,60,30,20,30,30,50,70,90,110,150,160,190,190,200,220,200,240,250,270,310,300,250,280,310,370,470,530,510,550,570,670,720,740,710,600,610
CZCurrent,139370,159170,324890,486590,356880,303970,196220,130650,104520,81950,61940,56800,48600,48260,45600,42460,46190,39380,36830,35100,30000,31190,36500,32880,30000,25180,19650,17420,18410,16950,16300,13910,12990,12510,13020,15470,15270
ZOCurrent,70,60,40,20,20,30,50,90,110,130,190,210,240,250,240,250,240,270,290,310,340,340,320,330,380,460,560,650,650,660,710,770,760,870,760,680,780
CZOCurrent,134620,146080,241200,524360,533940,329000,169650,106200,82570,70280,49860,44410,38590,36900,38970,37540,38120,34510,31580,30400,27020,27330,29100,28430,24610,20230,16490,14330,14250,14180,13160,12030,12190,10700,12210,13600,11920
