,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
LDER,50,50,20,50,120,50,,40,40,30,,30,40,50,,70,80,100,,90,100,120,70,170,180,190,190,170,190,190,150,130,150,170,190,160,260,290,290,250,250,280,260,170,170,140
PZAT,7590,6360,25150,7820,4500,4180,,6040,5200,6260,,5470,4000,2910,,2180,2029,1890,,1970,2380,1890,2370,1860,1790,1660,1520,1650,1560,1510,1450,1710,1450,1310,1110,1170,1120,1070,1020,1020,980,1030,990,1270,1240,1560
PELDR,1840,2420,2550,2160,1740,3550,,2720,2720,2710,,2530,2810,2770,,2510,2720,1970,,1880,1590,1300,1580,1410,1310,1220,1240,1170,1060,1010,1400,1450,1400,1350,1430,1540,1390,1310,1310,1440,1470,1380,1490,1660,1650,1490
TSF,570,450,490,410,520,760,,620,700,680,,530,660,710,,610,730,620,,560,620,610,730,590,670,630,590,580,590,570,630,590,630,610,610,610,660,580,570,560,560,570,550,540,590,530
ZKO,680,680,650,780,780,340,,510,440,450,,610,480,420,,540,410,600,,680,710,850,590,910,930,1000,1000,1000,1130,1200,820,800,830,880,850,790,900,990,990,900,890,940,890,800,770,820
OSF,1180,1560,1440,1320,1110,1090,,1290,1080,1100,,1490,1200,1120,,1270,1040,1070,,1080,970,1000,880,1010,980,1000,1000,1000,1010,1020,1000,1030,1000,1010,1020,1040,1000,1000,1000,1040,1050,1020,1060,1130,1090,1070
NetDebt,883000000,2689000000,2535000000,6225000000,4797000000,-933000000,,5211000000,4094000000,4803000000,,9299000000,6000000000,3190000000,,6993000000,2908000000,8099000000,,13051000000,10889000000,15213000000,8441000000,21106000000,14399000000,17773000000,20997000000,21475000000,21620000000,22616000000,14635000000,20128000000,16867000000,21218000000,23256000000,20807000000,18302000000,23508000000,28631000000,24479000000,23757000000,25911000000,30490000000,27960000000,20885000000,23560000000
NetDebtEBITDA,1200,1900,1180,2000,1390,-290,,1170,1170,1840,,5450,2420,930,,1140,390,1000,,1760,1820,3770,3140,-206920,-12220,-77950,42250,8650,6130,5300,3460,5170,5390,6010,4870,3370,2890,3900,5800,4460,3310,3250,3120,2700,2020,2320
DebtFin,-99000000,-233000000,-1064000000,-1352000000,-744000000,-5298000000,,-4244000000,-2594000000,-716000000,,-2771000000,-282000000,-1603000000,,-1831000000,-780000000,991000000,,80000000,2373000000,2309000000,-1232000000,5118000000,5662000000,7177000000,7589000000,4983000000,5696000000,5037000000,-3142000000,1000000,876000000,1591000000,3990000000,-1194000000,16000000,2132000000,6446000000,-22000000,-590000000,5003000000,7069000000,2659000000,-744000000,3862000000
DebtFinEBITDA,-130,-170,-500,-430,-220,-1670,,-950,-740,-270,,-1620,-110,-470,,-300,-100,120,,10,400,570,-460,-50180,-4810,-31480,15270,2009,1620,1180,-740,0,280,450,830,-190,0,350,1310,0,-80,630,720,260,-70,380
SP1,1730,2290,2240,1690,1430,3210,,2520,2450,2450,,2450,2530,2640,,2340,2520,1790,,1590,1380,1160,1480,1110,1060,1000,1000,1000,890,850,1220,1290,1220,1150,1200,1320,1110,1010,1010,1150,1180,1080,1180,1410,1410,1300
SP2,1810,2390,2270,1780,1600,3390,,2620,2550,2530,,2530,2630,2770,,2510,2720,1970,,1730,1520,1300,1580,1300,1250,1190,1200,1170,1060,1010,1400,1450,1400,1350,1430,1540,1390,1310,1310,1440,1470,1380,1490,1660,1650,1490
CAR,280,100,310,200,220,1360,,480,420,160,,210,90,260,,190,230,50,,90,80,40,190,80,120,60,40,130,80,70,430,240,310,120,50,190,320,250,40,270,280,130,30,120,260,170
QR,1530,1510,1450,1160,1310,3240,,1980,2260,2130,,1640,2000,2570,,2050,2930,1930,,1510,1560,1360,1970,1210,1310,1220,1190,1200,1080,1010,1500,1460,1480,1400,1480,1550,1540,1320,1320,1390,1410,1360,1400,1470,1570,1400
