,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_sy,,-34.22,3.94,,,4.98,,6.03,,-1.19,-1.68,-2.40,,-6.01,-6.21,-5.55,,25.62,22.41,3.83,51.06,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,1.15,-8.61,,,18.49,18.33,,,44.46,-30.70,-45.32,65.70,0.64,314.60,27.46,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,-10.82,10.83,,,-11.27,10.02,,,-11.46,10.80,-8.54,40.02,-13.73,-6.02,33.05,,,,,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,9.67,32.39,,,-4.74,,-10.73,-10.07,0.02,3.44,16.50,25.65,35.12,37.47,11.24,33.12,12.63,15.34,34.90,-7.46,-11.53,-21.68,-21.54,-24.23,-14.48,-3.85,-31.11,-25.95,-20.58,-28.25,1.88,5.62,-21.44,-10.83,-15.80,-10.22,13.77,27.87,34.76
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,-0.95,-7.20,-3.30,0.43,-0.21,3.21,0.01,13.11,7.63,10.98,1.75,-8.47,28.80,-6.10,4.20,7.05,-11.65,-10.23,-7.76,7.25,-14.68,1.33,3.69,-23.15,-8.28,8.68,-6.32,9.11,-4.91,-19.17,6.33,3.03,1.39,2.43,19.51,8.59
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-8.82,-24.47,,,4.97,,12.04,11.21,-0.02,-3.33,-14.16,-20.41,-25.99,-27.26,-10.11,-24.90,-11.21,-13.31,-25.88,8.05,13.04,27.69,27.44,32.01,16.91,4.03,45.18,35.04,25.90,39.36,-1.85,-5.32,27.29,12.14,18.76,11.37,-12.09,-21.79,-25.79
CPCurrent_sy,,-10.59,-7.46,,,14.74,,21.15,8.21,-13.90,-9.69,-18.64,-20.23,-13.58,-27.12,-22.67,-20.60,-18.28,-8.75,-13.93,-6.78,14.66,6.19,9.56,10.92,-0.80,2.00,11.98,6.55,-1.77,1.66,-1.77,4.95,7.23,-3.12,23.72,10.23,-14.99,-9.34,-17.47
CPCurrent_qq,,,,,0.96,7.77,3.42,-0.44,0.22,-3.12,,-11.59,-7.08,-9.91,-1.72,9.26,-22.37,6.50,-4.04,-6.58,13.16,11.43,8.39,-6.76,17.22,-1.31,-3.55,30.13,9.03,-7.99,6.76,-8.35,5.17,23.70,-5.95,-2.94,-1.37,-2.35,-16.33,-7.91
CPCurrent_sq,,,,,5.20,8.84,5.57,0.22,-6.03,-13.40,,-9.71,-7.87,-6.17,-6.63,-4.19,-5.41,-3.43,4.27,-9.63,2.45,18.77,-3.43,-6.76,3.71,6.22,-0.70,2.36,-1.31,-2.08,2.76,-1.09,5.44,0.05,-7.16,26.32,-6.06,-22.84,-0.98,15.00
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
