,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000,377000
ShareAmountCurrent,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,6725000000,5580267000,5580267000,5580267000,5580267000,5580267000,5580267000,5580267000,5580267000
WKCurrent,39770,49420,56920,61200,0,84940,94690,99010,0,123110,137180,141460,0,162130,174630,177010,0,196130,202730,205140,0,209590,214110,213650,0,223460,228330,232620,233840,232730,285060,285260,286610,242060,243100,245550,245440,258720,262280,279000,301510,292090,285560,273610,333960,332630,348830,377200,367630,384440,412260,429060
CWKCurrent,9480,7630,6620,6160,,4440,3980,3810,,3060,2750,2670,,2330,2160,2130,,1920,1860,1840,,1800,1760,1760,,1690,1650,1620,1610,1620,1320,1320,1320,1560,1550,1540,1540,1460,1440,1350,1250,1290,1320,1380,1130,1130,1080,1000,1030,980,910,880
WKGrahamCurrent,10000,15040,18320,20180,0,34160,39270,34160,0,41430,47500,42740,0,42480,49640,45040,0,53050,59210,60620,0,55770,60890,61160,0,68210,73020,75290,75280,30770,25970,21080,21990,-23460,-19300,-20130,-21380,-12950,-6660,4230,20820,9940,7000,-5400,-7690,-20190,-4460,26710,17930,35790,37270,56190
CWKGrahamCurrent,37720,25070,20580,18680,,11030,9600,11040,,9100,7940,8820,,8880,7600,8370,,7110,6370,6220,,6760,6190,6160,,5530,5160,5010,5010,12250,14520,17890,17150,,,,,,,89030,18110,37940,53840,,,,,14120,21030,10530,10120,6710
PCurrent,128389,136320,147650,163910,183630,195060,214600,232920,238950,242430,243070,251630,261740,264760,263850,252610,245410,246520,239750,249650,252960,257589,275400,276670,286470,297830,295940,295230,286530,268950,306510,333660,373000,417330,409970,414950,417480,425060,436730,451620,460450,465680,455050,457710,549960,562860,594290,599480,620030,627410,641150,676690
CPCurrent,2940,2770,2550,2300,2050,1930,1760,1620,1580,1560,1550,1500,1440,1420,1430,1490,1540,1530,1570,1510,1490,1460,1370,1360,1320,1270,1270,1280,1320,1400,1230,1130,1010,900,920,910,900,890,860,830,820,810,830,820,690,670,630,630,610,600,590,560
ZCurrent,10230,12030,17590,25530,35020,40710,46760,52270,52480,52060,52630,53560,51610,51890,50230,45400,45390,42640,36960,36610,28200,21930,19920,12720,15410,18090,18160,19250,15110,9430,7300,5190,5560,10820,9440,11380,13660,13540,18440,22990,28940,32580,36090,44160,53970,58380,61450,50990,49890,45600,48650,51160
CZCurrent,36850,31330,21430,14770,10770,9260,8060,7210,7180,7240,7160,7040,7300,7260,7510,8300,8310,8840,10200,10300,13370,17190,18930,29640,24460,20840,20770,19580,24940,39970,51650,72660,67830,34850,39930,33130,27600,27840,20440,16400,13030,11570,10450,8540,6990,6460,6140,7390,7560,8270,7750,7370
