,2004/Q4,2005/Q4,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZOCurrent,580,620,1700,1900,2520,2590,2400,3130,2610,3100,2870,4030,4840,5130,5710,4760,4810,4130,4330,4190,1660,-120,-2730,-3180,-970,770,2350,2550,2320,1910,1840,2090,2580,2880,3240,3010,3380,3570,3410,3940,3170,3470,4610,4019,3580,2920,1970,2080,2960,3030,-1360
CZOCurrent,18410,17220,6230,5590,4210,4100,4430,3380,4070,3420,3700,2630,2190,2070,1860,2230,2200,2570,2450,2530,6400,,,,,13790,4510,4160,4570,5550,5750,5060,4110,3680,3270,3520,3140,2970,3110,2690,3340,3050,2300,2640,2960,3630,5390,5110,3590,3500,
EVCurrent,8760,8770,8480,10600,7830,5040,-970,10600,3690,8300,11170,10600,8090,8530,7150,10600,-420,3410,4420,10600,2009,12160,12350,10600,8090,12850,14320,13370,2620,11240,12830,10420,7800,11380,11370,15150,3970,7630,11680,9740,7200,11130,13220,12590,-540,8860,11470,14380,4920,15210,18160
EVPCurrent,670,390,290,290,190,100,-20,220,70,140,170,140,100,110,100,140,-10,40,50,120,20,130,120,100,70,110,130,120,20,110,120,110,80,110,100,130,30,60,90,70,50,80,100,100,0,60,80,100,30,100,120
EVEBITCurrent,15220,14250,4990,5590,3110,1950,-410,3380,1420,2680,3900,2630,1670,1660,1250,2230,-90,830,1020,2530,1210,-99580,-4520,-3330,-8340,16720,6100,5250,1130,5880,6950,4980,3020,3950,3510,5020,1180,2140,3420,2470,2270,3200,2870,3130,-150,3040,5830,6930,1670,5020,-13370
EVEBITDACurrent,13780,12370,4480,5510,2960,1860,-390,3110,1340,2520,3550,2400,1510,1490,1130,1980,-80,720,890,2200,870,23820,-5910,-4160,-22910,9360,4860,4270,900,4470,5250,3860,2450,3250,2930,4130,980,1780,2800,2050,1800,2550,2400,2560,-120,2390,4150,5010,1290,3830,-54310
DTAR,720,780,780,,730,780,500,,570,590,580,,660,570,570,,610,600,610,,600,650,720,,700,690,690,730,690,640,630,660,660,670,700,710,730,680,720,710,730,680,670,660,720,690,720,720,700,700,770
CG,2600,3570,3450,,2730,3580,1000,,1460,1570,1530,,2120,1480,1440,,1570,1490,1570,,1570,1970,2660,,2470,2280,2280,2790,2390,1880,1800,2020,2070,2080,2440,2570,2780,2260,2630,2600,2810,2270,2960,2750,2730,2270,2610,2680,2380,2460,3550
LDER,80,130,230,,160,170,60,,230,100,330,,450,420,360,,170,180,280,,230,270,290,,490,480,500,450,440,420,440,210,240,460,570,560,530,450,510,540,500,440,420,400,320,370,100,300,290,310,480
PZAT,3280,1270,460,,860,900,710,,640,1490,710,,540,540,570,,1080,900,600,,730,650,630,,330,340,310,330,390,400,360,720,670,350,330,320,360,430,370,330,710,800,390,390,590,480,1890,600,620,680,630
PELDR,2570,2850,2920,,3700,2650,9350,,6160,5400,3680,,3320,3690,3800,,3020,3230,3820,,2720,2570,2500,,2750,2800,2680,3130,2880,3020,2930,2700,2810,3320,3240,3340,2750,2700,2520,2720,3870,3300,3300,3350,5140,4230,3610,4660,4390,3530,3370
TSF,300,250,280,,310,260,530,,480,410,510,,450,550,540,,450,470,490,,470,420,350,,420,440,450,380,420,480,510,390,400,470,450,430,400,440,410,420,390,430,320,340,350,420,300,350,380,380,320
ZKO,820,860,860,,800,870,530,,630,650,690,,780,690,670,,720,700,700,,730,790,850,,840,830,840,840,820,770,770,780,780,780,820,820,860,820,860,850,870,850,880,870,810,810,840,820,800,840,920
OSF,1920,2140,2040,,2430,1960,4600,,2640,2650,1670,,1570,1610,1720,,1820,1870,2029,,1560,1530,1490,,1460,1460,1380,1650,1570,1570,1520,1660,1690,1720,1630,1680,1450,1480,1390,1430,1390,1290,2040,2080,1980,1610,1570,1830,1820,1490,1280
NetDebt,21331000000,49896000000,87462000000,,82058000000,105664000000,22435000000,,98074000000,174190000000,258104000000,,310888000000,209642000000,216998000000,,194132000000,232822000000,276627000000,,223047000000,392067000000,496193000000,,382453000000,429654000000,449247000000,540575000000,366092000000,362857000000,353883000000,407315000000,404154000000,421867000000,511834000000,573877000000,554416000000,479164000000,617778000000,591912000000,523525000000,526584000000,615986000000,571228000000,406431000000,403965000000,528826000000,548990000000,455528000000,554815000000,687507000000
NetDebtEBITDA,3330,6990,4580,,3080,3870,720,,2830,4210,6520,,4630,2920,2730,,2840,3900,4430,,7680,60930,-18830,,-85680,24760,12050,13620,9910,11370,11440,11910,9980,9480,10370,12310,10660,8740,11590,9760,10220,9400,8710,9050,7170,8510,14950,14940,9290,10920,-160480
DebtFin,-18500000000,-18394000000,-21345000000,,-27928000000,-55950000000,-145484000000,,-86844000000,-28942000000,7172000000,,-31566000000,-26076000000,-43320000000,,-138547000000,-90333000000,-77689000000,,-108261000000,19667000000,22067000000,,-31749000000,28464000000,47052000000,35088000000,-101166000000,8082000000,28235000000,-2227000000,-35615000000,9944000000,9853000000,57798000000,-84570000000,-37896000000,13811000000,-10989000000,-43505000000,6740000000,33550000000,25458000000,-142673000000,-22321000000,11132000000,48399000000,-72767000000,59001000000,96839000000
DebtFinEBITDA,-2890,-2580,-1120,,-1050,-2050,-4640,,-2510,-700,180,,-470,-360,-540,,-2029,-1510,-1240,,-3730,3060,-840,,7110,1640,1260,880,-2740,250,910,-70,-880,220,200,1240,-1630,-690,260,-180,-850,120,470,400,-2520,-470,310,1320,-1480,1160,-22600
SP1,2340,2500,2380,,3030,2260,8650,,4180,4059,2400,,2020,2340,2550,,2530,2670,2890,,2120,1930,1760,,1740,1770,1650,1970,1920,2029,1970,2130,2170,2210,1990,2040,1690,1810,1620,1680,1600,1530,2320,2390,2430,1980,1870,2230,2280,1780,1390
SP2,2540,2820,2920,,3510,2640,9190,,5150,4460,3190,,2930,3310,3480,,2970,3160,3700,,2600,2440,2270,,2600,2620,2470,2850,2760,2880,2840,2580,2690,3230,3120,3180,2580,2630,2430,2600,2390,2210,3300,3350,3220,2720,2060,2900,2930,2330,2060
CAR,490,300,210,,280,370,930,,540,290,240,,340,460,430,,520,390,340,,460,120,120,,370,200,170,170,430,250,240,210,270,270,240,180,340,310,210,280,340,290,180,210,430,290,220,220,330,190,130
QR,1230,1170,1240,,1300,1200,1980,,1180,1040,1100,,1080,1200,1300,,1250,1280,1380,,1250,1160,1040,,1190,1180,1140,1130,1220,1310,1370,1160,1180,1360,1320,1310,1210,1290,1200,1260,800,870,1310,1330,1060,1060,900,1030,1100,1020,930
CR,1260,1210,1250,,1320,1210,2009,,1880,1640,1840,,1630,2020,1980,,1570,1630,1730,,1590,1460,1320,,1490,1530,1530,1420,1500,1660,1720,1430,1450,1650,1590,1560,1440,1520,1440,1490,1400,1470,1330,1350,1390,1480,1240,1370,1420,1370,1260
PP,540,310,230,,280,380,930,,770,480,240,,340,470,440,,530,400,360,,470,140,130,,370,200,170,200,440,250,240,210,270,270,240,190,340,320,220,290,400,300,190,220,460,360,230,270,350,210,150
RCLR,690,850,1010,,890,780,1010,,500,690,940,,750,740,830,,620,780,940,,720,970,900,,770,950,940,920,720,960,1010,860,830,770,980,1040,820,710,920,930,510,650,910,1030,650,770,680,750,670,700,650
KP,180,160,180,,220,160,470,,420,350,380,,330,420,420,,310,330,370,,300,260,210,,270,290,280,260,280,330,340,260,260,340,320,310,260,290,250,270,240,260,190,200,250,270,160,240,260,230,170
PKKO,90,70,100,,90,70,320,,340,270,270,,230,270,300,,220,230,240,,190,160,130,,140,150,160,180,180,180,190,170,190,230,220,210,180,180,170,190,160,160,130,140,140,140,100,140,150,120,90
RN,4440,3850,3810,4750,4810,4580,4430,4720,4890,4680,4570,5180,4540,4440,4500,4470,4980,4490,4330,4470,4240,3950,3610,3920,3960,3830,3960,3460,3470,3490,3480,3570,3370,3620,3570,3530,3410,3450,3380,3480,3770,3840,3700,3450,3660,3590,3870,4400,4290,4390,4610
CRN,82000,95000,96000,77000,76000,80000,82000,77000,75000,78000,80000,70000,80000,82000,81000,82000,73000,81000,84000,82000,86000,92000,101000,93000,92000,95000,92000,105000,105000,105000,105000,102000,108000,101000,102000,103000,107000,106000,108000,105000,97000,95000,99000,106000,100000,102000,94000,83000,85000,83000,79000
CPZ,119000,111000,96000,77000,77000,91000,92000,86000,102000,111000,112000,99000,102000,102000,105000,105000,102000,110000,108000,105000,106000,105000,116000,107000,105000,109000,105000,118000,120000,119000,118000,117000,120000,117000,118000,113000,118000,120000,124000,123000,126000,126000,131000,136000,122000,120000,120000,117000,119000,119000,114000
RZ,122820,74340,118570,151120,276970,447090,501680,525130,15000,8300,6010,6750,6820,5900,5620,5600,6440,7670,9580,9960,10180,11310,11960,13100,13770,12550,11500,10830,10670,10680,10830,10550,10340,10980,11630,12790,13200,13730,13620,13760,13270,13250,16960,23180,47690,249880,340400,399770,256940,157640,133990
CRZ,3000,5000,3000,2000,1000,1000,1000,1000,24000,44000,61000,54000,54000,62000,65000,65000,57000,48000,38000,37000,36000,32000,31000,28000,27000,29000,32000,34000,34000,34000,34000,35000,35000,33000,31000,29000,28000,27000,27000,27000,28000,28000,22000,16000,8000,1000,1000,1000,1000,2000,3000
RMO,2440,2710,2930,3650,3580,3200,2570,2740,2060,1810,1840,2080,2110,2000,1890,1880,1970,1940,2060,2120,2090,2190,2180,2380,2450,2320,2300,2080,2050,2029,2000,2000,1970,2009,2020,2070,2000,2000,1990,2009,1980,2000,1960,1940,2160,2200,2240,2290,2240,2280,2360
RMT,18110,28180,31800,39640,38480,31030,31270,33320,22990,19710,13990,15860,13340,10530,10060,10010,10510,10820,12130,12510,11450,11340,10870,11820,12620,11980,11100,10890,10950,10910,10870,10350,10260,10940,11680,12450,11780,11310,10730,10330,10030,9620,10340,11120,13840,15810,14850,15110,14170,14130,14290
RM,2150,2470,2680,3340,3280,2900,2370,2530,1890,1660,1620,1840,1820,1680,1590,1580,1660,1650,1760,1820,1770,1840,1820,1980,2050,1940,1910,1750,1720,1710,1690,1670,1650,1700,1720,1780,1710,1700,1680,1680,1660,1650,1590,1540,1730,1790,1870,1990,1940,1970,2029
COP,85000,100000,99000,79000,77000,81000,83000,78000,99000,122000,141000,124000,134000,144000,146000,147000,130000,129000,122000,119000,122000,124000,132000,121000,119000,124000,124000,139000,139000,139000,139000,137000,143000,134000,133000,132000,135000,133000,135000,132000,125000,123000,121000,122000,108000,103000,95000,84000,86000,85000,82000
CSP,-34000,-11000,3000,2000,0,-10000,-9000,-8000,-3000,11000,29000,25000,32000,42000,41000,42000,28000,19000,14000,14000,16000,19000,16000,14000,14000,15000,19000,21000,19000,20000,21000,20000,23000,17000,15000,19000,17000,13000,11000,9000,-1000,-3000,-10000,-14000,-14000,-17000,-25000,-33000,-33000,-34000,-32000
