,2004/Q4,2005/Q4,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600,10600
ShareAmountCurrent,10071020000,10071020000,10071020000,10071020000,10071020000,10071020000,12571030000,12571030000,12571030000,12571030000,12571030000,12571030000,12571030000,12571030000,12571030000,12571030000,12571030000,12571030000,12571030000,12602711000,12602711000,12602711000,12602711000,12644169000,12644169000,12644169000,12644169000,12677956000,12677956000,12677956000,12677956000,12677956000,12714546000,12714546000,12714546000,12714546000,12761925000,12761925000,12761925000,12761925000,12811859000,12811859000,12811859000,12811859000,12811859000,12811859000,12811859000,12811859000,12811859000,12811859000,12811859000
WKCurrent,1690,1970,3190,0,4080,4610,13780,0,15310,15920,16480,0,16020,17010,17880,0,18740,19100,19950,0,18980,17910,16720,0,17440,17620,18040,18300,18750,18840,19040,19620,20070,20190,20160,20710,21500,22220,22350,23170,21760,23760,19400,20050,19640,19900,20390,20940,21530,21490,17410
CWKCurrent,6260,5380,3320,,2600,2300,770,,690,670,640,,660,620,590,,570,560,530,,560,590,630,,610,600,590,580,570,560,560,540,530,530,530,510,490,480,470,460,490,450,550,530,540,530,520,510,490,490,610
WKGrahamCurrent,970,1180,1850,0,2730,2570,12190,0,13040,13310,11120,0,9670,11340,12490,0,11570,12180,13300,0,10790,9370,7970,0,8210,8460,7910,9860,10070,10480,10290,11330,11740,12000,10990,11540,9820,10980,9610,10520,9210,9780,7970,8340,12280,10550,10190,12230,12860,10200,5490
CWKGrahamCurrent,10930,8970,5720,,3880,4120,870,,810,800,950,,1100,930,850,,920,870,800,,980,1130,1330,,1290,1250,1340,1070,1050,1010,1030,940,900,880,960,920,1080,970,1100,1010,1150,1080,1330,1270,860,1000,1040,870,820,1040,1930
PCurrent,13110,22230,29050,36210,42320,48880,44850,47790,52750,60280,67400,76380,83220,77480,74490,74090,75940,77690,86730,89250,87590,94870,100310,108780,120830,117540,114420,109190,109200,107000,103090,98060,95680,101750,110080,120280,123640,127760,131220,135890,133890,136370,132520,127630,139700,137830,138770,145050,140920,147810,155240
CPCurrent,810,480,360,290,250,220,240,220,200,180,160,140,130,140,140,140,140,140,120,120,120,110,110,100,90,90,90,100,100,100,100,110,110,100,100,90,90,80,80,80,80,80,80,80,80,80,80,70,80,70,70
ZCurrent,350,330,1260,1490,2009,2080,1830,2530,2530,2800,2590,3360,740,1080,1340,600,3310,2690,2980,2790,960,-530,-2830,-3210,-1610,-230,1290,1290,1360,1130,920,1200,1350,1430,1800,1750,2070,2380,2640,2940,2170,2330,120,-170,140,-400,1550,1610,1760,2080,-1010
CZCurrent,30160,31790,8420,7110,5280,5090,5800,4200,4190,3780,4090,3150,14360,9780,7890,17700,3200,3940,3550,3800,11050,,,,,,8250,8210,7800,9350,11560,8860,7830,7420,5880,6060,5120,4460,4010,3600,4880,4540,85410,,75830,,6830,6590,6020,5090,
