,2013/Q4,2014/Q4,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,
ShareAmountCurrent,4734820000,4734820000,4734820000,4734820000,4734820000,4734820000,4734820000,4734820000,4734820000,4734820000,4734820000,4734820000,4734820000
ShareAmountCurrent_yy,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,
WKCurrent_yy,,29.83,17.19,,,,40.00,62.68,41.44,46.46,44.87,68.42,59.01
WKCurrent_sy,,,,,,,,,,,,,
WKCurrent_qq,,,,-2.79,17.38,9.94,11.60,12.97,2.06,13.84,10.38,31.33,-3.64
WKCurrent_sq,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,
CWKCurrent_yy,,-22.98,-14.67,,,,-28.57,-38.53,-29.30,-31.72,-30.97,-40.62,-37.11
CWKCurrent_sy,,-8.46,-18.71,,,,-5.13,3.30,-2.32,5.45,12.17,11.04,43.50
CWKCurrent_qq,,,,2.87,-14.81,-9.04,-10.39,-11.48,-2.01,-12.16,-9.41,-23.86,3.78
CWKCurrent_sq,,,,-0.11,11.11,-5.79,-9.27,8.77,5.06,1.71,-3.49,7.67,35.78
WKGrahamCurrent,,,,,,,,,,,,,
WKGrahamCurrent_yy,,-40.45,-12.38,,,,-28.41,-0.55,-5.46,-1.23,3.11,3.97,-9.22
WKGrahamCurrent_sy,,,,,,,,,,,,,
WKGrahamCurrent_qq,,,,-18.59,-3.14,-5.05,0.06,7.14,-8.17,-0.84,4.34,7.97,-23.03
WKGrahamCurrent_sq,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,
