,2015/Q4,2016/Q4,2017/Q4
QuoteCurrent,15660,15660,15660
ShareAmountCurrent,10680000000,10680000000,14180000000
WKCurrent,1660,3020,6690
CWKCurrent,9460,5180,2340
WKGrahamCurrent,-4380,-6620,-5710
CWKGrahamCurrent,,,
PCurrent,3960,6940,7800
CPCurrent,3960,2260,2009
ZCurrent,620,400,480
CZCurrent,25380,39290,32710
ZOCurrent,1040,1300,1180
CZOCurrent,15030,12070,13240
EVCurrent,19450,21940,19230
EVPCurrent,4920,3160,2470
EVEBITCurrent,18660,16920,16260
EVEBITDACurrent,14090,12020,10890
DTAR,750,700,520
CG,3440,3220,1190
LDER,2280,1670,710
PZAT,470,400,360
PELDR,930,800,940
TSF,720,580,750
ZKO,4360,3130,3540
OSF,1160,890,1800
NetDebt,58777000000,100602000000,97070000000
NetDebtEBITDA,3990,5160,3880
DebtFin,40449000000,67053000000,50639000000
DebtFinEBITDA,2740,3440,2020
SP1,270,280,510
SP2,870,760,870
CAR,100,70,350
QR,480,560,450
CR,680,660,710
PP,100,70,350
RCLR,520,560,280
KP,-80,-110,-60
PKKO,1800,2990,1600
RN,4010,2650,8420
CRN,91000,138000,43000
CPZ,177000,247000,144000
RZ,,,
CRZ,,,
RMO,3030,2230,3320
RMT,630,650,640
RM,520,500,540
COP,,,
CSP,,,
