,2004/Q4,2005/Q4,2006/Q4,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910,910
ShareAmountCurrent,14400000000,14400000000,14400000000,14400000000,14400000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000,18000000000
WKCurrent,2880,2950,3800,3390,0,6260,6370,6270,0,6610,6990,7230,0,6620,6270,6190,0,6130,6150,6270,0,6720,6880,6870,7040,7190,7360,7360,7550,7670,7840,7390,7650,7760,7760,7350,7570,7790,7770,7240,7080,6250,5790,4960,4470,3050,2780,2690
CWKCurrent,320,310,240,270,,150,140,150,,140,130,130,,140,150,150,,150,150,150,,140,130,130,130,130,120,120,120,120,120,120,120,120,120,120,120,120,120,130,130,150,160,180,200,300,330,340
WKGrahamCurrent,690,580,1230,190,0,3090,3180,3090,0,2550,2910,3140,0,2130,1690,1190,0,1120,1200,1400,0,1870,2160,1310,1530,1670,1790,1790,2120,2170,2540,2190,2580,2660,2240,1630,820,880,620,190,20,-800,-1400,1280,900,320,-420,-590
CWKGrahamCurrent,1330,1570,740,4810,,290,290,290,,360,310,290,,430,540,770,,810,760,650,,490,420,690,590,540,510,510,430,420,360,420,350,340,410,560,1110,1030,1470,4690,60220,,,710,1010,2880,,
PCurrent,12260,7820,10390,13180,14270,9330,8670,7360,6860,8910,11280,13150,13570,11410,9140,8130,7990,10330,11570,12880,14450,13730,15350,16309,17800,18570,17700,18780,19090,19430,21010,22060,24830,29840,34690,40770,43160,46770,44320,40420,39330,39710,43620,43180,41890,38850,29470,22920
CPCurrent,70,120,90,70,60,100,100,120,130,100,80,70,70,80,100,110,110,90,80,70,60,70,60,60,50,50,50,50,50,50,40,40,40,30,30,20,20,20,20,20,20,20,20,20,20,20,30,40
ZCurrent,690,330,600,1120,1260,850,450,90,-50,310,610,1040,870,120,-670,-1040,-1040,-480,-100,80,480,590,730,860,720,730,740,790,810,770,790,640,710,720,510,600,560,660,640,390,10,-1050,-1480,-2280,-2620,-3200,-3000,-2270
CZCurrent,1320,2760,1510,810,720,1080,2020,9790,,2960,1480,880,1050,7740,,,,,,11640,1900,1550,1240,1060,1270,1240,1230,1160,1130,1190,1150,1420,1280,1270,1770,1510,1630,1370,1410,2350,70910,,,,,,,
ZOCurrent,1430,510,1050,1700,1910,1220,980,670,460,1020,1350,1660,1530,490,-450,-970,-1090,-550,-130,50,550,770,1000,1140,1150,1210,1040,1040,990,930,1040,1000,1090,1200,1050,1270,1340,1450,1490,1160,630,-270,-550,-1120,-1450,-1650,-1570,-1160
CZOCurrent,640,1780,860,540,480,750,930,1360,1970,890,670,550,590,1870,,,,,,17060,1660,1180,910,800,790,750,870,870,920,980,870,910,840,760,870,710,680,630,610,780,1440,,,,,,,
EVCurrent,390,770,1210,2290,910,-1720,-870,-1230,910,-1060,-350,-1430,910,-550,120,490,910,-280,80,440,910,0,-480,320,-730,120,-1340,-3280,-720,-4680,-5180,-3080,-2510,-2330,-1810,1500,3000,5040,5500,5730,5550,7320,7120,860,1570,1020,1420,1360
EVPCurrent,30,100,120,170,60,-180,-100,-170,130,-120,-30,-110,70,-50,10,60,110,-30,10,30,60,0,-30,20,-40,10,-80,-170,-40,-240,-250,-140,-100,-80,-50,40,70,110,120,140,140,180,160,20,40,30,50,60
EVEBITCurrent,270,1510,1150,1350,480,-1410,-900,-1840,1970,-1030,-260,-860,590,-1140,-260,-500,-840,510,-640,8300,1660,0,-480,280,-630,100,-1290,-3140,-720,-5050,-4960,-3080,-2300,-1950,-1720,1180,2230,3490,3690,4940,8780,-27560,-13060,-770,-1090,-620,-910,-1170
EVEBITDACurrent,230,1070,950,1170,410,-1170,-710,-1310,1240,-800,-210,-700,470,-610,-4920,-910,-1470,2770,250,850,900,0,-330,200,-460,70,-920,-2260,-510,-3540,-3640,-2240,-1740,-1520,-1300,940,1780,2800,2940,3680,5320,50160,-51770,-1210,-1470,-790,-1140,-1570
DTAR,590,490,610,650,,360,300,280,,390,380,330,,310,330,370,,440,450,450,,520,420,450,450,450,480,550,440,530,490,510,520,480,490,590,580,630,590,620,610,690,690,530,540,640,590,600
CG,1450,950,1570,1840,,560,430,390,,670,640,500,,460,500,610,,840,860,840,,1130,750,860,850,870,960,1270,840,1180,1030,1110,1180,1020,1060,1580,1600,1890,1590,1820,1750,2580,2540,1480,1590,2310,1460,1560
LDER,110,120,300,370,,130,130,80,,110,100,90,,100,160,170,,170,170,160,,150,150,150,140,150,150,150,140,140,140,150,140,140,140,200,390,390,430,460,170,200,210,210,230,330,330,340
