,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_yy,39.11,-83.50,-63.32,,,,197.14,161.89,,,76.40,42.37,,,-17.39,-2.54,-7.77,,69.35,46.20,26.60,,-10.99,-3.00,7.23,,-18.34,-24.75,7.88,,37.11,51.19,-5.92,-10.47,-36.98,-35.99,-24.65,15.16,49.93,60.37,90.35,6.78,-14.22,-29.95,-27.91,-16.06,-6.10,11.50,283.91
CWKGrahamCurrent_sy,39.11,-57.55,58.46,,,,-49.65,-21.27,,,5.76,19.63,,,56.53,66.68,66.37,,36.08,18.37,13.62,,-11.21,12.01,-8.97,,61.22,3.62,85.28,,1.68,20.05,-24.76,-47.64,-23.00,-21.77,-7.49,59.98,37.82,37.70,36.04,8.02,-8.84,8.63,-18.85,7.45,1.67,-20.17,6.12
CWKGrahamCurrent_qq,,,,19.47,,,,5.30,,,,-15.02,15.04,,,0.26,8.87,,,-13.45,-5.73,,,-5.68,4.22,,,-13.08,49.40,-10.89,18.49,-4.15,-7.03,-15.20,-16.60,-2.64,9.42,29.60,8.59,4.14,29.88,-27.30,-12.76,-14.96,33.67,-15.36,-2.42,0.99,360.25
CWKGrahamCurrent_sq,,,,-44.11,,,,-12.60,,,,-1.15,12.22,,,5.27,12.01,,,-8.43,7.51,,,15.52,-12.63,,,-25.75,56.23,0.21,-12.54,-12.33,-2.08,-30.26,28.62,-10.94,15.79,20.61,10.81,-11.02,14.40,-4.24,-6.48,6.03,-14.54,26.81,-11.51,-16.74,13.59
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,6.67,39.28,-44.49,,,,79.20,104.29,80.80,44.94,29.36,16.09,12.47,-5.26,-3.19,-11.40,-11.46,3.77,-15.66,-7.91,-1.61,-2.83,19.48,18.96,27.84,41.19,13.45,20.50,3.27,-21.31,-7.58,-13.36,-11.42,19.54,38.15,34.04,49.58,25.58,-10.76,-8.02,-15.29,-5.88,24.44,34.41,30.17,11.18,-0.59,-10.03,-4.51
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,-0.46,13.88,31.60,20.14,13.47,0.78,5.50,7.22,1.83,-2.36,-11.13,9.56,-6.81,-2.43,4.17,-10.96,1.76,4.25,2.88,9.49,1.31,12.03,13.62,-12.03,7.61,-3.99,-13.43,3.32,0.89,-1.84,16.83,19.40,-2.11,9.53,-1.91,-15.15,0.89,0.88,8.98,12.20,8.97,-2.30,-6.92,0.31,-1.37,3.69
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
