,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
SP1,2380,1670,1370,,,1950,2220,2140,,2500,4030,3390,,2960,2870,2940,,3010,2800,2270,,2400,2840,3400,,3230,3210,2890,3200,3470,3590,4470,4220,3690,3450,3170,3120,3060,3010,2800,2860,2770,2660,2600,2640,2630,2690,2690,3170,3270,3490,3250
SP2,2400,1750,1430,,,2009,2280,2220,,2560,4120,3470,,3030,2950,3030,,3060,2830,2300,,2420,2880,3480,,3360,3320,3020,3260,3520,3650,4530,4320,3760,3620,3260,3170,3120,3070,2870,2920,2830,2720,2680,2720,2700,2770,2770,3260,3330,3630,3390
CAR,1510,770,490,,,780,940,530,,780,2009,1130,,2740,2410,1280,,450,1100,770,,1500,1400,1330,,930,930,900,660,600,430,880,600,890,760,1030,1140,1260,870,840,810,1090,3190,2560,1510,1190,1050,570,790,470,340,550
QR,3680,1590,1340,,,1530,1810,1600,,1530,4250,2870,,4059,4130,3650,,2370,2990,2690,,2520,2890,3000,,3050,2990,3170,3050,2900,3240,3130,2430,2560,2460,2700,2760,2540,2330,2320,2380,2880,6930,6640,4010,2410,1940,1860,2100,1780,1880,2000
CR,3740,1610,1360,,,1550,1830,1620,,1530,4260,2870,,4059,4130,3650,,2370,2990,2760,,2550,2910,3020,,3060,2990,3180,3060,2900,3240,3130,2440,2570,2480,2710,2780,2550,2340,2330,2390,2880,6930,6640,4010,2410,1940,1860,2100,1780,1880,2000
PP,1510,770,490,,,800,960,540,,780,2040,1130,,2760,2410,1580,,550,1220,960,,1520,1950,1830,,2110,2029,2100,1770,1650,1630,1990,1370,1710,1680,1910,2009,2000,1520,1460,1450,1970,6140,5900,3260,2000,1580,1040,1280,790,760,1050
RCLR,2170,820,850,,,730,850,1060,,750,2210,1730,,1310,1720,1960,,1810,1770,1790,,1000,930,1160,,950,960,1080,1280,1250,1610,1140,1060,840,780,780,750,530,810,850,930,910,780,740,740,400,360,810,830,990,1130,950
KP,480,250,170,,,260,340,290,,280,620,520,,550,550,540,,450,490,430,,370,490,530,,530,520,510,490,520,550,570,480,500,490,490,490,470,450,440,450,480,570,570,520,440,380,370,430,370,400,410
PKKO,720,350,230,,,420,490,460,,500,850,760,,850,1060,990,,500,430,330,,410,630,930,,910,900,870,880,940,970,1310,1110,1240,1470,1260,1160,1140,1230,1180,1240,1420,1620,2480,2990,2920,2140,1870,2070,1670,1840,1680
RN,2880,2350,2370,2610,2960,2900,2940,2480,2430,2380,2150,1900,1690,1630,1760,2440,3200,2760,2660,2720,2260,2520,2880,2830,3040,2830,2630,2710,2380,2080,1820,1600,1370,1360,1390,1450,1720,1780,1800,1810,1610,1220,1190,910,800,1540,2009,1430,1380,1020,800,760
CRN,127000,156000,154000,140000,123000,126000,124000,147000,150000,153000,170000,192000,216000,224000,207000,149000,114000,132000,137000,134000,161000,145000,127000,129000,120000,129000,139000,135000,153000,175000,200000,229000,266000,269000,264000,252000,213000,205000,203000,202000,226000,298000,305000,399000,454000,237000,182000,255000,264000,357000,458000,482000
CPZ,58000,110000,145000,168000,147000,160000,158000,167000,170000,176000,157000,152000,172000,126000,128000,89000,68000,72000,75000,75000,90000,93000,100000,125000,116000,127000,136000,136000,145000,154000,154000,175000,214000,235000,276000,289000,269000,284000,281000,272000,289000,342000,344000,449000,550000,411000,396000,446000,417000,458000,477000,488000
RZ,72750,74320,82820,76820,87500,89040,88820,89110,86610,132970,231960,531310,493070,404890,323280,2759250,3775630,10671500,17743500,817500,681760,221960,135190,106050,113000,160150,222120,414740,374780,373540,414000,361250,287010,156620,104420,87140,77900,78840,78320,78380,78070,83070,102750,135410,1115600,1230860,1998000,4523000,,,,
CRZ,5000,5000,4000,5000,4000,4000,4000,4000,4000,3000,2000,1000,1000,1000,1000,0,0,0,0,0,1000,2000,3000,3000,3000,2000,2000,1000,1000,1000,1000,1000,1000,2000,3000,4000,5000,5000,5000,5000,5000,4000,4000,3000,0,0,0,0,,,,
RMO,1680,1540,1520,1480,1680,1560,1380,1320,1300,1270,1180,1020,900,810,820,1050,1370,1640,1700,1840,1530,1410,1320,1030,1110,960,890,870,820,780,770,680,590,550,500,500,520,490,500,540,530,440,380,240,160,230,330,370,430,420,400,390
RMT,3210,2840,2690,2670,3030,3470,3980,3960,3890,4470,4640,4230,3760,2870,2510,2900,3800,5030,5250,5070,4220,3180,2990,2870,3090,3240,3200,2920,2720,2650,2640,2700,2630,2570,2420,2200,2070,1840,1770,1850,1810,1420,1080,600,350,520,900,1180,1590,1800,1940,1950
RM,1100,1000,970,950,1080,1070,1030,990,980,990,940,820,730,630,620,770,1010,1230,1290,1350,1120,950,900,740,800,740,690,670,620,600,590,530,480,450,410,400,420,390,390,420,410,330,280,170,110,160,240,280,340,340,330,320
COP,132000,161000,158000,145000,127000,130000,128000,151000,154000,156000,172000,193000,217000,225000,208000,,,,,,162000,147000,130000,132000,123000,131000,141000,136000,154000,176000,201000,230000,267000,271000,267000,256000,218000,210000,208000,207000,231000,302000,309000,402000,,,,,,,,
CSP,74000,51000,13000,-23000,-20000,-30000,-30000,-16000,-16000,-20000,15000,41000,45000,99000,80000,,,,,,72000,54000,30000,7000,7000,4000,5000,0,9000,22000,47000,55000,53000,36000,-9000,-33000,-51000,-74000,-73000,-65000,-58000,-40000,-35000,-47000,,,,,,,,
