,2010/Q4,2011/Q4,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300,16300
ShareAmountCurrent,45000000000,45000000000,45000000000,45000000000,45000000000,45000000000,45000000000,45000000000,45000001000,45000001000,45000001000,45000001000,45000001000,45000001000,45000001000,45000001000,45000001000,45000001000,45000001000,45000001000,45000001000,45000001000
WKCurrent,5260,5440,6790,7400,7490,7750,8570,8800,8970,7950,8000,9260,8920,8670,8660,9010,9230,8300,8340,8970,8910,9240
CWKCurrent,3100,2990,2400,2200,2180,2100,1900,1850,1820,2050,2040,1760,1830,1880,1880,1810,1770,1960,1950,1820,1830,1760
WKGrahamCurrent,110,-290,380,310,-1170,-1790,-940,-1040,-980,-2330,-2400,-1370,-1490,-1860,-1760,-1370,-1080,-2000,-1970,-1090,-2080,-1660
CWKGrahamCurrent,148000,,43240,52270,,,,,,,,,,,,,,,,,,
PCurrent,7860,9320,14560,15120,15410,17450,21530,20010,21580,20440,17190,23010,20100,18740,17580,12420,14440,13830,14940,17550,16540,19610
CPCurrent,2070,1750,1120,1080,1060,930,760,810,760,800,950,710,810,870,930,1310,1130,1180,1090,930,990,830
ZCurrent,120,200,1230,810,850,1280,2080,1740,1820,1100,330,1440,930,1200,1140,250,810,330,380,660,380,970
CZCurrent,132230,81240,13210,20070,19110,12730,7850,9360,8930,14840,49210,11310,17490,13590,14290,65530,20160,50040,42660,24660,42530,16800
ZOCurrent,-10,440,1990,1460,1490,2080,3000,2550,2590,1630,670,1980,1490,1540,1380,420,1000,640,800,1010,700,1490
CZOCurrent,,37430,8189,11140,10950,7850,5440,6390,6300,9970,24220,8240,10950,10570,11820,38610,16350,25420,20440,16120,23420,10970
EVCurrent,17390,19060,21190,23810,25510,24710,23760,21010,23130,23270,25720,20870,21780,21380,21380,21640,20710,22580,22800,22300,23400,23660
EVPCurrent,2210,2050,1450,1570,1660,1420,1100,1050,1070,1140,1500,910,1080,1140,1220,1740,1430,1630,1530,1270,1410,1210
EVEBITCurrent,-1811940,43780,10640,16270,17130,11900,7920,8240,8940,14230,38220,10550,14630,13860,15510,51260,20780,35220,28580,22050,33620,15920
EVEBITDACurrent,76110,27150,9220,12640,13200,9700,6830,6920,7520,10930,21850,8320,10630,10080,10700,20010,12350,16530,14820,12640,16010,10420
DTAR,460,550,590,630,660,650,620,560,600,660,660,550,560,560,560,530,520,610,630,600,600,590
CG,880,1250,1470,1700,1930,1900,1650,1290,1480,1950,1940,1210,1260,1270,1260,1140,1060,1550,1710,1480,1520,1430
LDER,190,370,520,250,330,400,340,330,340,400,400,350,350,360,360,330,310,540,500,290,400,550
PZAT,4480,2500,1560,3250,2380,2040,2130,2260,2200,2170,2160,2240,2250,2270,2280,2450,2530,1610,1760,2730,2340,1630
PELDR,1180,1290,1610,1300,1160,1140,1210,1190,1210,1080,1080,1170,1160,1120,1130,1150,1170,1240,1220,1180,1140,1320
TSF,620,600,610,460,450,480,510,580,540,480,480,610,600,600,600,620,630,610,550,520,560,640
ZKO,980,1050,960,980,1090,1140,1070,1100,1080,1180,1180,1140,1150,1200,1190,1150,1120,1180,1160,1090,1180,1140
OSF,960,970,1010,1010,940,920,960,980,970,910,910,990,990,990,990,1000,1010,950,940,990,960,970
NetDebt,171713000000,300101000000,445414000000,552016000000,644960000000,647505000000,632378000000,505700000000,586483000000,646743000000,687533000000,450041000000,468188000000,476152000000,472363000000,459069000000,433402000000,569217000000,634058000000,584369000000,600404000000,580440000000
NetDebtEBITDA,16700,9500,4310,6510,7420,5650,4040,3700,4240,6750,12980,3990,5080,4990,5250,9430,5740,9260,9160,7360,9120,5680
DebtFin,49256000000,124320000000,219913000000,337885000000,414271000000,378431000000,335810000000,211958000000,307172000000,313722000000,423925000000,205842000000,246730000000,228417000000,228686000000,240382000000,198499000000,282643000000,292290000000,270176000000,319686000000,331115000000
DebtFinEBITDA,4790,3930,2130,3990,4760,3300,2140,1550,2220,3270,8000,1820,2680,2390,2540,4940,2630,4600,4220,3400,4860,3240
SP1,980,930,1050,1040,860,810,900,890,900,770,770,870,860,820,830,870,900,810,810,910,810,850
SP2,1170,1270,1580,1290,1150,1130,1210,1190,1210,1080,1080,1170,1160,1120,1130,1150,1170,1240,1220,1180,1140,1320
CAR,220,30,20,30,10,30,10,20,20,90,20,150,100,50,50,10,30,20,20,30,20,40
QR,880,900,840,670,560,590,740,590,580,510,450,800,680,560,440,550,550,570,470,650,510,640
CR,1310,1350,1600,1200,1110,1110,1180,1220,1200,1070,1070,1230,1200,1160,1170,1210,1260,1300,1220,1140,1150,1430
PP,220,30,20,30,10,30,10,20,20,90,20,150,100,50,50,10,30,20,20,30,20,40
RCLR,630,820,840,490,450,570,730,560,560,420,430,660,580,510,390,540,520,540,450,580,440,550
KP,110,140,230,110,60,60,90,90,90,40,40,90,80,60,70,80,90,120,100,70,70,150
PKKO,160,220,360,180,110,100,120,120,120,50,60,100,100,80,90,160,160,230,190,110,110,220
RN,3470,2350,2660,2820,2920,3120,3380,3210,3430,3440,3310,4320,3970,3920,4160,3180,3950,3660,3590,3710,3360,3990
CRN,105000,155000,137000,129000,125000,117000,108000,114000,106000,106000,110000,84000,92000,93000,88000,115000,92000,100000,102000,98000,109000,91000
CPZ,168000,189000,163000,227000,247000,234000,193000,197000,175000,188000,229000,169000,184000,176000,165000,229000,190000,201000,200000,187000,216000,181000
RZ,4760,3890,2350,2080,2070,2230,2940,2810,3080,2870,2200,3100,2980,3110,3270,2160,2370,2160,2160,2560,2290,2650
CRZ,77000,94000,155000,176000,177000,164000,124000,130000,119000,127000,166000,118000,122000,117000,112000,169000,154000,169000,169000,142000,159000,138000
RMO,1660,1430,1400,1260,1240,1350,1650,1610,1770,1670,1410,1910,1760,1800,1860,1350,1610,1470,1470,1590,1410,1650
RMT,1470,1580,2240,2210,2080,2160,2470,2130,2220,2060,1700,2230,1930,1780,1670,1190,1390,1340,1450,1720,1600,1870
RM,780,750,860,800,780,830,990,920,990,920,770,1030,920,900,880,630,740,700,730,830,750,870
COP,182000,249000,292000,305000,302000,281000,232000,244000,225000,233000,276000,202000,214000,210000,200000,284000,246000,269000,271000,240000,268000,229000
CSP,14000,60000,129000,78000,55000,47000,39000,47000,50000,45000,47000,33000,30000,34000,35000,55000,56000,68000,71000,53000,52000,48000
