,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
WKGrahamCurrent_qq,,,-8.19,-3.32,100.00,,-1.13,-1.21,100.00,,-6.81,-12.88,100.00,,-1.95,2.37,100.00,,3.36,8.29,100.00,,28.84,25.51,100.00,,-0.37,-26.78,65.87,-49.56,71.99,-34.93,66.66,23.45,0.23,-24.88,57.29,9.84,-416.60,4.52,22.80,3.37,-31.86,-1.62,18.42,25.75,-97.00,-28.88,19.94,5.32,-0.60,66.14,7.96
WKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKGrahamCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.84,-5.09,6.80,6.30,-56.57,-25.47,-35.45,-31.60,-23.13,,,,,,,,,,,,,,,
CWKGrahamCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.16,-28.41,-4.86,-7.40,-56.21,-34.75,-34.18,-34.45,17.55,,,,,,,,,,,,,,,
CWKGrahamCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,36.58,-39.71,98.25,-41.86,53.68,-40.00,-18.99,-0.23,33.12,-36.42,-8.96,,,,,,,,,,,,,,,
CWKGrahamCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,81.59,-5.18,-36.64,80.71,-34.07,26.02,-38.33,-14.55,-1.74,27.12,-38.58,53.24,,,,,,,,,,,,,,,
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,14.79,6.64,,,,5.86,8.27,11.70,9.23,9.38,6.18,4.73,3.09,-19.47,-23.17,-31.83,-41.61,-8.93,-5.78,3.70,19.13,-17.93,-20.04,-23.64,-26.09,-1.15,0.92,12.38,18.22,2.11,2.10,-7.04,-6.39,-3.50,-1.24,4.05,4.53,3.69,17.80,40.45,61.60,78.41,58.41,34.79,18.83,9.52,9.44,8.51,7.71,5.44,4.42,3.26,-0.65
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,0.80,-0.46,3.62,1.83,3.09,2.69,1.33,1.97,0.08,1.28,-0.26,-20.34,-4.52,-10.14,-14.56,24.23,-1.21,-1.10,-1.85,-14.42,-3.75,-5.56,-5.00,14.47,-1.74,5.17,-0.07,-1.13,-1.75,-4.24,0.63,1.92,0.55,0.90,1.10,1.10,14.23,20.30,16.32,11.61,1.43,2.36,2.55,2.86,1.36,1.49,1.80,0.69,0.38,0.36,-2.06
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,-12.89,-6.22,,,,-5.54,-7.64,-10.47,-8.46,-8.57,-5.82,-4.51,-2.99,24.17,30.15,46.70,71.25,9.81,6.13,-3.57,-16.05,21.85,25.07,30.96,35.30,1.16,-0.91,-11.01,-15.41,-2.07,-2.05,7.57,6.82,3.63,1.26,-3.90,-4.34,-3.56,-15.11,-28.80,-38.12,-43.95,-36.87,-25.81,-15.85,-8.69,-8.62,-7.84,-7.16,-5.16,-4.23,-3.15,0.66
CPCurrent_sy,940.54,-32.00,,,,50.72,635.21,50.19,51.29,-13.10,45.49,29.20,-30.99,-39.98,-34.82,-27.41,-11.56,30.84,-1.41,-4.59,-8.19,-35.02,45.25,44.80,47.45,-12.31,-55.79,-53.48,-55.71,-21.12,-8.28,-10.45,-5.70,-5.17,-16.98,-20.64,-22.29,44.61,-12.94,-8.92,3.83,-2.69,32.30,28.03,15.92,-7.80,-12.49,-10.81,-9.93,-38.58,-28.06,-27.43,400.73
