,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000,950000
ShareAmountCurrent,2204842000,2204842000,2204842000,2204842000,2204842000,2404842000,2404842000,2404842000,2404842000,2404842000,2404842000,2404842000,2404842000,2404842000,2454392000,2454392000,2486122000,2486122000,2486122000,2554842000,2554842000,2554842000,2554842000,2554842000,2554842000,2554842000,2599642000,2599642000,2599642000,2599642000,2674842000,2674842000,2674842000,2858842000
WKCurrent,470,2470,3900,10030,11770,22410,26140,33230,34440,32770,38410,40860,43580,38180,45290,50120,50940,47110,57250,59890,63540,59010,66750,72630,76740,84650,49580,61710,67830,77440,76500,75530,89030,194090
CWKCurrent,2041520,385180,243420,94730,80700,42380,36350,28590,27580,28990,24730,23250,21800,24880,20980,18950,18650,20160,16590,15860,14950,16100,14230,13080,12380,11220,19160,15390,14010,12270,12420,12580,10670,4890
WKGrahamCurrent,390,2360,2560,6350,6350,16620,17140,14850,13680,5970,8650,5000,-1150,-7410,-5850,-2800,-7860,-20820,-17660,-11190,-21030,-35840,-31990,-36540,-39720,-37800,-79830,-82650,-85000,-89580,-93650,-114420,-112230,-20540
CWKGrahamCurrent,2415920,402190,371580,149530,149690,57150,55430,63990,69440,159070,109850,190160,,,,,,,,,,,,,,,,,,,,,,
PCurrent,2930,11960,42850,74860,83810,86890,94320,101860,109850,117840,125180,133070,139600,146700,149450,156210,161690,168050,175300,177050,184660,197690,210170,227590,244830,259140,270840,286120,305430,325080,337150,360690,384030,383110
CPCurrent,324540,79450,22170,12690,11340,10930,10070,9330,8650,8060,7590,7140,6810,6480,6360,6080,5880,5650,5420,5370,5140,4810,4520,4170,3880,3670,3510,3320,3110,2920,2820,2630,2470,2480
ZCurrent,250,1710,2340,7490,7850,9290,9530,15450,14850,15950,17290,12220,12460,10950,10920,10690,10470,11680,13700,15090,17070,17590,17950,19220,19550,22270,25180,30970,33080,35270,36410,32940,35780,33880
CZCurrent,3815300,555160,405380,126900,121060,102280,99660,61500,63980,59570,54940,77730,76270,86800,87030,88840,90730,81360,69360,62940,55660,54000,52910,49440,48580,42660,37720,30670,28720,26940,26090,28840,26550,28040
ZOCurrent,320,2100,2850,9450,10750,11300,11690,12590,11780,12840,14780,15010,15180,13850,13970,13470,13180,14830,17200,19490,20150,20770,21190,21490,23710,27240,31110,35840,39000,41450,43180,45390,49170,48520
CZOCurrent,2971060,452890,333800,100500,88340,84080,81270,75460,80610,73990,64280,63280,62600,68610,67980,70510,72100,64040,55220,48750,47140,45740,44830,44210,40070,34880,30530,26510,24360,22920,22000,20930,19320,19580
EVCurrent,949710,947930,948690,941890,941750,931840,933270,936080,936570,938630,943170,942730,946920,948920,956570,956880,957960,962990,966640,965110,970330,966790,976650,976900,976350,978880,991790,989400,992410,992450,1022000,1011480,1028250,939380
EVPCurrent,324440,79280,22140,12580,11240,10720,9890,9190,8530,7970,7530,7080,6780,6470,6400,6130,5920,5730,5510,5450,5250,4890,4650,4290,3990,3780,3660,3460,3250,3050,3030,2800,2680,2450
EVEBITCurrent,2970150,451900,333340,99650,87570,82480,79840,74350,79470,73100,63820,62800,62390,68530,68450,71020,72700,64920,56190,49530,48150,46540,46090,45460,41190,35940,31880,27600,25450,23940,23670,22280,20910,19360
EVEBITDACurrent,2970150,451900,333340,99650,87570,82120,79840,74350,79470,70100,63820,62800,62390,72300,68450,71020,72700,60400,49850,49530,48150,43520,51240,45460,41190,33650,31880,27600,25450,22950,23670,22280,20910,18830
DTAR,340,360,480,470,480,300,290,280,310,380,260,270,320,440,340,350,390,510,420,390,440,570,510,510,530,590,740,700,680,670,700,710,680,450
CG,520,570,940,890,930,420,400,390,450,610,350,380,470,790,520,540,640,1020,720,630,830,1370,1090,1060,1140,1470,2960,2570,2380,2150,2460,2680,2160,830
LDER,,,0,10,10,0,0,0,0,0,0,10,10,10,10,20,60,50,50,50,140,560,500,470,470,730,1840,1470,1200,790,770,1000,800,230
PZAT,,,91130,13090,17700,33570,50710,50040,57260,28530,27000,27150,19340,18510,11530,7330,2540,2940,3290,3330,3600,1050,1070,1140,1190,730,540,630,730,1080,1150,980,1030,1710
PELDR,,,4250,3380,3720,4980,3630,2020,2250,1620,1600,1280,1290,1110,1100,1090,1190,940,980,1060,1030,1110,1150,1100,1120,1340,1230,1160,1120,970,920,930,980,1240
TSF,,,520,530,520,700,710,720,690,620,740,730,690,560,670,660,650,520,610,650,610,650,710,700,680,690,710,670,630,550,500,530,570,670
ZKO,380,370,590,590,630,360,380,470,530,770,610,760,1060,1330,1330,1110,1320,1770,1750,1420,1670,1800,1790,1900,1830,1430,2200,2080,2110,2170,1990,2300,2400,1150
OSF,2460,8860,1710,1600,1370,1410,1110,840,890,940,790,860,1030,1110,1180,1060,1150,1230,1340,1200,1220,1100,1190,1240,1180,980,830,850,900,970,870,880,1060,1030
NetDebt,-114000000,-1438000000,5160000000,1616000000,5644000000,-21089000000,-15037000000,-2277000000,5143000000,20757000000,15956000000,19378000000,37074000000,55789000000,52298000000,59449000000,69465000000,106830000000,94584000000,89337000000,121976000000,166451000000,163245000000,173504000000,190811000000,204878000000,322423000000,347519000000,363596000000,384905000000,457884000000,489513000000,484258000000,229009000000
NetDebtEBITDA,-160,-310,820,80,240,-770,-530,-80,180,640,450,540,1020,1770,1520,1800,2120,2700,1960,1790,2370,2930,3350,3160,3150,2760,3990,3730,3590,3420,3960,4030,3680,1610
DebtFin,-647000000,-4561000000,-2893000000,-17874000000,-18197000000,-43667000000,-40226000000,-33478000000,-32299000000,-27336000000,-16429000000,-17475000000,-7417000000,-2604000000,16126000000,16897000000,19781000000,32297000000,41357000000,38593000000,51951000000,42900000000,68085000000,68718000000,67312000000,73794000000,108640000000,102427000000,110260000000,110357000000,192596000000,164453000000,209306000000,-30348000000
DebtFinEBITDA,-920,-990,-460,-860,-770,-1600,-1430,-1110,-1140,-850,-460,-480,-200,-80,470,510,600,810,860,780,1010,760,1400,1250,1110,990,1340,1100,1090,980,1670,1350,1590,-210
SP1,6450,23640,2900,2730,2170,3870,2900,1800,1660,1220,1290,1140,980,840,890,950,870,700,770,840,730,610,660,650,650,680,380,410,430,450,440,380,440,900
SP2,6450,23640,2900,2750,2190,3880,2910,1810,1670,1230,1300,1150,980,840,900,970,920,730,800,890,840,950,1000,960,950,1180,1080,1010,940,800,770,770,790,1110
CAR,1210,1460,360,930,770,1940,1600,1080,870,570,520,490,240,230,90,120,150,110,80,80,110,310,220,220,250,700,410,370,270,170,130,150,100,700
QR,2150,2190,1200,1470,830,2100,2020,1830,1100,770,960,1030,250,350,300,680,270,270,270,400,310,590,610,540,480,1020,780,720,510,440,510,420,320,950
CR,2630,2670,1700,1730,1590,2770,2640,2150,1880,1310,1660,1340,960,760,770,930,830,600,610,770,730,940,1040,950,920,1380,1210,1120,950,730,730,690,660,1210
PP,1210,1460,360,930,770,1940,1600,1080,870,570,520,490,240,230,90,120,150,110,80,80,110,320,220,220,250,710,410,370,270,170,130,150,100,700
RCLR,1400,1100,1310,760,780,790,1000,1000,980,690,1070,820,690,510,660,780,640,460,510,660,560,560,760,620,600,590,690,630,580,490,530,460,460,430
KP,560,610,340,340,280,520,470,320,270,120,170,90,-10,-100,-80,-20,-60,-190,-150,-80,-100,-20,10,-10,-20,110,60,40,-20,-110,-130,-140,-150,70
PKKO,200,290,70,110,100,250,240,190,160,70,90,50,-10,-60,-40,-20,-40,-140,-110,-60,-80,-20,10,-10,-20,120,60,40,-20,-120,-150,-150,-150,90
RN,8630,7700,8990,11730,11660,12180,11820,10530,9520,8970,8890,9530,10270,10510,10740,9760,9370,8950,8780,8770,8520,8520,8140,8510,8650,8340,8250,7730,7440,7290,6560,6500,6590,6910
CRN,42000,47000,41000,31000,31000,30000,31000,35000,38000,41000,41000,38000,36000,35000,34000,37000,39000,41000,42000,42000,43000,43000,45000,43000,42000,44000,44000,47000,49000,50000,56000,56000,55000,53000
CPZ,30000,43000,31000,31000,36000,39000,37000,38000,40000,46000,45000,44000,45000,49000,53000,57000,60000,67000,73000,75000,79000,75000,71000,69000,67000,69000,71000,75000,79000,87000,102000,111000,114000,112000
RZ,,,,,,,,1413100,924520,538010,378170,481630,498040,695590,1058430,584810,382270,274110,260890,256850,211140,187120,171230,130940,113250,102920,80810,64500,53860,57050,67550,84260,117220,114100
CRZ,,,,,,,,0,0,1000,1000,1000,1000,1000,0,1000,1000,1000,1000,1000,2000,2000,2000,3000,3000,4000,5000,6000,7000,6000,5000,4000,3000,3000
RMO,4610,3160,6900,6870,6090,4660,4510,4180,3960,4250,4750,5430,6350,6940,7610,7530,7350,7220,7050,7100,6880,6290,5870,5780,5640,4800,4530,4160,4010,4390,4240,4340,4540,3960
RMT,40590,114620,31830,28210,21580,18460,16320,10670,8150,6290,5230,4710,4070,3770,3420,3250,3150,2940,2770,2660,2490,2420,2370,2300,2290,2280,2260,2200,2170,2120,2090,2080,2070,2040
RM,4140,3080,5670,5520,4750,3720,3530,3000,2660,2540,2490,2520,2480,2440,2360,2270,2210,2090,1990,1930,1830,1750,1690,1650,1630,1550,1510,1440,1410,1430,1400,1400,1420,1340
COP,,,,,,,,,,42000,42000,39000,37000,36000,,38000,40000,42000,43000,43000,45000,45000,47000,46000,45000,48000,49000,53000,56000,56000,61000,60000,58000,56000
CSP,,,,,,,,,,-4000,-3000,-5000,-8000,-13000,,-19000,-20000,-25000,-30000,-32000,-34000,-30000,-24000,-23000,-22000,-21000,-22000,-22000,-23000,-31000,-41000,-51000,-56000,-56000
