,2011/Q4,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350
ShareAmountCurrent,25910000000,25910000000,25910000000,25910000000,25910000000,25910000000,26117280000,26117280000,26117280000,26117280000,26117280000,26117280000,27847280000,27847280000,28185494000,28185494000,28185494000,28185494000,28185494000,28185494000,28185494000,28185494000,28185494000,28185494000
WKCurrent,330,590,530,650,800,980,930,920,1080,1220,1180,1190,1400,1470,1360,1290,1300,1560,1480,1420,1330,1420,1530,1480
CWKCurrent,7030,4010,4410,3620,2940,2400,2530,2550,2180,1930,1990,1980,1670,1600,1730,1820,1800,1510,1590,1650,1760,1650,1540,1580
WKGrahamCurrent,90,150,90,140,300,330,350,260,400,570,520,470,620,570,290,-30,-110,70,-20,-60,-170,-100,10,-40
CWKGrahamCurrent,25440,15370,25760,16250,7910,7040,6620,9040,5860,4160,4550,5050,3800,4120,8109,,,35180,,,,,306650,
PCurrent,2240,2520,2370,1930,2100,2390,2550,2860,3140,3340,3370,3590,3280,3170,3050,2710,2510,2960,3240,3750,3700,3400,3790,3660
CPCurrent,1050,930,990,1220,1120,980,920,820,750,700,700,650,720,740,770,870,940,790,730,630,640,690,620,640
ZCurrent,260,250,230,10,70,210,220,300,300,320,320,330,210,110,50,-30,-40,90,110,120,30,-100,100,70
CZCurrent,8980,9230,10140,288180,32310,11110,10800,7750,7900,7410,7370,7020,11350,21530,50640,,,26370,22130,18850,88670,,24340,31540
ZOCurrent,370,380,330,70,130,290,310,410,430,430,410,440,290,170,120,20,0,150,160,210,120,-30,210,240
CZOCurrent,6280,6210,7050,33750,18240,8020,7470,5720,5530,5400,5680,5330,8080,13470,19000,100970,,15610,14490,11350,19980,,10980,9880
EVCurrent,2450,2340,2330,2350,2220,2250,2180,2400,2330,2190,2190,2330,2150,2050,2230,2600,2740,2890,2720,2890,2890,2990,3030,2800
EVPCurrent,1090,930,980,1220,1050,940,860,840,740,660,650,650,660,640,730,960,1090,970,840,770,780,880,800,770
EVEBITCurrent,6550,6170,6980,33680,17200,7670,6940,5840,5480,5030,5300,5280,7400,11730,18070,111650,-3673470,19170,16800,13950,24600,-116100,14150,11790
EVEBITDACurrent,5930,5560,6100,18790,11600,6250,5690,4990,4680,4310,4500,4490,5920,8189,11300,27350,35450,12350,10750,9430,13240,38260,9590,8300
