,2009/Q4,2010/Q4,2011/Q4,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,43384003000,43384003000,43384003000,43384003000,43384003000,43384003000,43384003000,43384003000,44491226000,44599947000,45812170000,46226614000,46226614000,46482044000,46482044000,46482044000,46482044000,46664852000,46722747000,46722747000,46722747000,46722747000,46722747000,46722747000,46722747000,46814672000,46814672000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,0.89,-15.42,,-8.97,,,4.00,6.13,9.36,3.31,-2.68,0.66,-2.44,2.87,3.62,-0.41,-0.60,1.64,-0.01,0.27,0.07,-0.54,-0.08,1.05,1.61,2.11
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,,-2.27,0.40,-1.34,7.44,-0.27,3.45,-6.80,1.21,3.16,0.26,-1.73,1.94,-0.85,0.07,0.48,0.29,-0.58,-0.12,-0.14,0.77,0.54,0.43,0.36
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent_yy,,-0.90,18.25,,9.87,,,-3.86,-5.79,-8.58,-3.20,2.77,-0.66,2.54,-2.81,-3.49,0.43,0.59,-1.58,,-0.27,-0.08,0.51,0.08,-1.06,-1.60,-2.03
