,2004/Q4,2005/Q4,2006/Q4,2007/Q4,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590,2590
ShareAmountCurrent,12802500000,12802500000,12802500000,12802500000,12802500000,18377845000,18377845000,18377845000,18377845000,18377845000,18377845000,18377845000,23377845000,23377845000,23377845000,23377845000,23377845000,23377845000,23377845000,23377845000,23377845000,23377845000,23377845000,23377845000,23377845000,23377845000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000,26774179000
WKCurrent,20,120,760,1410,1590,1850,1930,1980,2080,2160,2280,3680,2950,3050,4660,4720,4190,0,5030,5090,5110,5190,5110,5180,5290,6050,5370,5470,5590,5700,5640,5900,5990,6160,5970,6090,6130,6190,6210,6280,6280,6420,6500,6560,6590
CWKCurrent,171810,22340,3400,1830,1630,1400,1340,1310,1240,1200,1140,700,880,850,560,550,620,,520,510,510,500,510,500,490,430,480,470,460,450,460,440,430,420,430,430,420,420,420,410,410,400,400,390,390
WKGrahamCurrent,-60,20,230,560,-80,450,290,-10,-20,-30,-30,1270,990,920,660,430,30,0,-230,-280,-360,-370,250,240,280,720,510,740,460,330,-450,-360,-290,-200,-650,-530,-490,-480,-560,-490,-460,-410,-350,-250,-120
CWKGrahamCurrent,,111640,11400,4640,,5800,9050,,,,,2040,2610,2820,3910,6040,82940,,,,,,10420,10780,9190,3600,5070,3520,5600,7870,,,,,,,,,,,,,,,
PCurrent,640,910,1390,2070,2500,2009,2380,2470,2710,3200,3770,4050,3890,4050,4130,4160,3870,3730,4010,4290,4420,4520,3990,3900,4050,5700,5550,6140,6730,6100,7710,8000,8170,9330,8410,8470,8189,6770,6260,5880,5140,5150,4710,4840,4850
CPCurrent,4050,2860,1860,1250,1040,1290,1090,1050,950,810,690,640,670,640,630,620,670,690,650,600,590,570,650,660,640,450,470,420,380,420,340,320,320,280,310,310,320,380,410,440,500,500,550,540,530
ZCurrent,0,40,110,220,340,220,250,260,280,310,350,360,320,350,340,350,350,360,380,390,370,350,330,340,350,440,400,440,460,430,390,400,400,420,380,360,300,230,240,220,230,230,280,270,310
CZCurrent,828960,73520,22680,11690,7610,11910,10290,10130,9250,8400,7390,7140,8029,7310,7560,7430,7340,7240,6760,6650,6990,7320,7820,7610,7470,5860,6450,5850,5600,6080,6600,6520,6480,6120,6860,7200,8540,11360,10830,11920,11090,11200,9090,9420,8460
