,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
DTAR_qq,,,,,,-14.50,7.43,-12.26,34.33,-27.48,20.91,-19.94,4.48,-2.79,24.51,-18.40,12.30,30.61,-6.28,-16.31,4.35,1.72,0.31,-8.06,10.92,2.18,21.87,-18.80,2.48
DTAR_sq,,,,,,2.26,28.11,-8.09,-5.35,-3.07,7.16,3.03,3.85,7.00,2.31,-1.10,6.67,-5.08,6.52,-0.24,2.01,-8.87,9.73,-6.99,5.26,-19.15,-8.57,-4.56,37.66
CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CG_yy,,-6.68,49.53,-27.59,,,-56.76,,21.92,-16.76,6.35,-10.46,-47.64,3.00,8.71,10.69,23.56,157.26,33.69,32.42,14.11,-39.96,-26.42,-5.80,10.58,12.93,102.71,31.40,7.16
CG_sy,,-18.00,32.77,-22.17,,,11.50,,14.98,10.92,-7.57,9.61,18.48,35.25,21.60,11.74,22.39,2.72,8.84,9.34,-0.33,-3.18,1.27,-3.99,0.54,-20.39,-41.25,-43.01,-32.50
CG_qq,,,,,,-29.84,16.06,-23.63,96.06,-52.10,48.30,-35.71,14.64,-5.78,56.52,-34.53,27.97,96.18,-18.66,-35.16,10.28,3.23,-0.32,-16.99,29.46,5.42,78.93,-46.19,5.57
CG_sq,,,,,,-0.79,40.84,-12.95,-5.47,-4.29,17.36,3.23,2.18,9.26,5.52,-5.14,11.91,-8.30,11.81,-4.71,2.01,-10.92,16.95,-9.66,6.83,-29.47,-13.69,-12.38,26.54
LDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LDER_yy,,-25.90,-55.67,34.91,,,-19.87,,-32.50,-26.32,-21.15,-23.02,-12.56,-11.82,-26.35,-22.82,-10.27,-11.23,278.38,276.49,235.90,198.94,3.77,-4.05,-2.37,7.62,16.81,11.82,0.25
LDER_sy,,-39.28,72.53,12.43,,,-5.09,,23.97,15.79,-28.98,-31.04,-4.35,21.01,36.81,-13.34,56.70,24.37,17.64,56.63,-23.21,-2.82,44.98,-15.17,-19.98,-39.94,-55.51,-6.53,0.06
LDER_qq,,,,,,-6.72,-22.74,1.65,-7.85,1.82,-17.32,-0.77,4.67,2.68,-30.94,3.99,21.70,1.58,194.37,3.47,8.58,-9.60,2.18,-4.33,10.47,-0.35,10.91,-8.42,-0.95
LDER_sq,,,,,,-0.28,15.36,73.61,-37.93,-6.86,-29.24,68.58,-13.90,17.82,-20.00,6.79,55.67,-6.49,-24.33,42.18,-23.67,18.34,12.89,-16.82,-28.00,-11.18,-16.36,74.75,-22.92
PZAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PZAT_yy,,43.92,28.96,-10.33,,,-4.91,,29.49,7.24,6.33,4.90,21.29,31.81,40.04,33.15,-2.26,-7.13,-76.41,-75.44,-73.94,-70.61,-14.27,-9.33,-1.38,-1.95,-19.71,-14.94,-4.83
PZAT_sy,,6.93,-22.09,11.92,,,10.57,,-9.56,7.21,-11.18,17.71,8.67,0.45,1.08,4.36,-2.92,-7.01,-51.64,-20.52,-30.94,-8.12,-19.40,-17.32,10.70,-22.82,23.31,-29.56,-28.38
PZAT_qq,,,,,,6.49,12.88,0.86,6.80,-11.80,11.91,-0.49,23.49,-4.16,18.90,-5.39,-9.35,-8.93,-69.79,-1.51,-3.80,2.69,-11.89,4.16,4.64,2.11,-27.85,10.34,17.07
PZAT_sq,,,,,,-11.70,23.04,-24.46,10.20,4.67,1.93,0.11,1.75,-3.26,2.57,3.37,-5.35,-7.33,-46.66,69.89,-17.77,23.29,-53.20,74.27,10.10,-14.04,-25.24,-0.45,11.95
PELDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PELDR_yy,,-14.31,39.94,-7.98,,,-17.32,,7.33,12.72,7.04,2.61,-18.41,-19.01,-10.08,-9.23,4.36,7.03,13.88,8.44,16.55,12.80,4.98,6.02,-0.84,-4.41,0.53,9.50,11.14
PELDR_sy,,-2.34,7.53,2.56,,,-16.76,,-5.88,-2.53,7.29,5.22,-1.79,-4.26,1.15,-0.60,-0.49,-2.84,-10.25,-11.78,1.61,1.09,-1.26,-0.58,-16.10,-5.53,-3.43,8.29,11.59
PELDR_qq,,,,,,-0.75,7.23,2.56,-1.67,4.23,1.83,-1.69,-21.81,3.47,13.06,-0.75,-10.11,6.11,20.30,-5.50,-3.38,2.70,11.96,-4.56,-9.64,-1.00,17.75,3.96,-8.28
PELDR_sq,,,,,,-0.41,-6.29,1.87,-1.00,3.13,3.15,-0.10,-7.59,0.53,8.99,-1.83,-7.49,-1.83,0.68,-3.51,6.55,-2.34,-1.66,-2.84,-10.09,9.97,0.52,8.95,-7.35
TSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,-3.32,-37.29,34.80,,,62.26,,-16.55,5.22,-5.72,1.84,37.75,-6.08,-9.71,-9.20,-11.36,-42.85,4.23,8.52,17.48,68.72,22.28,2.79,-6.55,-5.55,-34.49,-12.00,-3.24
TSF_sy,,1.62,-3.03,-0.61,,,-1.53,,-3.95,-5.93,-0.83,3.20,-4.77,-5.05,-1.25,-3.36,-1.65,2.38,4.84,10.40,10.19,6.52,-1.02,-2.88,-1.45,5.28,7.43,9.62,-2.70
TSF_qq,,,,,,20.38,-11.13,15.15,-32.25,51.77,-20.37,24.38,-8.36,3.47,-23.44,25.09,-10.55,-33.30,39.65,30.23,-3.15,-4.20,1.21,9.47,-11.95,-3.18,-29.80,47.03,-3.18
TSF_sq,,,,,,1.59,-10.27,-1.22,6.66,-0.50,-5.40,2.79,-1.58,-0.79,-1.62,0.59,0.16,3.28,0.74,5.93,-0.03,-0.15,-6.39,3.94,1.45,6.66,-4.47,6.05,-9.96
ZKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,2.91,-11.28,1.75,,,-1.68,,-5.72,-13.68,-6.70,-10.77,2.09,10.56,1.00,5.48,-1.33,1.50,17.06,26.80,19.55,12.82,-1.77,-4.00,0.28,4.26,1.58,-0.70,-1.70
ZKO_sy,,-1.53,1.09,-8.47,,,10.84,,25.60,26.35,-3.62,15.24,6.90,7.82,16.84,11.89,-0.48,13.18,2.37,8.76,12.22,1.28,1.76,-0.10,-3.54,-7.10,-0.77,-7.77,9.08
ZKO_qq,,,,,,-2.01,-4.85,-3.12,4.37,-10.28,2.83,-7.34,19.42,-2.83,-6.06,-3.23,11.70,-0.04,8.33,4.83,5.32,-5.67,-5.68,2.45,10.01,-1.92,-8.11,0.16,8.91
ZKO_sq,,,,,,-5.05,29.66,-13.54,18.00,-4.48,-1.09,3.37,9.47,-3.66,7.18,-1.01,-2.64,9.57,-3.05,5.17,0.45,-1.11,-2.60,3.24,-3.00,-4.76,4.04,-4.04,14.71
OSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,-3.77,44.84,-13.24,,,-16.74,,7.26,2.28,3.04,0.44,-11.33,-7.23,-5.57,-4.33,0.65,7.67,-8.93,-1.08,-0.99,-7.07,2.98,1.76,-2.03,-3.22,-5.31,-2.13,0.78
OSF_sy,,-7.39,-1.36,-3.45,,,-1.98,,-0.40,-0.35,1.24,-2.20,5.86,6.17,1.28,3.06,-1.42,-3.21,3.47,0.20,6.20,-0.16,-6.47,-3.07,-5.86,0.48,11.20,2.55,-5.35
OSF_qq,,,,,,0.50,6.45,-5.62,6.23,-4.17,7.24,-7.99,-6.22,0.27,9.15,-6.78,-1.35,7.27,-7.68,1.25,-1.26,0.68,2.31,0.05,-4.93,-0.54,0.10,3.41,-2.10
OSF_sq,,,,,,1.35,2.57,1.39,-5.51,1.40,4.21,-2.05,2.28,1.70,-0.60,-0.33,-2.17,-0.15,6.26,-3.48,3.69,-6.13,-0.45,0.03,0.71,0.20,10.17,-7.75,-7.04
NetDebt,38078000000,35786000000,97405000000,72190000000,70828000000,49471000000,61592000000,37104000000,88731000000,38532000000,74082000000,31811000000,39886000000,46269000000,74586000000,47532000000,61193000000,130506000000,76770000000,61534000000,71005000000,88174000000,85562000000,58097000000,82818000000,94237000000,132797000000,95161000000,98179000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,174.12,-63.33,-10.90,,,-16.52,,25.13,-56.59,-20.54,-49.09,-67.71,45.42,9.76,88.89,58.16,118.08,2.60,25.35,-11.42,-41.36,4.75,-23.42,98.57,98.87,24.54,42.04,-38.21
NetDebtEBITDA_sy,,-26.73,32.51,-47.16,,,-10.08,,19.00,-17.87,29.48,-9.44,-7.67,75.79,-24.45,3.26,-19.66,-11.69,-52.78,5.47,6.22,-9.54,83.88,-39.13,-26.65,-43.68,-7.91,-39.07,-8.59
NetDebtEBITDA_qq,,,,,,-9.48,-4.10,-37.27,129.76,-68.60,75.55,-59.81,45.75,41.41,32.51,-30.84,22.04,94.99,-37.66,-15.50,-13.76,29.08,11.37,-38.22,123.60,29.27,-30.26,-29.54,-2.74
NetDebtEBITDA_sq,,,,,,-23.94,5.37,34.93,10.04,-47.51,66.13,-5.63,12.18,-0.05,-28.60,28.99,-12.73,9.87,-61.82,188.13,-12.11,-6.43,-22.40,-4.61,5.91,-28.16,26.90,-36.89,58.89
DebtFin,10734000000,8385000000,-8809000000,-6667000000,14507000000,12926000000,8560000000,-3683000000,-1392000000,-4684000000,-2805000000,-13917000000,3091000000,6004000000,-7363000000,-1163000000,8522000000,-195000000,-43646000000,-11089000000,4734000000,12089000000,359000000,-11283000000,12108000000,17481000000,-73869000000,-3704000000,8828000000
DebtFin_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFin_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DebtFinEBITDA_yy,,127.86,-114.15,9.01,,,225.62,,-109.59,-120.19,-121.64,-124.40,259.47,255.26,-186.30,89.44,184.21,-102.52,-490.80,-823.86,-57.59,5459.14,100.77,17.47,335.36,169.08,-16597.06,71.53,-62.00
DebtFinEBITDA_sy,,-299.56,-53.61,-50.95,,,36.85,,40.68,23.66,-3.41,-9.44,-35.14,58.16,38.28,74.80,53.40,-61.79,-160.47,-156.77,24.50,-1.66,100.18,-23.28,28.03,89.65,3050.00,7.70,412.26
DebtFinEBITDA_qq,,,,,,15.48,-48.99,-144.80,63.67,-143.19,45.33,-364.51,125.82,136.78,-200.81,82.87,795.13,-102.10,-23525.81,73.22,131.91,165.39,-96.59,-2957.06,268.33,64.03,-309.12,95.07,324.66
DebtFinEBITDA_sq,,,,,,21.27,-22.73,-12.12,45.25,-1.33,-66.26,-18.66,32.40,68.63,-145.27,51.54,-24.98,-8.92,-294.87,52.23,63.25,-46.66,100.71,-32406.25,78.55,78.90,315.38,-1046.63,172.58
SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP1_yy,,-6.50,63.25,-14.73,,,-15.32,,13.77,18.47,10.44,12.57,-13.14,-16.08,-6.49,-9.30,2.00,6.08,-22.21,-21.98,-17.17,-17.63,4.83,5.99,-2.31,-7.18,-6.78,-1.44,2.52
SP1_sy,,-11.38,8.72,15.99,,,-21.82,,-14.48,-11.86,9.08,-2.01,-4.41,-9.46,-8.18,-9.98,5.15,-2.20,-1.40,-12.88,-4.51,-0.13,-2.12,3.69,-6.52,-7.19,-4.44,0.99,-2.71
SP1_qq,,,,,,2.57,11.87,-2.58,1.78,6.81,4.29,-0.70,-21.47,3.19,16.20,-3.69,-11.68,7.32,-14.78,-3.41,-6.24,6.72,8.47,-2.35,-13.58,1.40,8.93,3.25,-10.11
SP1_sq,,,,,,5.32,-17.61,13.76,-13.36,8.55,1.96,2.19,-15.48,2.81,3.39,0.19,-1.27,-4.37,4.23,-11.48,8.21,0.02,2.16,-6.22,-2.44,-0.69,5.18,-0.89,-6.02
SP2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP2_yy,,-14.16,40.07,-10.81,,,-18.18,,6.91,13.03,7.14,8.86,-14.59,-17.44,-9.32,-11.65,0.76,4.63,-3.36,-2.54,3.86,0.26,5.89,4.83,-2.99,-5.28,-2.52,1.62,2.59
SP2_sy,,-10.95,11.33,10.78,,,-21.81,,-9.12,-9.67,9.63,2.81,-7.76,-3.46,0.23,-4.29,0.93,-5.87,-10.80,-12.75,3.60,5.55,-2.92,0.49,-10.38,-11.89,-4.75,7.60,-2.72
SP2_qq,,,,,,1.29,7.43,-2.35,0.62,7.08,1.84,-0.79,-21.05,3.51,11.85,-3.35,-9.96,7.49,3.30,-2.52,-4.05,3.77,9.10,-3.50,-11.20,1.31,12.29,0.60,-10.35
SP2_sq,,,,,,3.66,-14.70,7.70,-4.57,3.04,3.52,1.00,-14.38,7.83,7.48,-3.55,-9.71,0.56,1.86,-5.66,7.21,2.45,-6.31,-2.34,-4.38,0.72,1.28,10.32,-13.55
CAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAR_yy,,4.76,7036.36,23.57,,,-21.91,,27.54,136.26,18.02,45.27,82.64,-64.53,17.56,-56.90,-62.22,-25.81,132.83,50.14,134.31,-3.94,-57.81,29.69,-40.57,-6.04,126.63,-38.16,-8.02
CAR_sy,,-2.34,-32.86,45.75,,,9.38,,12.45,-8.89,22.51,-0.30,9.44,-30.27,-38.07,-31.99,-32.30,7.71,81.57,10.22,39.30,10.19,-5.53,13.71,-6.91,9.80,-12.39,50.51,23.16
CAR_qq,,,,,,18.36,3.06,133.00,-55.13,119.26,-48.52,186.80,-43.58,-57.41,70.62,5.14,-50.54,-16.38,435.45,-32.20,-22.81,-65.72,135.19,108.38,-64.63,-45.80,467.27,-43.14,-47.39
CAR_sq,,,,,,43.99,-18.22,6.38,-10.24,16.67,9.96,-13.42,-1.47,-25.66,-2.34,-4.93,-1.91,18.26,64.63,-42.29,23.98,-6.45,41.14,-30.53,1.50,10.34,12.61,19.35,-16.95
QR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QR_yy,,-0.05,-13.66,7.83,,,6.34,,-14.80,27.56,10.28,31.06,35.24,-3.83,-3.19,-13.51,-1.37,-28.05,-13.73,-26.26,-7.70,16.63,2.65,23.56,-9.23,-7.03,-1.74,-11.89,-8.84
QR_sy,,-3.60,2.69,15.30,,,-17.96,,-8.17,-16.38,9.83,-5.92,-10.12,-16.96,-7.07,-10.10,-3.09,-1.04,-14.97,-4.86,5.75,14.00,12.11,2.14,-5.54,-2.95,7.32,21.83,0.29
QR_qq,,,,,,0.66,21.55,-10.76,-21.98,50.72,5.09,6.05,-19.49,7.18,5.79,-5.26,-8.19,-21.81,26.84,-19.02,14.91,-1.19,11.63,-2.52,-15.59,1.22,17.97,-12.58,-12.67
QR_sq,,,,,,16.37,-24.34,7.81,-3.26,5.96,-0.62,-7.65,-7.58,-2.10,11.21,-10.65,-0.38,-0.03,-4.44,-0.03,10.74,7.76,-6.03,-8.92,2.41,10.73,3.92,3.40,-15.70
CR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR_yy,,-6.21,3.02,1.46,,,8.14,,-0.92,12.98,3.51,9.13,3.63,-11.99,-4.03,-9.59,-2.50,-10.79,-3.13,-1.84,4.06,10.56,11.27,4.92,-4.42,-5.47,-13.29,-4.80,-0.29
CR_sy,,-0.60,-4.52,23.15,,,-20.97,,-23.27,-19.29,4.09,-9.23,4.16,-6.21,-6.60,-6.53,-10.64,-6.03,-8.35,-6.71,-1.32,4.98,10.68,-7.53,-1.88,3.88,1.21,28.68,6.63
CR_qq,,,,,,7.66,-2.15,8.14,-13.03,22.76,-10.35,14.02,-17.42,4.26,-2.24,7.41,-10.94,-4.60,6.16,8.83,-5.59,1.36,6.84,2.62,-13.99,0.24,-2.00,12.68,-9.91
CR_sq,,,,,,4.41,-26.45,18.37,-15.58,9.82,-5.14,3.21,-3.13,-1.11,-5.53,3.28,-7.39,3.99,-7.87,5.14,-2.03,10.63,-2.87,-12.16,3.95,17.12,-5.36,11.68,-13.86
PP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_yy,,4.76,7036.36,23.57,,,-19.43,,23.17,126.25,14.40,42.09,82.64,-64.53,17.56,-56.90,-62.22,-25.81,133.11,50.14,134.31,-3.94,-57.86,29.69,-39.44,-6.04,127.12,-37.72,-7.93
PP_sy,,5.63,-15.30,49.59,,,-15.87,,-10.42,-12.65,22.79,-2.40,28.07,-17.87,-12.50,-34.35,-34.47,-13.09,12.45,2.41,50.90,42.49,8.56,15.08,-27.63,-23.24,-16.17,17.41,19.51
PP_qq,,,,,,19.36,1.82,130.90,-56.11,119.26,-48.52,186.80,-43.58,-57.41,70.62,5.14,-50.54,-16.38,436.11,-32.29,-22.81,-65.72,135.19,108.38,-63.96,-46.81,468.48,-42.86,-46.72
PP_sq,,,,,,37.56,-32.56,40.58,-31.31,34.14,-5.20,11.74,-9.87,-13.98,1.00,-16.16,-10.04,14.09,30.69,-23.65,32.55,7.73,-0.43,-19.06,-16.65,14.27,8.75,13.36,-15.16
RCLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCLR_yy,,-0.14,-30.26,7.31,,,16.18,,-22.60,0.38,5.58,3.51,12.83,22.35,-7.38,18.04,28.23,-26.67,-41.34,-37.60,-22.26,21.65,63.51,11.16,-2.34,-14.51,-47.02,1.53,-14.81
RCLR_sy,,-3.05,-6.44,23.21,,,-19.48,,-0.44,-9.34,1.46,-8.84,-18.77,-2.59,12.27,3.39,14.94,-6.91,-24.53,-9.37,-20.21,-7.72,5.33,-11.39,2.08,5.38,13.10,24.30,0.28
RCLR_qq,,,,,,-3.20,23.42,-25.81,-12.68,25.55,29.81,-27.26,-4.82,36.14,-1.73,-7.29,3.39,-22.15,-21.38,-1.39,28.82,21.82,5.67,-32.97,13.18,6.63,-34.51,28.46,-5.03
RCLR_sq,,,,,,8.74,-17.36,7.23,3.32,-0.98,-7.51,-3.65,-7.94,18.74,6.60,-11.27,2.34,-3.84,-13.57,6.55,-9.89,11.21,-1.35,-10.36,3.81,14.80,5.88,-1.49,-16.25
KP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP_yy,,-48.13,71.96,4.08,,,19.35,,7.73,57.03,28.28,33.91,-10.35,-41.24,-16.18,-26.15,-3.41,-29.29,-19.21,-14.99,12.09,44.16,45.33,19.51,-20.12,-26.53,-38.91,-4.08,3.34
KP_sy,,-26.90,12.05,22.25,,,-21.79,,-22.31,-16.17,1.59,0.54,-3.53,-5.03,1.57,1.76,-15.66,-25.09,-31.02,-38.88,-4.39,11.51,9.94,-4.03,-19.12,-16.10,-1.06,30.66,6.74
KP_qq,,,,,,28.01,2.57,22.39,-32.97,86.59,-16.20,27.77,-55.12,22.31,19.53,12.57,-41.31,-10.46,36.57,18.44,-22.61,15.15,37.68,-2.60,-48.27,5.92,14.47,52.94,-44.27
KP_sq,,,,,,4.09,-18.53,10.13,-16.81,12.32,-1.27,8.98,-20.17,10.57,5.59,9.18,-33.84,-1.79,-2.77,-3.25,3.49,14.55,-4.15,-15.54,-12.78,18.83,13.04,11.53,-28.75
PKKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKKO_yy,,-54.97,73.50,-7.64,,,85.43,,80.15,94.28,34.18,19.83,-38.36,-39.69,-2.53,-16.31,0.34,-7.73,-23.46,-14.14,13.61,57.65,80.81,57.40,14.79,-22.76,-30.32,-20.35,-27.96
PKKO_sy,,16.91,-26.84,22.65,,,-41.90,,-37.76,-43.21,-20.68,-18.66,-0.86,-3.49,21.43,10.04,10.82,7.01,13.15,-4.90,-21.89,16.83,-5.35,-17.39,-21.31,-44.77,-35.98,-19.45,66.79
PKKO_qq,,,,,,17.79,49.76,10.83,-7.85,27.03,3.44,-1.03,-52.60,24.28,67.16,-15.02,-43.17,14.29,38.68,-4.67,-24.81,58.58,59.05,-17.01,-45.16,6.70,43.48,-5.13,-50.40
PKKO_sq,,,,,,10.72,-32.71,11.54,-25.10,1.01,-6.01,14.39,-8.72,-1.67,18.26,3.67,-8.07,-5.05,25.05,-12.87,-24.50,42.02,1.31,-23.95,-28.09,-0.32,17.43,-4.30,48.89
RN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RN_yy,,5.84,26.33,19.73,,,24.66,,-18.06,-9.26,-2.46,10.05,8.26,-5.53,0.32,-3.90,-9.76,-6.60,-5.49,-2.51,15.68,16.14,0.61,2.86,-16.17,-10.55,22.09,14.88,27.85
RN_sy,,-4.81,1.17,3.20,,,3.33,,6.37,-3.22,0.36,0.78,-0.81,5.51,-2.01,3.24,2.65,-2.44,-4.27,-6.00,-6.86,6.37,6.60,8.36,11.42,2.11,11.43,8.89,0.96
RN_qq,,,,,,-2.45,-9.32,-9.59,2.45,8.03,-2.53,2.01,0.79,-5.74,3.50,-2.28,-5.36,-2.44,4.74,0.81,12.29,-2.04,-9.27,3.06,-8.48,4.54,23.83,-3.02,1.84
RN_sq,,,,,,1.99,2.85,-2.50,4.01,-7.20,6.65,-2.10,2.38,-1.29,-0.95,3.15,1.79,-6.18,-2.81,1.29,0.86,7.14,-2.60,2.96,3.71,-1.82,6.29,0.61,-3.84
CRN,152000,143000,113000,95000,67000,69000,76000,84000,82000,76000,78000,76000,76000,80000,78000,79000,84000,86000,82000,81000,73000,74000,82000,79000,87000,83000,67000,69000,68000
CRN_yy,,-5.92,-20.98,-15.93,,,-20.00,,22.39,10.14,2.63,-9.52,-7.32,5.26,,3.95,10.53,7.50,5.13,2.53,-13.10,-13.95,,-2.47,19.18,12.16,-18.29,-12.66,-21.84
CRN_sy,,5.70,-1.20,-3.03,,,-3.12,,-6.17,2.50,-0.65,-0.63,-2.63,-10.37,,-3.18,1.35,8.84,3.80,6.58,7.33,-6.25,,-8.02,-10.56,-2.00,-10.39,-7.38,
CRN_qq,,,,,,2.99,10.14,10.53,-2.38,-7.32,2.63,-2.56,,5.26,-2.50,1.28,6.33,2.38,-4.65,-1.22,-9.88,1.37,10.81,-3.66,10.13,-4.60,-19.28,2.99,-1.45
CRN_sq,,,,,,-1.23,-3.12,1.94,-3.80,7.89,-6.10,1.95,,-0.68,7.48,-3.80,-1.32,6.67,2.50,-1.22,-0.62,-6.83,2.67,-3.25,-3.36,2.08,-6.12,,4.35
CPZ,150000,142000,162000,126000,101000,102000,108000,112000,120000,111000,109000,107000,99000,101000,100000,99000,100000,114000,126000,135000,126000,125000,117000,112000,124000,123000,126000,129000,131000
CPZ_yy,,-5.33,14.08,-22.22,,,-14.29,,18.81,8.82,0.93,-4.46,-17.50,-9.01,-8.26,-7.48,1.01,12.87,26.00,36.36,26.00,9.65,-7.14,-17.04,-1.59,-1.60,7.69,15.18,5.65
CPZ_sy,,25.87,-13.33,3.85,,,-1.85,,3.75,8.33,3.77,3.66,-1.81,-3.55,1.21,4.12,14.11,14.11,14.97,11.86,3.23,3.23,9.38,-2.53,-10.42,-11.98,-20.00,-18.13,-2.33
CPZ_qq,,,,,,0.99,5.88,3.70,7.14,-7.50,-1.80,-1.83,-7.48,2.02,-0.99,-1.00,1.01,14.00,10.53,7.14,-6.67,-0.79,-6.40,-4.27,10.71,-0.81,2.44,2.38,1.55
CPZ_sq,,,,,,-2.50,1.92,3.14,1.22,1.81,-2.37,3.03,-4.12,,2.45,5.99,5.08,,3.23,3.12,-3.03,,9.38,-8.10,-10.88,-1.74,-0.59,-5.95,6.33
RZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RZ_yy,,171.66,-81.52,78.00,,,-42.25,,-32.78,-19.36,5.34,4.98,92.47,92.96,76.92,66.83,19.79,-33.72,-36.68,-45.61,-41.71,40.54,32.47,104.16,58.79,7.41,54.43,7.55,24.30
RZ_sy,,4.31,-14.52,-2.32,,,0.80,,-5.24,8.57,12.83,9.35,9.73,11.70,35.14,14.40,-5.05,-7.90,-24.43,-13.88,-3.38,-9.40,-10.79,5.06,16.47,24.79,30.75,8.04,-9.36
RZ_qq,,,,,,-7.67,-14.95,8.17,-20.86,10.76,11.10,7.79,45.10,11.04,1.86,1.65,4.19,-38.56,-2.69,-12.68,11.66,48.12,-8.28,34.58,-13.16,0.20,31.88,-6.27,0.37
RZ_sq,,,,,,-10.41,-2.37,2.63,5.57,2.65,1.45,-0.53,5.94,4.48,22.74,-15.80,-12.07,1.35,0.71,-4.05,-1.34,-4.97,-0.84,13.00,9.38,1.81,3.90,-6.62,-8.24
CRZ,21000,8000,42000,23000,32000,34000,41000,37000,47000,43000,38000,36000,25000,22000,22000,21000,21000,33000,34000,39000,35000,24000,26000,19000,22000,22000,17000,18000,18000
CRZ_yy,,-61.90,425.00,-45.24,,,78.26,,46.88,26.47,-7.32,-2.70,-46.81,-48.84,-42.11,-41.67,-16.00,50.00,54.55,85.71,66.67,-27.27,-23.53,-51.28,-37.14,-8.33,-34.62,-5.26,-18.18
CRZ_sy,,-2.44,15.00,,,,2.17,,,-17.39,-14.89,-11.11,-10.00,-10.53,-22.50,-10.00,16.67,20.59,29.03,19.44,2.38,9.76,12.50,-6.98,-16.28,-20.00,-22.22,-7.50,13.89
CRZ_qq,,,,,,6.25,20.59,-9.76,27.03,-8.51,-11.63,-5.26,-30.56,-12.00,,-4.55,,57.14,3.03,14.71,-10.26,-31.43,8.33,-26.92,15.79,,-22.73,5.88,
CRZ_sq,,,,,,15.00,2.17,-4.26,-11.11,-5.00,5.26,,-10.00,-5.56,,16.13,,-2.38,-2.44,7.50,,4.65,,-11.11,-10.00,,-2.78,5.71,
RMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMO_yy,,12.70,-14.48,26.64,,,8.97,,-19.84,-13.05,-5.08,0.66,11.47,6.59,8.44,11.36,6.15,-3.79,-13.81,-21.75,-16.84,-11.05,-0.38,9.92,-4.61,-0.80,-0.40,-5.99,1.40
RMO_sy,,-8.10,0.58,-0.92,,,-2.05,,14.64,17.06,18.46,3.74,1.11,-1.96,-5.69,3.71,-0.52,-3.43,-9.75,-8.28,-13.35,-10.52,-0.61,-5.87,6.98,16.06,18.31,12.76,2.00
RMO_qq,,,,,,-2.73,-7.98,-5.11,-5.62,5.52,0.45,0.62,4.51,0.90,2.20,3.33,-0.38,-8.54,-8.45,-6.19,5.88,-2.18,2.53,3.51,-8.12,1.72,2.95,-2.30,-0.90
RMO_sq,,,,,,0.89,0.04,9.28,3.94,3.02,1.24,-4.30,1.30,-0.11,-2.62,5.24,-2.82,-3.03,-8.99,6.96,-8.20,0.14,1.09,1.30,4.33,8.63,3.06,-3.45,-5.63
RMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMT_yy,,-4.45,135.33,-23.15,,,-60.58,,-45.58,-27.22,5.86,27.05,1.78,-10.41,-13.98,-14.40,5.23,32.08,14.01,-1.19,-6.37,-38.87,-34.53,-22.78,-27.43,-5.57,30.72,28.48,38.29
