,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CPCurrent_sq,,,,,,22.11,0.26,-5.12,-20.72,18.52,-9.50,-9.30,-12.17,-3.32,14.78,-19.11,3.51,24.03,54.69,-27.14,8.67,9.33,-1.37,-7.87,-3.85,-6.48,10.79,-14.37,4.45
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,-97.60,11476.97,-45.90,,,-85.42,,29.11,230.37,91.08,192.03,52.65,-39.68,-26.71,-46.54,-20.93,59.05,13.61,30.90,90.83,35.25,12.68,42.49,-59.61,-70.86,20.21,-0.17,137.60
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,,-35.25,92.88,-26.69,41.02,65.68,11.56,12.04,-26.29,-34.53,35.54,-18.27,9.03,31.69,-3.18,-5.84,58.95,-6.66,-19.34,19.07,-54.94,-32.67,232.76,-1.11,7.24
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,4059.13,-99.13,84.82,,,585.52,,-22.56,-69.72,-47.65,-65.76,-34.48,65.76,36.43,87.08,26.43,-37.12,-11.98,-23.63,-47.59,-26.07,-11.24,-29.81,147.59,243.31,-16.81,0.18,-57.91
CZCurrent_sy,,61.65,-22.78,16.81,,,-1.33,,-45.67,-46.70,-37.16,-21.07,-1.11,-3.72,34.17,-1.40,-5.57,-9.17,-2.97,5.75,28.04,26.12,-20.42,-20.52,-11.77,23.03,-0.97,4.24,-26.25
CZCurrent_qq,,,,,,54.36,-48.15,36.45,-29.09,-39.64,-10.36,-10.76,35.69,52.70,-26.22,22.37,-8.30,-24.06,3.29,6.18,-37.08,7.14,24.00,-16.04,121.96,48.56,-69.95,1.11,-6.75
