,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600,12600
ShareAmountCurrent,2067036000,2067036000,3067036000,3067036000,3067036000,3067036000,3067036000,3067036000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000,3260762000
WKCurrent,1430,1590,1470,4990,5090,0,5370,5510,5750,0,4550,4520,4610,0,4790,4890,4960,0,5240,5350,5450,0,5610,5800,5910,5970,5930,6020,6300,6450,6520,6710,6910,6970,6190,6400,6790,6900,7340,7650,7810,8270,8580,8940,9350,9740,9840,10330,9440
CWKCurrent,8790,7930,8600,2530,2470,,2350,2290,2190,,2770,2790,2730,,2630,2580,2540,,2410,2360,2310,,2250,2170,2130,2110,2120,2090,2000,1950,1930,1880,1820,1810,2029,1970,1860,1830,1720,1650,1610,1520,1470,1410,1350,1290,1280,1220,1340
WKGrahamCurrent,-60,-350,-360,1640,1600,0,400,460,350,0,-1120,-1100,-900,0,-440,-170,50,0,130,330,410,0,490,740,850,540,370,410,720,750,730,1030,1000,990,580,770,840,1240,1730,1470,1680,1750,1820,600,1350,1630,1520,1940,1950
CWKGrahamCurrent,,,,7680,7850,,31890,27350,35760,,,,,,,,256790,,94230,38180,31010,,25780,17130,14900,23490,34100,30800,17530,16790,17230,12290,12650,12730,21740,16430,15060,10190,7270,8550,7510,7200,6930,21080,9310,7730,8300,6490,6470
PCurrent,4230,3140,2140,2370,2690,3340,4100,4580,4780,4880,4710,4910,4940,5180,5700,5680,5830,5910,6300,6550,6880,7160,6990,7280,7390,7870,7800,7830,8320,8390,9080,8980,8980,8640,7930,8090,8109,7970,8820,9130,9240,9790,10150,10910,12220,13400,14590,15040,14610
CPCurrent,2980,4010,5890,5320,4690,3770,3070,2750,2640,2580,2670,2560,2550,2430,2210,2220,2160,2130,2000,1920,1830,1760,1800,1730,1700,1600,1620,1610,1510,1500,1390,1400,1400,1460,1590,1560,1550,1580,1430,1380,1360,1290,1240,1150,1030,940,860,840,860
ZCurrent,30,170,210,300,290,460,490,550,560,560,-890,-1050,-1100,-1120,250,370,350,350,440,460,480,500,350,430,440,390,440,340,540,640,630,720,620,520,-400,-380,-190,-150,1140,1240,1160,1510,1380,1430,1540,1470,1550,1680,1800
CZCurrent,377460,75710,60570,41420,42940,27470,25690,23070,22610,22610,,,,,50660,34070,35730,36390,28390,27500,26120,25390,36040,29060,28910,32500,28590,36650,23460,19690,20150,17550,20220,24180,,,,,11090,10150,10850,8360,9110,8810,8189,8580,8150,7500,7010
ZOCurrent,130,260,330,440,430,600,640,700,740,720,-470,-510,-650,-700,380,350,420,460,580,620,620,640,420,510,510,450,410,310,460,550,770,860,890,860,260,260,440,410,1340,1450,1400,1760,1720,1850,1910,1890,1760,1870,1950
CZOCurrent,99790,48050,38190,28350,29100,20910,19800,18010,17080,17390,,,,,33320,36390,30280,27280,21570,20210,20420,19570,29660,24890,24870,27720,30710,40080,27140,22720,16379,14630,14150,14680,48970,49380,28410,30430,9380,8680,9010,7160,7340,6810,6600,6680,7170,6740,6470
EVCurrent,12480,12580,12790,11060,11450,12600,13080,13740,14240,12600,14930,15170,14790,12600,14020,14250,14080,12600,14140,13900,13890,12600,13830,13760,13400,13430,13440,13540,13120,13190,12790,12940,13100,13500,13250,12930,12680,12480,11530,11990,12010,11500,12060,12350,12520,12680,12770,12390,12660
EVPCurrent,2950,4000,5980,4670,4260,3770,3190,3000,2980,2580,3170,3090,2990,2430,2460,2510,2410,2130,2250,2120,2020,1760,1980,1890,1810,1710,1720,1730,1580,1570,1410,1440,1460,1560,1670,1600,1560,1570,1310,1310,1300,1170,1190,1130,1020,950,880,820,870
EVEBITCurrent,98850,47960,38770,24880,26440,20910,20560,19640,19310,17390,-32000,-29600,-22830,-17930,37070,41140,33830,27280,24210,22300,22510,19570,32560,27170,26440,29560,32759,43090,28270,23790,16630,15030,14710,15730,51490,50690,28600,30150,8590,8260,8590,6530,7030,6670,6560,6720,7270,6620,6500
