,2004/Q4,2005/Q4,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
RCLR,430,530,500,470,,,830,470,700,720,620,740,740,670,660,690,480,650,640,540,790,,840,850,720,710,740,720,660,680,700,790,710,740,570,630,520,620,400,440,400,420,390,440,470,520,430,360
KP,30,30,60,60,,,330,-50,140,110,60,140,140,110,110,70,-10,10,0,-30,130,,140,220,120,120,120,120,110,110,120,190,180,190,150,150,140,170,100,100,100,110,120,110,120,120,170,160
PKKO,10,10,20,10,,,130,-20,70,60,30,60,60,50,50,30,0,0,0,-10,50,,50,80,40,50,40,40,40,40,30,50,50,50,40,40,40,50,30,30,30,40,40,40,40,40,50,50
RN,14660,11790,15270,14560,15580,16180,10210,8560,8189,7730,7730,7110,7300,7490,7430,7290,7430,8390,7800,8490,7680,7750,6930,6150,6230,6490,7140,7490,8010,8060,8220,8580,8890,9610,10180,10550,10530,10470,10890,11370,12580,13640,13490,12930,12200,11770,11700,12700
CRN,25000,31000,24000,25000,23000,23000,36000,43000,45000,47000,47000,51000,50000,49000,49000,50000,49000,44000,47000,43000,48000,47000,53000,59000,59000,56000,51000,49000,46000,45000,44000,43000,41000,38000,36000,35000,35000,35000,34000,32000,29000,27000,27000,28000,30000,31000,31000,29000
CPZ,58000,59000,52000,53000,50000,46000,51000,68000,68000,70000,74000,74000,72000,71000,71000,73000,80000,71000,77000,75000,72000,71000,71000,72000,73000,73000,68000,67000,65000,65000,64000,60000,57000,52000,52000,53000,57000,60000,62000,65000,62000,64000,65000,68000,69000,68000,67000,64000
RZ,17130,13780,13640,13390,14250,16170,14590,13060,13630,13300,13000,12300,12010,11620,10740,10800,9470,11290,11220,11650,13280,12770,12690,11660,11030,11140,11480,12080,12320,12240,12100,12460,12730,13450,12390,11640,10240,9480,8690,7970,7940,7540,7370,7060,7060,7390,7550,7730
CRZ,21000,26000,27000,27000,26000,23000,25000,28000,27000,27000,28000,30000,30000,31000,34000,34000,39000,32000,33000,31000,27000,29000,29000,31000,33000,33000,32000,30000,30000,30000,30000,29000,29000,27000,29000,31000,36000,38000,42000,46000,46000,48000,49000,52000,52000,49000,48000,47000
RMO,6000,5950,6640,6470,6920,7230,4930,4360,4290,4240,4350,4050,4200,4210,4140,4140,4059,4750,4600,4930,4830,4850,4490,3990,3950,4059,4370,4610,4820,4810,4850,5040,5180,5530,5490,5470,5130,4920,4840,4710,4940,4890,4770,4550,4440,4500,4510,4640
RMT,21770,20430,23600,23160,24780,26720,22400,8920,8420,8160,7150,7190,7260,7410,7440,7360,6840,7280,6480,6370,7340,7680,9260,11320,11600,12610,14090,15690,17670,17850,18140,18810,19480,21460,21900,21780,19970,18510,15780,13830,13250,12140,11960,12030,11880,12310,13410,14420
RM,4700,4610,5180,5060,5410,5690,4040,2930,2840,2790,2700,2590,2660,2680,2660,2650,2550,2870,2690,2780,2910,2970,3020,2950,2950,3070,3340,3560,3790,3790,3830,3980,4090,4400,4390,4370,4080,3890,3700,3510,3600,3480,3400,3300,3230,3290,3370,3500
COP,46000,57000,51000,52000,49000,46000,61000,71000,72000,74000,75000,81000,80000,80000,83000,84000,88000,76000,80000,74000,75000,76000,82000,90000,92000,89000,83000,79000,76000,75000,74000,72000,70000,65000,65000,66000,71000,73000,76000,78000,75000,75000,76000,80000,82000,80000,79000,76000
CSP,-12000,-2000,-1000,-1000,-1000,0,10000,3000,4000,4000,1000,7000,8000,9000,12000,11000,8000,5000,3000,-1000,3000,5000,11000,18000,19000,16000,15000,12000,11000,10000,10000,12000,13000,13000,13000,13000,14000,13000,14000,13000,13000,11000,11000,12000,13000,12000,12000,12000
