,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580,3580
ShareAmountCurrent,443035000000,443035000000,443035000000,443035000000,443035000000,524035000000,554035000000,554035000000,554035000000,554035000000,554035000000,554035000000,554035000000,554035000000,554035000000,554035000000,554035000000,55403500000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000,69287783000
WKCurrent,960,20,850,1020,0,1180,1210,1130,0,1210,1180,1090,0,1220,1190,1220,1210,10950,9670,8220,8100,7440,7430,7490,7930,7850,7730,7730,7660,6870,6980,7170,7500,8000,8020,8109,8220,8080,8230,8460
CWKCurrent,3720,148870,4230,3500,,3040,2970,3170,,2970,3040,3280,,2940,3010,2940,2950,330,370,440,440,480,480,480,450,460,460,460,470,520,510,500,480,450,450,440,440,440,430,420
WKGrahamCurrent,-40,0,-450,-400,0,20,-560,-690,0,-870,-860,-860,0,-820,-740,-740,-700,-4350,-3490,-3870,-3840,-3650,-3340,-2770,-1860,-1710,-1110,-1490,-1230,-1730,-1320,-1430,-1230,-1960,-1550,-1820,-1690,-2270,-1970,-2100
CWKGrahamCurrent,,825220,,,,235210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent,2760,2800,2870,3530,3870,3450,3270,3520,3830,4130,4410,4400,4430,4560,4640,4770,4840,47500,40030,41690,43180,44810,44550,42650,41840,41350,40870,41690,41720,41860,41970,42450,42870,42820,42750,42490,42140,42620,42850,44130
CPCurrent,1300,1280,1250,1020,920,1040,1090,1020,930,870,810,810,810,780,770,750,740,80,90,90,80,80,80,80,90,90,90,90,90,90,90,80,80,80,80,80,80,80,80,80
ZCurrent,-10,130,110,220,240,250,170,120,50,50,40,-40,30,20,50,140,80,-1850,-1680,-3040,-3190,-1910,-1770,-400,150,730,590,420,60,-1030,-860,-780,-430,690,950,1000,850,530,380,360
CZCurrent,,27730,31530,15960,14730,14170,21170,31060,79420,68830,100770,,104550,164380,65800,24850,44820,,,,,,,,24530,4920,6030,8500,61720,,,,,5180,3780,3570,4220,6760,9390,9880
ZOCurrent,-10,120,150,320,380,340,260,130,40,30,10,20,40,10,50,90,90,-360,-620,-2110,-2360,-2190,-1910,-150,800,1960,2410,2200,1970,1450,1310,1620,1700,2090,2200,2260,1980,1580,1550,1670
CZOCurrent,,29140,23940,11140,9530,10460,13990,28110,87320,112190,523200,182820,98370,636740,71890,39250,39360,,,,,,,,4460,1830,1480,1630,1820,2470,2740,2210,2110,1710,1620,1580,1800,2260,2300,2150
EVCurrent,3740,3860,4290,4230,3580,3770,4230,4150,3580,4230,4260,4270,3580,4160,4140,4130,4150,8880,9220,9440,9470,9240,9160,9000,7410,7460,7120,7360,7090,7060,7550,8100,7420,7300,7440,7180,7240,6580,7310,8460
EVPCurrent,1350,1380,1500,1200,920,1090,1290,1180,930,1020,970,970,810,910,890,860,860,190,230,230,220,210,210,210,180,180,170,180,170,170,180,190,170,170,170,170,170,150,170,190
EVEBITCurrent,-378860,31410,28680,13170,9530,11010,16530,32590,87320,132560,622050,218040,98370,740390,83150,45240,45670,-24600,-14860,-4480,-4010,-4220,-4780,-59110,9240,3810,2950,3350,3610,4880,5770,4990,4380,3490,3380,3180,3650,4160,4710,5070
EVEBITDACurrent,31720,15830,15520,9230,6860,8010,11030,15400,18470,18010,18390,16500,12320,17640,14900,13030,13200,4760,7800,-33670,-17390,-21260,-44990,5950,3040,2009,1690,1840,1890,2230,2510,2430,2170,2060,2060,1980,2050,2070,2340,2680
DTAR,520,480,670,620,,480,600,660,,650,660,660,,650,640,640,630,590,590,620,610,620,620,610,590,590,600,570,560,580,580,570,580,560,540,540,580,580,580,590
CG,1080,39350,1990,1650,,910,1500,1910,,1860,1920,1930,,1850,1770,1740,1690,2009,1810,2150,2040,2160,2130,2020,1900,1910,2000,1950,1920,2220,2160,2029,2060,1820,1710,1660,1970,1980,1970,2029
LDER,250,8710,980,890,,520,810,820,,750,830,870,,940,800,490,480,710,730,390,410,830,820,760,710,820,770,740,740,780,760,730,580,770,770,750,1000,950,980,740
PZAT,4100,4730,1420,1420,,1750,1420,1540,,2020,1850,1830,,1570,1800,2910,2900,2090,1870,3910,3760,1870,1860,1930,1920,1630,1700,1800,1800,1940,1940,2029,2460,1960,1920,1990,1400,1580,1490,1970
PELDR,1250,310,1400,1510,,1600,1310,1250,,1070,1120,1110,,1220,1180,990,1000,1080,1180,920,920,1120,1130,1140,1200,1290,1310,1250,1260,1150,1180,1170,1120,1160,1200,1160,1330,1230,1290,1140
TSF,600,120,660,710,,800,720,630,,610,630,640,,680,650,540,550,510,570,400,420,530,530,530,530,560,530,510,510,470,480,490,450,540,560,560,590,570,580,500
ZKO,1050,1000,1370,1310,,990,1440,1470,,1630,1620,1690,,1580,1540,1540,1510,1250,1250,1280,1300,1290,1270,1220,1140,1130,1080,1110,1090,1130,1100,1110,1090,1160,1130,1160,1120,1170,1140,1140
OSF,1000,20,890,940,,1000,990,910,,950,930,950,,940,950,960,960,710,770,730,740,720,720,730,740,730,720,720,710,650,650,670,680,690,700,700,690,690,690,680
