,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
QuoteCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QuoteCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent,1335950000,1335950000,1335950000,1335950000,1335950000,1357084000,1357084000,1357084000,1577984000,1577984000,1577984000,1577984000,2152984000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000,2157891000
ShareAmountCurrent_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShareAmountCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_yy,,611.13,,387.01,,,69.34,57.27,124.12,-100.00,-100.00,111.25,95.76,,,76.58,20.27,8.71,-4.94,-10.12,-17.89,-28.53,-25.80,-42.00,-36.68,-36.12,-37.55,-25.25,-27.23,-23.77
WKCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WKCurrent_qq,,,,27.88,13.44,15.75,0.84,18.76,61.66,-100.00,,,49.81,12.53,5.93,-1.11,2.04,1.71,-7.37,-6.50,-6.78,-11.47,-3.83,-26.92,1.76,-10.68,-5.98,-12.52,-0.94,-6.43
WKCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CWKCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
