,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
CWKGrahamCurrent_qq,,,,,2.36,21.68,,,-4.12,-16.02,,,0.42,8.74,,,-0.78,13.25,10.83,17.56,-1.18,-9.69,16.46,-22.21,-14.74,4.33,-4.25,1.58,19.38,4.06,-2.25,-18.40,6.21,11.80,27.90,-14.64,11.07,28.41,16.17,-5.92,12.82,7.81
CWKGrahamCurrent_sq,,,,,-47.07,9.08,,,-67.12,127.89,,,9.00,16.30,,,9.66,-8.83,-6.21,-11.05,-67.52,-5.67,157.42,2.76,-29.60,76.56,6.13,-20.15,0.08,2.07,-40.71,31.05,53.14,-28.02,10.39,2.66,27.91,-23.73,3.01,-11.15,11.67,7.53
PCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_yy,,35.06,33.93,115.95,,,,20.01,16.43,19.31,32.94,45.67,40.72,20.19,-16.58,-23.43,-20.72,-16.87,2.89,-16.51,-32.98,-33.38,-34.29,-17.32,-1.19,13.72,11.60,12.68,12.71,-4.82,12.84,19.84,28.58,45.77,12.87,-19.93,-37.83,-53.78,-47.09,-32.65,-0.14,41.75
PCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCurrent_qq,,,,,7.45,5.45,4.98,0.89,4.25,8.06,16.97,10.55,0.70,-7.71,-18.82,1.47,4.27,-3.22,0.48,-17.66,-16.30,-3.79,-0.90,3.60,0.04,10.72,-2.74,4.60,0.06,-6.50,15.30,11.09,7.36,5.99,-10.72,-21.19,-16.65,-21.20,2.22,0.31,23.60,11.85
PCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCurrent_yy,,-25.95,-25.35,-53.68,,,,-16.70,-14.08,-16.24,-24.74,-31.37,-28.96,-16.79,19.82,30.62,26.12,20.38,-2.78,19.78,49.22,50.04,52.15,20.96,1.22,-12.07,-10.41,-11.24,-11.30,5.08,-11.37,-16.55,-22.25,-31.38,-11.37,24.86,60.90,116.30,88.99,48.51,0.16,-29.45
CPCurrent_sy,,43.07,51.71,-22.25,,,,-0.42,29.35,11.86,62.75,-16.27,100.04,73.31,31.75,-7.92,-3.45,-7.81,-5.62,-31.53,-16.21,-17.63,-20.36,17.35,11.40,11.18,16.66,0.27,-14.47,-21.00,-30.96,-25.31,-22.18,-9.01,-2.73,7.76,6.94,6.33,-1.41,-6.95,6.82,3.03
CPCurrent_qq,,,,,-6.95,-5.14,-4.78,-0.89,-4.02,-7.53,-14.44,-9.62,-0.65,8.31,23.21,-1.47,-4.07,3.38,-0.50,21.40,19.50,3.95,0.89,-3.49,,-9.70,2.80,-4.39,-0.06,6.99,-13.30,-9.97,-6.89,-5.57,11.98,26.83,19.98,26.94,-2.16,-0.33,-19.09,-10.58
CPCurrent_sq,,,,,-70.05,34.60,-6.61,164.55,-61.10,16.40,35.87,36.10,-7.08,0.85,3.29,-4.88,-2.57,-3.70,5.75,-30.99,19.23,-5.33,2.25,1.68,,-5.52,7.28,-12.61,-3.44,-12.73,-6.25,-5.45,0.61,2.04,0.22,4.73,-0.16,1.46,-7.08,-1.15,14.63,-2.15
ZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_yy,,91.24,59.57,117.88,,,,21.85,17.62,27.61,64.39,47.04,43.81,13.84,-46.56,-68.71,-80.32,-125.98,-176.32,-358.57,-527.26,-130.24,18.32,115.38,118.48,137.39,171.06,-43.96,-166.44,-179.40,-163.36,29.96,286.97,201.65,17.40,-574.49,-368.17,-574.75,-448.11,-12.16,15.09,69.03
ZCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCurrent_qq,,,,,5.57,1.10,-9.76,26.52,1.91,9.69,16.24,13.17,-0.33,-13.17,-45.44,-33.73,-37.32,-214.62,-60.30,-124.51,-3.58,38.23,43.13,142.27,24.49,24.94,8.08,-66.67,-247.61,-49.31,13.76,168.38,112.35,-18.82,-170.08,-292.77,-20.01,-43.71,19.09,19.63,9.15,47.59
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-47.72,-37.32,-54.10,,,,-17.94,-14.99,-21.64,-39.17,-31.99,-30.46,-12.15,87.13,219.59,408.11,,,,,,,,,,,78.48,,,,-23.06,,,,,,,,,,
CZCurrent_sy,,24.71,59.64,-26.83,,,,1.61,115.02,-57.66,139.13,21.48,52.15,8.10,-39.90,11.26,30.51,,,,,,,,,,,-0.65,,,,0.04,,,,,,,,,,
CZCurrent_qq,,,,,-5.28,-1.09,10.82,-20.96,-1.87,-8.83,-13.97,-11.63,0.33,15.17,83.26,50.92,59.51,,,,,,,,-19.67,-19.97,-7.46,200.00,,,,,-52.91,23.20,,,,,,,,
CZCurrent_sq,,,,,-69.17,373.42,-63.76,92.14,-34.77,-6.77,104.66,-2.39,-18.31,-33.76,13.79,80.70,-4.17,,,,,,,,10.10,-7.22,-6.30,3.80,,,,,-26.24,10.00,,,,,,,,
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,72.45,62.36,172.49,,,,-5.58,-17.70,-6.78,12.58,48.88,53.86,21.22,-39.89,-64.01,-74.84,-112.51,-148.69,-288.04,-388.32,-327.79,-7.10,119.71,122.23,146.79,189.61,-25.54,-139.70,-153.41,-146.24,9.58,453.38,265.87,54.41,-304.91,-233.85,-310.99,-433.75,-20.95,27.40,66.16
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,10.71,-3.19,-4.09,-8.14,-3.50,9.66,15.82,21.47,-0.27,-13.60,-42.57,-27.26,-30.28,-142.95,-123.58,-180.89,-6.90,36.28,44.03,151.70,20.56,34.13,7.19,-57.04,-164.28,-80.47,7.20,201.80,107.28,-15.29,-125.51,-357.50,-35.39,-33.53,35.47,-3.68,18.73,37.76
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-42.02,-38.40,-63.30,,,,5.91,21.50,7.27,-11.17,-32.83,-35.01,-17.51,66.37,177.80,297.42,,,,,,,,,,,34.30,,,,-8.73,,,,,,,,,,
CZOCurrent_sy,,43.57,67.83,-21.20,,,,-34.82,16.72,3.59,114.85,39.45,70.77,75.18,-13.93,-30.07,-22.13,,,,,,,,,,,-22.07,,,,5.24,,,,,,,,,,
