,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZCurrent_qq,,,,,,,,,13.55,-45.19,-20.52,-34.51,46.51,26.86,-1.31,0.56,42.29,-3.51,5.08,-9.18,-53.46,100.39,-29.86,28.97,33.71,-41.14,42.61,-12.67
ZCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZCurrent_yy,,-52.51,88.49,,,734.23,-82.96,,,20.74,,208.67,139.24,3.36,-16.76,-45.79,-44.18,-26.61,-31.07,-23.68,133.35,12.37,68.34,18.54,-58.74,40.45,-30.92,2.02
CZCurrent_sy,,-52.88,128.64,,,47.69,58.30,,,-10.09,,78.51,16.93,2.67,-2.30,-15.51,-29.58,-21.32,-19.91,-13.73,-32.54,-14.59,-26.88,-21.44,1.29,4.67,-17.28,-28.39
CZCurrent_qq,,,,,,,,,-11.93,82.45,25.82,52.68,-31.74,-21.18,1.33,-0.56,-29.72,3.64,-4.83,10.11,114.87,-50.10,42.57,-22.46,-25.21,69.88,-29.88,14.52
CZCurrent_sq,,,,,,,,,73.87,-11.52,13.89,1.89,13.89,-22.31,8.37,-11.88,-5.09,-13.20,10.31,-5.08,-25.78,9.91,-5.56,1.97,-4.31,13.58,-25.36,-11.72
ZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_yy,,85.00,27.28,-100.83,16890.28,-24.27,-2.81,,,35.14,,-76.16,-62.79,-10.18,-28.11,82.28,8.80,-23.26,48.91,21.77,-11.41,25.53,-43.04,-27.23,53.60,-46.11,54.36,50.03
ZOCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZOCurrent_qq,,,,,,,,,6.84,-40.75,-12.72,-56.85,66.76,43.02,-30.15,9.42,-0.46,0.88,35.53,-10.52,-27.58,42.94,-38.50,14.31,52.86,-49.85,76.15,11.11
ZOCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZOCurrent_yy,,-45.95,-21.43,,,32.05,2.89,,,-26.00,,319.46,168.73,11.33,39.11,-45.14,-8.09,30.30,-32.85,-17.88,12.88,-20.34,75.57,37.42,-34.90,85.57,-35.22,-33.35
CZOCurrent_sy,,-33.30,17.26,,,-25.00,151.84,,,5.83,,105.76,107.81,-12.77,21.38,-7.43,-29.26,13.95,-24.28,-26.00,-25.94,-29.36,9.05,0.92,8.34,16.27,-22.38,-35.48
CZOCurrent_qq,,,,,,,,,-6.40,68.78,14.58,131.74,-40.03,-30.08,43.17,-8.61,0.46,-0.87,-26.22,11.76,38.08,-30.04,62.61,-12.52,-34.58,99.41,-43.23,-10.00
CZOCurrent_sq,,,,,,,,,13.00,59.31,-11.27,28.81,14.13,-33.13,23.48,-1.76,-12.79,7.72,-17.95,-3.99,-12.72,2.76,26.65,-11.15,-6.31,10.28,-15.45,-26.14
EVCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_yy,,4.34,35.23,2.23,-0.36,3.34,-0.44,,,-14.50,,-5.37,-3.92,9.62,5.28,2.24,1.80,-20.23,-17.06,-14.35,-15.18,7.90,5.83,4.68,10.44,11.70,12.26,18.73
EVCurrent_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVCurrent_qq,,,,,,,,,-1.34,-9.41,2.95,2.83,0.18,3.36,-1.12,-0.14,-0.25,-19.01,2.81,3.12,-1.22,3.03,0.84,2.00,4.21,4.21,1.34,7.88
EVCurrent_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPCurrent_yy,,-8.32,21.38,-45.37,-5.19,-5.52,-14.08,,,-4.11,,7.33,7.57,-1.80,-8.35,-10.87,-7.42,-19.69,-8.68,1.96,3.93,9.03,1.32,-9.06,-8.12,12.50,8.47,8.25
EVPCurrent_sy,,-21.08,23.43,30.77,1.46,-21.30,8.99,,,-5.33,,-15.82,-9.43,-2.05,3.32,-18.58,-3.26,-4.51,-2.93,12.71,-9.03,-14.58,-35.85,-13.38,-15.36,-22.29,34.03,19.84
EVPCurrent_qq,,,,,,,,,-3.73,8.43,2.01,0.79,-3.52,-1.01,-4.80,-1.98,0.22,-14.13,8.25,9.45,2.15,-9.92,0.60,-1.76,3.20,10.31,-3.01,-1.95
EVPCurrent_sq,,,,,,,,,0.89,-7.14,-4.48,-5.95,8.56,0.43,0.76,-25.89,28.99,-0.87,2.43,-13.94,4.10,-6.91,-23.08,16.21,1.72,-14.53,32.65,3.91
EVEBITCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITCurrent_yy,,-43.60,6.25,-12395.99,100.59,36.46,2.44,,,-36.73,,296.91,158.20,22.03,46.45,-43.91,-6.44,3.94,-44.30,-29.66,-4.26,-14.04,85.80,43.85,-28.10,107.28,-27.28,-20.87
EVEBITCurrent_sy,,4.06,-26.03,-89.77,1912.96,-28.30,29.51,,,9.85,,-103.93,29.03,-7.58,40.76,4008.11,11.19,-21.51,-43.59,-20.86,4.43,45.80,52.02,11.71,-11.32,-23.39,-31.66,-17.79
EVEBITCurrent_qq,,,,,,,,,-7.65,52.90,17.96,138.29,-39.93,-27.73,41.56,-8.73,0.21,-19.71,-24.14,15.25,36.40,-27.92,63.98,-10.77,-31.83,107.79,-42.47,-2.90
EVEBITCurrent_sq,,,,,,,,,-2.79,52.75,-8.68,-102.90,3288.75,9.42,39.09,-19.47,-9.28,-22.76,-0.05,12.98,19.71,7.84,4.22,-16.97,-4.97,-6.83,-7.03,-0.12
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,,-43.27,6.35,-19272.46,100.38,36.02,2.23,,,-36.35,,301.27,160.15,21.96,46.16,-44.34,-6.95,3.87,-44.27,-29.64,-4.31,-14.03,85.40,43.60,-28.08,106.76,-27.17,-20.72
EVEBITDACurrent_sy,,16.29,-25.54,-87.62,1532.27,-27.49,31.25,,,7.29,,-104.00,47.29,-24.44,51.12,2868.39,-14.90,-2.71,-42.73,7.35,19.51,41.67,33.92,11.14,-10.85,-20.42,-22.68,-17.36
EVEBITDACurrent_qq,,,,,,,,,-7.55,53.42,18.04,139.67,-40.06,-28.07,41.46,-8.73,0.21,-19.71,-24.10,15.22,36.29,-27.87,63.69,-10.75,-31.74,107.34,-42.34,-2.86
EVEBITDACurrent_sq,,,,,,,,,-5.55,49.68,-14.11,-103.29,3582.12,-23.22,71.80,-39.73,7.04,-12.23,1.12,12.98,19.17,4.05,-4.41,-6.24,-4.41,-7.12,-7.12,0.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,55.09,-63.76,-161.99,520.10,-87.82,402.31,,,-26.94,,-68.37,-59.96,-11.69,9.24,67.09,56.33,17.41,24.15,22.42,-57.41,-14.74,-41.48,-23.47,113.50,-33.77,30.97,-9.87
ROE_sy,,-3.19,-82.44,-211.33,230.27,10.67,-30.81,,,-17.41,,-123.71,-66.31,-22.44,-9.86,2756.52,590.43,170.10,190.13,191.33,89.83,-24.37,16.08,-34.21,34.01,5.32,16.71,57.56
ROE_qq,,,,,,,,,13.46,-43.64,-20.23,-37.99,43.64,24.30,-1.32,-5.16,34.39,-6.64,4.34,-6.48,-53.24,86.88,-28.38,22.30,30.43,-42.03,41.63,-15.84
ROE_sq,,,,,,,,,187.63,137.99,-37.35,-105.53,508.70,447.87,-27.18,62.93,6.22,114.33,-21.78,63.60,-30.79,-14.61,20.06,-7.28,40.99,-32.89,33.03,25.17
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,28.08,-72.27,-160.00,586.46,-88.87,453.85,,,-10.24,,-65.95,-58.16,-14.12,10.89,72.16,61.00,49.32,57.59,51.25,-47.06,-14.93,-42.92,-30.72,95.42,-38.30,18.61,-19.13
ROA_sy,,-1.33,-79.87,-181.56,302.74,-34.80,-40.93,,,11.40,,-231.58,-68.48,13.39,15.03,1528.00,415.38,83.33,133.78,128.01,132.84,-15.34,16.76,-27.64,39.58,11.41,32.67,34.13
ROA_qq,,,,,,,,,14.55,-39.74,-21.86,-36.88,40.78,23.68,0.90,-2.01,31.66,14.71,6.49,-5.95,-53.92,84.31,-28.55,14.14,30.00,-41.81,37.36,-22.18
ROA_sq,,,,,,,,,768.42,53.94,-24.02,-112.95,308.00,453.85,-22.92,60.81,-24.93,97.01,-1.70,56.84,-23.34,-28.37,35.57,-2.81,47.88,-42.82,61.45,-1.74
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,62.56,14.25,-100.44,16137.36,-30.77,-16.12,,,51.56,,-72.96,-58.34,-19.53,-37.42,58.88,-1.05,-22.73,63.96,44.96,8.56,26.84,-45.47,-36.78,27.78,-45.73,49.14,36.80
OPM_sy,,72.18,-62.01,-59.96,301.54,-24.35,-33.00,,,-18.00,,-68.90,7.85,45.02,53.44,388.15,9.20,-13.23,-2.98,-23.02,24.58,79.03,48.59,3.56,62.87,-31.84,23.21,18.28
OPM_qq,,,,,,,,,4.25,-29.09,-13.52,-57.70,60.59,36.97,-32.75,7.41,0.01,6.96,42.69,-5.04,-25.10,24.98,-38.65,10.09,51.39,-46.92,68.59,0.98
OPM_sq,,,,,,,,,-22.12,9.16,-14.30,-57.32,170.11,46.78,-9.32,35.78,-39.58,16.63,1.39,7.74,-2.21,67.60,-15.85,-24.91,53.79,-29.86,52.12,-27.92
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,85.02,-52.38,-131.04,623.49,-89.04,406.43,,,-7.12,,-63.25,-53.21,-13.34,4.59,60.81,62.94,37.20,59.75,55.96,-47.49,-10.07,-43.13,-26.71,101.63,-28.29,39.87,-10.62
ROS_sy,,-15.60,-63.66,-142.30,633.26,-42.06,-37.59,,,-9.55,,236.21,40.31,-23.66,30.83,315.38,4.42,166.07,92.12,80.25,176.37,7.95,-13.09,-14.11,-0.38,-26.88,61.18,55.62
ROS_qq,,,,,,,,,10.79,-34.39,-21.26,-35.80,41.09,21.51,-4.97,-1.28,42.96,2.31,10.64,-3.62,-51.87,75.21,-30.03,24.20,32.42,-37.69,36.49,-20.64
